"","FC","log2(FC)","raw.pval","-log10(p)"
"592.2984 / 19.02",0.0010113,-9.9496,1.2907e-05,4.8892
"444.2250 / 16.64  M3H3",0.00116,-9.7516,1.2907e-05,4.8892
"772.4102 / 19.99  MH",0.0039863,-7.9707,1.3184e-05,4.8799
"356.0360 / 7.73  M-H-",30.769,4.9434,1.3184e-05,4.8799
"323.0607 / 1.49",6.8345,2.7728,1.3749e-05,4.8617
"339.1790 / 22.62",5.2518,2.3928,1.3749e-05,4.8617
"831.1972 / 22.55",4.9087,2.2953,1.3749e-05,4.8617
"181.0089 / 1.43",10.196,3.3499,1.4992e-05,4.8241
"302.1203 / 1.62  MNa",10.09,3.3348,1.4992e-05,4.8241
"219.0170 / 1.85  MH",0.42018,-1.2509,1.4992e-05,4.8241
"243.1711 / 5.70",0.00051232,-10.931,1.5665e-05,4.8051
"774.3579 / 20.14  MH",0.00084424,-10.21,1.5665e-05,4.8051
"346.2333 / 11.14",0.0016934,-9.2059,1.5665e-05,4.8051
"609.1069 / 7.35  MNa-2H-",0.013289,-6.2336,1.5665e-05,4.8051
"703.3452 / 19.88",0.0029215,-8.4191,1.5866e-05,4.7995
"242.0335 / 8.34",10.498,3.392,1.6055e-05,4.7944
"418.1655 / 14.43  MH",0.0031689,-8.3018,1.6943e-05,4.771
"218.1502 / 1.12",0.0049398,-7.6613,1.6949e-05,4.7709
"297.1945 / 13.72  MNa",40.388,5.3359,1.7359e-05,4.7605
"238.1080 / 2.28",7.6686,2.939,1.758e-05,4.755
"701.1909 / 1.56",0.040114,-4.6397,1.7795e-05,4.7497
"117.0563 / 3.23  M-H-",2.3453,1.2298,1.7795e-05,4.7497
"261.1450 / 2.73",0.0035658,-8.1315,1.7891e-05,4.7474
"282.1196 / 1.77",5.1214,2.3565,1.7926e-05,4.7465
"173.0143 / 1.84",0.4071,-1.2965,1.7926e-05,4.7465
"190.1075 / 3.76",15.62,3.9654,1.8518e-05,4.7324
"245.1872 / 5.71",0.0041957,-7.8969,1.9063e-05,4.7198
"404.1487 / 16.25  M-H-",1.3449e-05,-16.182,1.916e-05,4.7176
"516.3401 / 19.15  MH",1.3728e-05,-16.153,1.916e-05,4.7176
"560.7822 / 19.86  M2H2",1.5021e-05,-16.023,1.916e-05,4.7176
"468.7141 / 15.70  M2H2",1.7148e-05,-15.832,1.916e-05,4.7176
"326.2082 / 9.82",2.4525e-05,-15.315,1.916e-05,4.7176
"397.2441 / 12.52  M-H-",2.5186e-05,-15.277,1.916e-05,4.7176
"558.7644 / 19.86  M-2H2-",2.5219e-05,-15.275,1.916e-05,4.7176
"346.6914 / 8.06  M2H2",2.6516e-05,-15.203,1.916e-05,4.7176
"328.1513 / 11.72  M-H-",2.7492e-05,-15.151,1.916e-05,4.7176
"445.2674 / 12.49",2.8656e-05,-15.091,1.916e-05,4.7176
"364.8746 / 3.94",3.1116e-05,-14.972,1.916e-05,4.7176
"545.2679 / 1.93",3.212e-05,-14.926,1.916e-05,4.7176
"295.1669 / 5.16  MNH4",3.2533e-05,-14.908,1.916e-05,4.7176
"665.3238 / 17.20  M-H-",3.3115e-05,-14.882,1.916e-05,4.7176
"687.3696 / 18.04  MH",3.3582e-05,-14.862,1.916e-05,4.7176
"332.2181 / 9.28  MH",3.432e-05,-14.831,1.916e-05,4.7176
"430.1978 / 11.64  MH",3.7197e-05,-14.714,1.916e-05,4.7176
"492.2111 / 10.45",3.8184e-05,-14.677,1.916e-05,4.7176
"325.1739 / 7.71",4.2032e-05,-14.538,1.916e-05,4.7176
"422.2507 / 12.64",4.2536e-05,-14.521,1.916e-05,4.7176
"334.1376 / 11.96  MNa-2H-",4.3587e-05,-14.486,1.916e-05,4.7176
"590.2311 / 13.59  MH",4.5048e-05,-14.438,1.916e-05,4.7176
"532.2345 / 14.20  M2H2",4.7252e-05,-14.369,1.916e-05,4.7176
"423.2236 / 10.54",4.7464e-05,-14.363,1.916e-05,4.7176
"406.1654 / 16.27  MH",4.7636e-05,-14.358,1.916e-05,4.7176
"388.7287 / 3.76  M2H2",4.8868e-05,-14.321,1.916e-05,4.7176
"332.2180 / 10.73",5.1753e-05,-14.238,1.916e-05,4.7176
"402.1977 / 2.26  M-H-",5.3176e-05,-14.199,1.916e-05,4.7176
"330.2029 / 10.68",5.4007e-05,-14.176,1.916e-05,4.7176
"470.7539 / 18.84  M4H4",5.6237e-05,-14.118,1.916e-05,4.7176
"482.7297 / 8.72  M2H2",6.0118e-05,-14.022,1.916e-05,4.7176
"359.1575 / 10.11",6.1599e-05,-13.987,1.916e-05,4.7176
"450.7450 / 14.10  M2H2",6.3153e-05,-13.951,1.916e-05,4.7176
"278.1581 / 11.15",6.3393e-05,-13.945,1.916e-05,4.7176
"576.2885 / 11.88  M2H2",6.6818e-05,-13.869,1.916e-05,4.7176
"470.2720 / 9.68",6.7327e-05,-13.858,1.916e-05,4.7176
"306.1465 / 5.16  MH",6.7561e-05,-13.853,1.916e-05,4.7176
