"","FC","log2(FC)","raw.pval","-log10(p)"
"476.2725 / 4.93",0.00018641,-12.389,0.0022359,2.6505
"658.3413 / 10.67",0.00018679,-12.386,0.0022359,2.6505
"605.3137 / 6.58",0.00018789,-12.378,0.0022359,2.6505
"410.9092 / 10.02  M3H3",0.00018815,-12.376,0.0022359,2.6505
"556.3091 / 13.10",0.00018848,-12.373,0.0022359,2.6505
"896.4680 / 18.52",0.00018932,-12.367,0.0022359,2.6505
"551.7816 / 14.73",0.00018958,-12.365,0.0022359,2.6505
"493.2362 / 7.09",0.00019029,-12.359,0.0022359,2.6505
"589.7791 / 14.07",0.00019199,-12.347,0.0022359,2.6505
"355.7016 / 3.57",0.0001925,-12.343,0.0022359,2.6505
"816.4497 / 18.97",0.00019369,-12.334,0.0022359,2.6505
"330.1670 / 2.19",0.00019617,-12.316,0.0022359,2.6505
"585.7934 / 3.17  M2H2",0.00019621,-12.315,0.0022359,2.6505
"720.3197 / 14.92  M-H-",0.00019863,-12.298,0.0022359,2.6505
"379.2100 / 16.21",0.00019878,-12.297,0.0022359,2.6505
"438.9089 / 12.62  M3H3",0.00020005,-12.287,0.0022359,2.6505
"877.4415 / 10.13  MH",0.00020217,-12.272,0.0022359,2.6505
"388.2272 / 8.10",0.00020397,-12.259,0.0022359,2.6505
"425.7202 / 12.35  M2H2",0.00020419,-12.258,0.0022359,2.6505
"877.4399 / 18.14",0.00020434,-12.257,0.0022359,2.6505
"557.3415 / 8.75",0.00020594,-12.245,0.0022359,2.6505
"526.2972 / 10.21",0.00020671,-12.24,0.0022359,2.6505
"523.6178 / 11.36  M3H3",0.00020941,-12.221,0.0022359,2.6505
"538.3063 / 2.12  MH",0.00020984,-12.218,0.0022359,2.6505
"443.6932 / 5.65",0.00021036,-12.215,0.0022359,2.6505
"710.3475 / 11.80  M-H-",0.00021175,-12.205,0.0022359,2.6505
"841.4182 / 18.20",0.00021195,-12.204,0.0022359,2.6505
"399.2233 / 10.39",0.00021375,-12.192,0.0022359,2.6505
"392.2110 / 8.27",0.00021434,-12.188,0.0022359,2.6505
"670.3053 / 9.25",0.00021436,-12.188,0.0022359,2.6505
"718.0483 / 13.40  M3H3",0.00021511,-12.183,0.0022359,2.6505
"463.2550 / 17.20",0.00021624,-12.175,0.0022359,2.6505
"734.3570 / 17.39  M2H2",0.00021644,-12.174,0.0022359,2.6505
"568.3083 / 6.92",0.00021748,-12.167,0.0022359,2.6505
"856.3824 / 14.63",0.00021996,-12.15,0.0022359,2.6505
"538.2874 / 5.33",0.00022152,-12.14,0.0022359,2.6505
"447.7167 / 17.53  M2H2",0.00022232,-12.135,0.0022359,2.6505
"550.2829 / 14.66  MNa-2H-",0.00022249,-12.134,0.0022359,2.6505
"782.4804 / 14.83",0.00022264,-12.133,0.0022359,2.6505
"817.3945 / 15.84  M-H-",0.00022308,-12.13,0.0022359,2.6505
"732.2894 / 9.73  M-H-",0.00022436,-12.122,0.0022359,2.6505
"367.7088 / 18.33",0.0002259,-12.112,0.0022359,2.6505
"769.2659 / 4.29",0.00022777,-12.1,0.0022359,2.6505
"490.2506 / 6.42",0.00022904,-12.092,0.0022359,2.6505
"490.2611 / 6.21",0.00022919,-12.091,0.0022359,2.6505
"400.2198 / 5.47",0.00023028,-12.084,0.0022359,2.6505
"427.2087 / 7.59",0.0002311,-12.079,0.0022359,2.6505
"374.6991 / 14.85",0.00023169,-12.076,0.0022359,2.6505
"217.0034 / 17.74",0.00023276,-12.069,0.0022359,2.6505
"951.4582 / 11.80  M-H-",0.00023304,-12.067,0.0022359,2.6505
"369.2137 / 7.50",0.00023395,-12.062,0.0022359,2.6505
"428.2370 / 16.01",0.00023411,-12.061,0.0022359,2.6505
"308.6881 / 9.44",0.00023453,-12.058,0.0022359,2.6505
"457.2771 / 12.44",0.00023454,-12.058,0.0022359,2.6505
"353.1624 / 5.75",0.00023473,-12.057,0.0022359,2.6505
"531.7399 / 14.10  M2H2",0.00023557,-12.052,0.0022359,2.6505
"722.3364 / 14.91",0.00023716,-12.042,0.0022359,2.6505
"299.2199 / 7.21",0.00023774,-12.038,0.0022359,2.6505
"395.6791 / 5.29  M2H2",0.0002389,-12.031,0.0022359,2.6505
"447.2223 / 11.12",0.00024032,-12.023,0.0022359,2.6505
"378.1695 / 6.31",0.0002408,-12.02,0.0022359,2.6505
"351.7114 / 4.15  MH",0.00024162,-12.015,0.0022359,2.6505
"503.7704 / 11.11  M4H4",0.00024174,-12.014,0.0022359,2.6505
"396.7291 / 7.28",0.00024194,-12.013,0.0022359,2.6505
"412.2052 / 9.25",0.0002421,-12.012,0.0022359,2.6505
"608.3082 / 19.68",0.00024217,-12.012,0.0022359,2.6505
"343.1985 / 4.65",0.00024351,-12.004,0.0022359,2.6505
"396.2250 / 4.17",0.00024564,-11.991,0.0022359,2.6505
"538.2980 / 4.54",0.00024568,-11.991,0.0022359,2.6505
"407.6462 / 20.14",0.00024756,-11.98,0.0022359,2.6505
"442.2774 / 3.29",0.00024884,-11.973,0.0022359,2.6505
"434.9037 / 18.52  M3H3",0.00024884,-11.972,0.0022359,2.6505
"486.3033 / 3.83",0.0002501,-11.965,0.0022359,2.6505
"465.2317 / 14.03  MNa-2H-",0.00025098,-11.96,0.0022359,2.6505
"456.2450 / 5.96",0.00025191,-11.955,0.0022359,2.6505
"554.2245 / 16.90  M-H-",0.00025192,-11.955,0.0022359,2.6505
"585.3696 / 9.92  MH",0.00025237,-11.952,0.0022359,2.6505
"570.7999 / 18.85",0.00025352,-11.946,0.0022359,2.6505
"637.8163 / 18.30  M2H2",0.00025462,-11.939,0.0022359,2.6505
"634.3211 / 12.36",0.00025846,-11.918,0.0022359,2.6505
"371.2286 / 8.84",0.00025933,-11.913,0.0022359,2.6505
"600.3019 / 18.30",0.00025973,-11.911,0.0022359,2.6505
"376.6587 / 20.14",0.00026301,-11.893,0.0022359,2.6505
"749.3993 / 15.30",0.00026332,-11.891,0.0022359,2.6505
"603.2636 / 16.13",0.00026448,-11.885,0.0022359,2.6505
"842.4453 / 14.70  M-H-",0.00026647,-11.874,0.0022359,2.6505
"439.7043 / 6.82  MHK2",0.00026776,-11.867,0.0022359,2.6505
"448.2214 / 6.52",0.00026797,-11.866,0.0022359,2.6505
"578.2486 / 11.30",0.00026789,-11.866,0.0022359,2.6505
"449.2364 / 12.45  MNa-2H-",0.00026956,-11.857,0.0022359,2.6505
"681.3443 / 17.69",0.00027361,-11.836,0.0022359,2.6505
"344.2182 / 10.46",0.00027381,-11.835,0.0022359,2.6505
"702.3676 / 6.61",0.00027393,-11.834,0.0022359,2.6505
"696.2673 / 18.76  MNa",0.00027519,-11.827,0.0022359,2.6505
"531.2643 / 12.15",0.00027832,-11.811,0.0022359,2.6505
"673.3466 / 17.58  M-2H2-",0.00027865,-11.809,0.0022359,2.6505
"683.3074 / 17.24",0.00027886,-11.808,0.0022359,2.6505
"847.4878 / 12.52",0.00028022,-11.801,0.0022359,2.6505
"650.3558 / 16.63",0.00028342,-11.785,0.0022359,2.6505
"698.8308 / 8.03  M2H2",0.00028442,-11.78,0.0022359,2.6505
"489.2460 / 7.31",0.00028509,-11.776,0.0022359,2.6505
"398.6634 / 14.43",0.00028547,-11.774,0.0022359,2.6505
"338.1452 / 6.92",0.00028926,-11.755,0.0022359,2.6505
"515.2602 / 8.46",0.00029096,-11.747,0.0022359,2.6505
"434.8905 / 14.31  M3H3",0.00029335,-11.735,0.0022359,2.6505
"509.3110 / 18.44  M3H3",0.00029437,-11.73,0.0022359,2.6505
"511.1281 / 4.97",0.00029471,-11.728,0.0022359,2.6505
"817.3708 / 12.71  M-H-",0.00029536,-11.725,0.0022359,2.6505
"376.2234 / 15.49",0.00029597,-11.722,0.0022359,2.6505
"700.3857 / 17.29",0.00029666,-11.719,0.0022359,2.6505
"481.2622 / 13.87",0.00029693,-11.718,0.0022359,2.6505
"649.2864 / 9.70",0.00029824,-11.711,0.0022359,2.6505
"633.2900 / 14.09",0.00029973,-11.704,0.0022359,2.6505
"615.8376 / 14.92",0.00030393,-11.684,0.0022359,2.6505
"456.2451 / 8.27  M-H-",0.00030388,-11.684,0.0022359,2.6505
"383.8850 / 10.06",0.00030564,-11.676,0.0022359,2.6505
"410.1969 / 12.71  M2H2",0.00030652,-11.672,0.0022359,2.6505
"573.3348 / 10.20",0.00030696,-11.67,0.0022359,2.6505
"741.3753 / 20.17",0.00030913,-11.659,0.0022359,2.6505
"524.2674 / 8.28  MNa",0.00031086,-11.651,0.0022359,2.6505
"363.6337 / 20.53",0.00031162,-11.648,0.0022359,2.6505
"537.2644 / 9.76  MNa-2H-",0.00031724,-11.622,0.0022359,2.6505
"506.2620 / 3.53  M-H-",0.00031844,-11.617,0.0022359,2.6505
"795.3170 / 11.26  MNa-2H-",0.00031865,-11.616,0.0022359,2.6505
"341.2185 / 7.57  MH",0.00032014,-11.609,0.0022359,2.6505
"586.3195 / 3.61",0.00032028,-11.608,0.0022359,2.6505
"586.2891 / 17.78",0.00032215,-11.6,0.0022359,2.6505
"483.2571 / 14.82  M-2H2-",0.00032226,-11.599,0.0022359,2.6505
"423.1845 / 8.05  MNa-2H-",0.00032304,-11.596,0.0022359,2.6505
"400.2258 / 4.24",0.0003254,-11.585,0.0022359,2.6505
"497.7470 / 16.17  M2H2",0.0003276,-11.576,0.0022359,2.6505
"338.2005 / 11.44  M3H3",0.00032903,-11.569,0.0022359,2.6505
"464.6809 / 14.46",0.00033127,-11.56,0.0022359,2.6505
"520.2260 / 14.75",0.00033258,-11.554,0.0022359,2.6505
"508.2755 / 3.51",0.00033629,-11.538,0.0022359,2.6505
"453.1977 / 5.17  MAcO-H-",0.00033678,-11.536,0.0022359,2.6505
"374.2069 / 16.50",0.00033716,-11.534,0.0022359,2.6505
"703.3227 / 17.89",0.00033733,-11.534,0.0022359,2.6505
"382.1943 / 7.26",0.00034438,-11.504,0.0022359,2.6505
"428.5722 / 15.98",0.00034883,-11.485,0.0022359,2.6505
"450.1951 / 6.98  M2H2",0.00035061,-11.478,0.0022359,2.6505
"524.1299 / 9.67",0.00035131,-11.475,0.0022359,2.6505
"679.3303 / 17.70",0.00035225,-11.471,0.0022359,2.6505
"640.8367 / 13.14",0.00035427,-11.463,0.0022359,2.6505
"506.7952 / 11.44  M2H2",0.00035627,-11.455,0.0022359,2.6505
"520.7506 / 7.15  M2H2",0.00035861,-11.445,0.0022359,2.6505
"588.3338 / 3.60",0.00035996,-11.44,0.0022359,2.6505
"542.7867 / 17.84  M-2H2-",0.00036156,-11.433,0.0022359,2.6505
"545.2579 / 14.38",0.00036192,-11.432,0.0022359,2.6505
"681.2908 / 17.20",0.00036236,-11.43,0.0022359,2.6505
"598.3569 / 18.02",0.00036485,-11.42,0.0022359,2.6505
"772.3963 / 7.49  M-H-",0.00036511,-11.419,0.0022359,2.6505
"563.2119 / 15.27  MNa-2H-",0.00036565,-11.417,0.0022359,2.6505
"621.2513 / 6.67",0.00036623,-11.415,0.0022359,2.6505
"820.4187 / 14.71  M-H-",0.00036917,-11.403,0.0022359,2.6505
"582.2857 / 16.03",0.00037269,-11.39,0.0022359,2.6505
"361.2079 / 6.01",0.00037554,-11.379,0.0022359,2.6505
"522.5005 / 12.40",0.00037883,-11.366,0.0022359,2.6505
"558.2881 / 4.66",0.00037949,-11.364,0.0022359,2.6505
"449.5027 / 7.41",0.00038191,-11.354,0.0022359,2.6505
"344.2171 / 8.05",0.00038384,-11.347,0.0022359,2.6505
"787.7395 / 14.72",0.00039015,-11.324,0.0022359,2.6505
"701.3832 / 14.28",0.00039453,-11.308,0.0022359,2.6505
"729.2928 / 17.71  M-2H2-",0.00039916,-11.291,0.0022359,2.6505
"463.7132 / 16.59",0.00040028,-11.287,0.0022359,2.6505
"776.4204 / 17.42",0.00040648,-11.265,0.0022359,2.6505
"505.2290 / 18.18",0.00040628,-11.265,0.0022359,2.6505
"519.2555 / 10.42",0.00040628,-11.265,0.0022359,2.6505
"386.1633 / 11.26",0.00041351,-11.24,0.0022359,2.6505
"516.3020 / 13.04",0.00041337,-11.24,0.0022359,2.6505
"553.2971 / 10.54  M-H-",0.00041462,-11.236,0.0022359,2.6505
"400.5612 / 9.49",0.00041489,-11.235,0.0022359,2.6505
"642.3234 / 13.15",0.00041526,-11.234,0.0022359,2.6505
"522.8286 / 19.53  M2H2",0.00041692,-11.228,0.0022359,2.6505
"452.1779 / 11.64  MNa",0.00041935,-11.22,0.0022359,2.6505
"499.1678 / 12.58",0.00041956,-11.219,0.0022359,2.6505
"563.2803 / 12.26",0.00042184,-11.211,0.0022359,2.6505
"335.1685 / 11.41",0.00042393,-11.204,0.0022359,2.6505
"447.2589 / 17.64",0.00042603,-11.197,0.0022359,2.6505
"472.2764 / 14.44",0.00042909,-11.186,0.0022359,2.6505
"661.3164 / 16.47",0.00042919,-11.186,0.0022359,2.6505
"371.2292 / 7.83",0.00042978,-11.184,0.0022359,2.6505
"461.1661 / 14.81",0.00043015,-11.183,0.0022359,2.6505
"699.4032 / 18.59",0.00043021,-11.183,0.0022359,2.6505
"222.9651 / 19.03",0.00043048,-11.182,0.0022359,2.6505
"426.2096 / 6.68",0.00043428,-11.169,0.0022359,2.6505
"357.6762 / 5.81",0.00043888,-11.154,0.0022359,2.6505
"343.6915 / 7.31  M2H2",0.00043914,-11.153,0.0022359,2.6505
"910.9877 / 13.49  M-2H2-",0.0004394,-11.152,0.0022359,2.6505
"676.3687 / 18.49",0.00044042,-11.149,0.0022359,2.6505
"372.2243 / 11.65",0.00044075,-11.148,0.0022359,2.6505
"621.3342 / 9.69  MNa-2H-",0.00044099,-11.147,0.0022359,2.6505
"779.3239 / 10.93",0.00044327,-11.14,0.0022359,2.6505
"792.3977 / 12.31  MNa-2H-",0.00044477,-11.135,0.0022359,2.6505
"724.3213 / 16.75",0.00044519,-11.133,0.0022359,2.6505
"662.3157 / 16.27",0.00044553,-11.132,0.0022359,2.6505
"818.4449 / 13.05",0.00044548,-11.132,0.0022359,2.6505
"584.5706 / 19.08  M4H4",0.00044929,-11.12,0.0022359,2.6505
"708.2849 / 13.42",0.00044951,-11.119,0.0022359,2.6505
"465.7375 / 5.37",0.00044981,-11.118,0.0022359,2.6505
"738.8479 / 13.31",0.00045108,-11.114,0.0022359,2.6505
"655.3500 / 16.31",0.00045198,-11.111,0.0022359,2.6505
"359.7035 / 9.16",0.00045672,-11.096,0.0022359,2.6505
"603.2816 / 17.99  M2H2",0.000459,-11.089,0.0022359,2.6505
"469.1919 / 6.41",0.00046035,-11.085,0.0022359,2.6505
"485.3090 / 6.36",0.00046271,-11.078,0.0022359,2.6505
"597.3220 / 15.04",0.00046275,-11.077,0.0022359,2.6505
"776.3568 / 6.91",0.00046316,-11.076,0.0022359,2.6505
"522.2526 / 8.27  MNa-2H-",0.00046534,-11.069,0.0022359,2.6505
"500.2725 / 7.24",0.00046587,-11.068,0.0022359,2.6505
"598.2884 / 18.34",0.00046683,-11.065,0.0022359,2.6505
"444.5819 / 15.95  M3H3",0.00046809,-11.061,0.0022359,2.6505
"548.2018 / 11.28",0.00046969,-11.056,0.0022359,2.6505
"447.2051 / 17.86",0.00047247,-11.047,0.0022359,2.6505
"891.4222 / 10.98  MNa-2H-",0.00047404,-11.043,0.0022359,2.6505
"634.3392 / 6.01",0.00047604,-11.037,0.0022359,2.6505
"528.7473 / 15.79",0.00047804,-11.031,0.0022359,2.6505
"702.3677 / 7.29  M-H-",0.00048181,-11.019,0.0022359,2.6505
"459.7241 / 11.79",0.00048309,-11.015,0.0022359,2.6505
"575.3400 / 15.31",0.00048311,-11.015,0.0022359,2.6505
"577.2072 / 15.22  MCl-",0.00048792,-11.001,0.0022359,2.6505
"643.3405 / 7.67",0.0004879,-11.001,0.0022359,2.6505
"585.2311 / 17.55",0.00049047,-10.994,0.0022359,2.6505
"645.2853 / 8.22",0.00049018,-10.994,0.0022359,2.6505
"347.1843 / 12.00",0.00049117,-10.992,0.0022359,2.6505
"413.8720 / 3.14",0.00049674,-10.975,0.0022359,2.6505
"329.6877 / 9.52",0.00050145,-10.962,0.0022359,2.6505
"375.5323 / 11.05  M3H3",0.00050479,-10.952,0.0022359,2.6505
"440.2972 / 8.76",0.00050708,-10.946,0.0022359,2.6505
"648.2982 / 11.06",0.0005074,-10.945,0.0022359,2.6505
"777.3080 / 10.96",0.00050778,-10.944,0.0022359,2.6505
"587.2858 / 16.02  M2H2",0.00051455,-10.924,0.0022359,2.6505
"437.2021 / 9.36  MNa-2H-",0.00051543,-10.922,0.0022359,2.6505
"558.2874 / 6.73",0.00051528,-10.922,0.0022359,2.6505
"654.2617 / 10.33",0.00051669,-10.918,0.0022359,2.6505
"917.4780 / 10.62",0.00052083,-10.907,0.0022359,2.6505
"455.7022 / 18.12",0.00052195,-10.904,0.0022359,2.6505
"787.3834 / 15.77",0.00052494,-10.896,0.0022359,2.6505
"567.2764 / 12.86",0.0005261,-10.892,0.0022359,2.6505
"526.2286 / 15.74",0.00052682,-10.89,0.0022359,2.6505
"481.7525 / 11.65",0.00052738,-10.889,0.0022359,2.6505
"586.8038 / 16.78",0.00053015,-10.881,0.0022359,2.6505
"394.5574 / 13.83",0.00053125,-10.878,0.0022359,2.6505
"517.2391 / 8.54",0.00053138,-10.878,0.0022359,2.6505
"463.2196 / 16.03",0.00053315,-10.873,0.0022359,2.6505
"489.9388 / 14.67  M3H3",0.00053441,-10.87,0.0022359,2.6505
"637.2431 / 10.96  MNa-2H-",0.00053567,-10.866,0.0022359,2.6505
"628.7830 / 16.48",0.00053959,-10.856,0.0022359,2.6505
"601.2282 / 15.96",0.0005399,-10.855,0.0022359,2.6505
"502.2646 / 17.51  M-H2O-H-",0.00054225,-10.849,0.0022359,2.6505
"451.1827 / 6.87",0.0005428,-10.847,0.0022359,2.6505
"627.3109 / 12.12",0.00054324,-10.846,0.0022359,2.6505
"556.2724 / 4.72",0.00054455,-10.843,0.0022359,2.6505
"595.7758 / 15.31",0.0005451,-10.841,0.0022359,2.6505
"424.6924 / 16.85",0.00054583,-10.839,0.0022359,2.6505
"629.3240 / 12.16",0.00054709,-10.836,0.0022359,2.6505
"755.8476 / 18.66",0.00055087,-10.826,0.0022359,2.6505
"660.3547 / 10.67",0.0005596,-10.803,0.0022359,2.6505
"546.3436 / 2.73",0.00056048,-10.801,0.0022359,2.6505
"663.3452 / 8.60  MNa",0.00056033,-10.801,0.0022359,2.6505
"633.2608 / 3.61  MNa-2H-",0.00056177,-10.798,0.0022359,2.6505
"610.3040 / 14.03  M-H-",0.00056193,-10.797,0.0022359,2.6505
"779.3444 / 15.67  M-2H2-",0.00056455,-10.791,0.0022359,2.6505
"527.2695 / 15.00",0.00056594,-10.787,0.0022359,2.6505
"705.2813 / 7.70  MNa",0.00056698,-10.784,0.0022359,2.6505
"497.7058 / 11.10",0.00056836,-10.781,0.0022359,2.6505
"480.7131 / 8.73",0.0005706,-10.775,0.0022359,2.6505
"739.3498 / 13.31",0.00057129,-10.773,0.0022359,2.6505
"444.8902 / 16.61",0.00057231,-10.771,0.0022359,2.6505
"732.3352 / 17.38",0.00057282,-10.77,0.0022359,2.6505
"394.1607 / 7.52",0.00057297,-10.769,0.0022359,2.6505
"558.3242 / 12.39",0.00057361,-10.768,0.0022359,2.6505
"781.8342 / 16.72",0.00057739,-10.758,0.0022359,2.6505
"375.6898 / 9.55",0.00057867,-10.755,0.0022359,2.6505
"489.2786 / 14.56  MHK2",0.00057895,-10.754,0.0022359,2.6505
"816.4812 / 9.41",0.00057893,-10.754,0.0022359,2.6505
"974.4346 / 11.10  M-H-",0.00058221,-10.746,0.0022359,2.6505
"605.2703 / 7.72  MNa",0.00058527,-10.739,0.0022359,2.6505
"412.6955 / 7.15",0.00059098,-10.725,0.0022359,2.6505
"579.8049 / 14.41",0.00059797,-10.708,0.0022359,2.6505
"575.2661 / 9.82",0.00059988,-10.703,0.0022359,2.6505
"471.8860 / 14.04  M3H3",0.00060073,-10.701,0.0022359,2.6505
"582.2741 / 8.27",0.0006036,-10.694,0.0022359,2.6505
"779.3210 / 12.79",0.00060406,-10.693,0.0022359,2.6505
"473.1991 / 12.29",0.00060453,-10.692,0.0022359,2.6505
"294.6717 / 3.63",0.00060478,-10.691,0.0022359,2.6505
"702.3658 / 17.04",0.00060474,-10.691,0.0022359,2.6505
"725.4222 / 16.61",0.00061473,-10.668,0.0022359,2.6505
"588.2067 / 15.77  MNa-2H-",0.00061528,-10.666,0.0022359,2.6505
"575.3400 / 7.31",0.00061846,-10.659,0.0022359,2.6505
"409.2049 / 10.46  MNa-2H-",0.00061949,-10.657,0.0022359,2.6505
"597.2841 / 9.35  MNa-2H-",0.00062445,-10.645,0.0022359,2.6505
"650.3301 / 12.99",0.00062575,-10.642,0.0022359,2.6505
"847.4416 / 9.43",0.00063761,-10.615,0.0022359,2.6505
"570.2191 / 11.05  MNa-2H-",0.00064377,-10.601,0.0022359,2.6505
"337.1610 / 6.89",0.00064514,-10.598,0.0022359,2.6505
"574.2954 / 7.10  MNa",0.00064611,-10.596,0.0022359,2.6505
"600.7691 / 10.33",0.00065198,-10.583,0.0022359,2.6505
"680.2669 / 11.24",0.0006527,-10.581,0.0022359,2.6505
"687.3774 / 9.41",0.00065299,-10.581,0.0022359,2.6505
"926.4223 / 18.11",0.00065456,-10.577,0.0022359,2.6505
"530.2633 / 8.35",0.00065457,-10.577,0.0022359,2.6505
"452.2125 / 3.57",0.00065651,-10.573,0.0022359,2.6505
"494.6961 / 9.69",0.00066424,-10.556,0.0022359,2.6505
"863.4263 / 11.99",0.00066648,-10.551,0.0022359,2.6505
"517.2404 / 12.13",0.00066909,-10.546,0.0022359,2.6505
"453.7254 / 11.58",0.00067218,-10.539,0.0022359,2.6505
"471.2198 / 12.62  MNa",0.00067296,-10.537,0.0022359,2.6505
"492.2634 / 18.48",0.00067867,-10.525,0.0022359,2.6505
"632.2858 / 14.03  MNa-2H-",0.00067914,-10.524,0.0022359,2.6505
"434.2163 / 10.98  M-H-",0.00069132,-10.498,0.0022359,2.6505
"558.3402 / 8.59",0.00070258,-10.475,0.0022359,2.6505
"534.2217 / 10.86",0.00070385,-10.472,0.0022359,2.6505
"623.2672 / 10.60",0.00070609,-10.468,0.0022359,2.6505
"479.7798 / 14.72  M2",0.00070689,-10.466,0.0022359,2.6505
"496.5927 / 15.22  M3H3",0.00070966,-10.461,0.0022359,2.6505
"539.7678 / 10.13",0.00070953,-10.461,0.0022359,2.6505
"794.3078 / 14.50  MNa-2H-",0.00071131,-10.457,0.0022359,2.6505
"449.2035 / 14.11  MFA-H-",0.00071592,-10.448,0.0022359,2.6505
"399.7055 / 15.17",0.00071646,-10.447,0.0022359,2.6505
"551.7705 / 14.31",0.00072245,-10.435,0.0022359,2.6505
"376.7384 / 10.66",0.00072946,-10.421,0.0022359,2.6505
"511.2877 / 11.29  M-H-",0.00073696,-10.406,0.0022359,2.6505
"899.4313 / 13.59",0.00073708,-10.406,0.0022359,2.6505
"652.2834 / 9.66",0.00074033,-10.4,0.0022359,2.6505
"704.3823 / 17.01",0.00074842,-10.384,0.0022359,2.6505
"570.3130 / 15.39",0.00075781,-10.366,0.0022359,2.6505
"641.7850 / 19.13  M-2H2-",0.00075833,-10.365,0.0022359,2.6505
"461.2383 / 12.02",0.00075941,-10.363,0.0022359,2.6505
"388.7304 / 14.53  M2",0.00075983,-10.362,0.0022359,2.6505
"475.2540 / 14.92",0.00076037,-10.361,0.0022359,2.6505
"708.3936 / 7.96  M-H2O-H-",0.00076414,-10.354,0.0022359,2.6505
"451.1829 / 3.68",0.00077864,-10.327,0.0022359,2.6505
"574.5947 / 15.63",0.00077937,-10.325,0.0022359,2.6505
"451.1820 / 8.87",0.00079627,-10.294,0.0022359,2.6505
"719.3301 / 11.28",0.00080041,-10.287,0.0022359,2.6505
"645.3147 / 14.61",0.00080348,-10.281,0.0022359,2.6505
"345.1861 / 11.63",0.00080513,-10.278,0.0022359,2.6505
"554.2601 / 9.42",0.00082062,-10.251,0.0022359,2.6505
"580.7553 / 16.20",0.00082236,-10.248,0.0022359,2.6505
"549.2698 / 5.51  2MNa-2H-",0.00082657,-10.241,0.0022359,2.6505
"407.2156 / 5.59",0.00083356,-10.228,0.0022359,2.6505
"416.2222 / 9.39",0.00083862,-10.22,0.0022359,2.6505
"608.2814 / 18.56",0.00084665,-10.206,0.0022359,2.6505
"460.3109 / 7.28",0.00085515,-10.192,0.0022359,2.6505
"793.3837 / 11.87",0.00086255,-10.179,0.0022359,2.6505
"430.2195 / 13.77",0.00087903,-10.152,0.0022359,2.6505
"965.4461 / 12.47  2MFA-H-",0.00089093,-10.132,0.0022359,2.6505
"661.3564 / 16.98",0.00089606,-10.124,0.0022359,2.6505
"332.6614 / 11.83",0.00089924,-10.119,0.0022359,2.6505
"652.2452 / 10.33",0.00090991,-10.102,0.0022359,2.6505
"426.7522 / 11.63",0.0009129,-10.097,0.0022359,2.6505
"600.3342 / 13.46  MAcO-H-",0.00091279,-10.097,0.0022359,2.6505
"444.2444 / 6.59  M-H-",0.00092167,-10.083,0.0022359,2.6505
"481.1747 / 15.19",0.00092275,-10.082,0.0022359,2.6505
"857.3661 / 3.66  2M-H-",0.000923,-10.081,0.0022359,2.6505
"889.4497 / 13.02",0.00092583,-10.077,0.0022359,2.6505
"588.2866 / 8.55",0.00093098,-10.069,0.0022359,2.6505
"493.2282 / 16.12",0.00094732,-10.044,0.0022359,2.6505
"637.3001 / 17.96",0.00097699,-9.9994,0.0022359,2.6505
"724.8518 / 18.63",0.0009922,-9.9771,0.0022359,2.6505
"464.7114 / 8.60",0.0010043,-9.9596,0.0022359,2.6505
"752.3483 / 13.53",0.0010081,-9.9541,0.0022359,2.6505
"488.6987 / 11.78",0.0010194,-9.9381,0.0022359,2.6505
"525.2893 / 15.99",0.0010331,-9.9188,0.0022359,2.6505
"882.3944 / 10.32  MNa-2H-",0.0010352,-9.9158,0.0022359,2.6505
"411.1758 / 12.78  M-H-",0.0010716,-9.8661,0.0022359,2.6505
"623.2819 / 15.83  MCl-",0.0010744,-9.8622,0.0022359,2.6505
"764.2829 / 14.25",0.0010784,-9.8569,0.0022359,2.6505
"374.8549 / 7.16",0.0011259,-9.7948,0.0022359,2.6505
"517.2313 / 14.35",0.0011529,-9.7605,0.0022359,2.6505
"604.2365 / 11.53",0.0011822,-9.7243,0.0022359,2.6505
"697.4222 / 19.50",0.0012717,-9.619,0.0022359,2.6505
"882.3464 / 11.71",0.0013038,-9.5831,0.0022359,2.6505
"628.2959 / 11.33",0.0013246,-9.5602,0.0022359,2.6505
"431.7191 / 10.88",0.0013315,-9.5527,0.0022359,2.6505
"650.2793 / 11.97",0.0015175,-9.3641,0.0022359,2.6505
"717.2480 / 10.95",0.0017088,-9.1928,0.0022359,2.6505
"495.2038 / 8.39",0.0019643,-8.9918,0.0022359,2.6505
"274.1810 / 14.79",41.614,5.379,0.0022451,2.6488
"344.9842 / 8.81",0.2081,-2.2647,0.0022557,2.6467
"517.2953 / 19.30",0.046616,-4.423,0.0022871,2.6407
"317.1312 / 1.57",0.016684,-5.9054,0.0022895,2.6403
"618.9915 / 20.02  M3H3",0.028372,-5.1394,0.0022895,2.6403
"522.2946 / 12.13  M2H2",0.0058386,-7.4202,0.0022975,2.6387
"732.2752 / 20.53",0.0062618,-7.3192,0.0022975,2.6387
"441.2334 / 19.76",0.0098593,-6.6643,0.0022975,2.6387
"508.2755 / 13.39",0.014037,-6.1546,0.0022975,2.6387
"662.2214 / 20.77",0.014217,-6.1363,0.0022975,2.6387
"640.3046 / 19.92",0.019563,-5.6757,0.0022975,2.6387
"662.3263 / 19.51",0.023642,-5.4025,0.0022975,2.6387
"566.2774 / 11.00",0.025777,-5.2778,0.0022975,2.6387
