"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"897.4064 / 10.13  MNa-2H-",27.044,1.4533e-05,4.8376,0.00013539,"Infected - Control"
"498.2573 / 15.72",27.044,1.4534e-05,4.8376,0.00013539,"Infected - Control"
"448.9123 / 15.79",27.041,1.4544e-05,4.8373,0.00013539,"Infected - Control"
"706.3786 / 11.48",27.039,1.4553e-05,4.8371,0.00013539,"Infected - Control"
"532.2749 / 11.47",27.037,1.4562e-05,4.8368,0.00013539,"Infected - Control"
"485.2595 / 11.75",27.036,1.4566e-05,4.8367,0.00013539,"Infected - Control"
"340.6739 / 2.40  M2",27.034,1.457e-05,4.8365,0.00013539,"Infected - Control"
"447.9099 / 15.75",27.017,1.4638e-05,4.8345,0.00013569,"Infected - Control"
"458.2543 / 14.65",27.017,1.4639e-05,4.8345,0.00013569,"Infected - Control"
"316.1871 / 6.69",27.016,1.4642e-05,4.8344,0.00013569,"Infected - Control"
"357.2226 / 9.95",27.015,1.4645e-05,4.8343,0.00013569,"Infected - Control"
"512.2461 / 6.68",27.011,1.4662e-05,4.8338,0.00013574,"Infected - Control"
"746.3326 / 19.71  M3H3",27.008,1.4673e-05,4.8335,0.00013574,"Infected - Control"
"356.1452 / 10.06",27.005,1.4686e-05,4.8331,0.00013574,"Infected - Control"
"416.1809 / 11.47  MNa-2H-",27.003,1.4693e-05,4.8329,0.00013574,"Infected - Control"
"590.3105 / 15.98",26.993,1.4732e-05,4.8317,0.00013601,"Infected - Control"
"506.2614 / 9.58",26.99,1.4743e-05,4.8314,0.00013601,"Infected - Control"
"362.1681 / 17.48  MNa-2H-",26.986,1.4762e-05,4.8309,0.00013608,"Infected - Control"
"492.2492 / 9.47  M",26.977,1.4796e-05,4.8299,0.0001363,"Infected - Control"
"294.1532 / 7.05",26.966,1.4841e-05,4.8285,0.00013662,"Infected - Control"
"578.2629 / 18.54",26.96,1.4863e-05,4.8279,0.00013667,"Infected - Control"
"543.3157 / 13.59  M-H-",26.959,1.4868e-05,4.8277,0.00013667,"Infected - Control"
"558.2505 / 12.39  M2H2",26.955,1.4884e-05,4.8273,0.00013671,"Infected - Control"
"318.1674 / 2.28  MAcO-H-",26.951,1.4899e-05,4.8269,0.00013675,"Infected - Control"
"146.0462 / 1.47",26.938,1.4953e-05,4.8253,0.00013715,"Infected - Control"
"318.1819 / 13.01",26.919,1.5026e-05,4.8232,0.00013772,"Infected - Control"
"128.9852 / 1.85",26.914,1.5045e-05,4.8226,0.0001378,"Infected - Control"
"360.1773 / 2.63",26.912,1.5055e-05,4.8223,0.0001378,"Infected - Control"
"505.1981 / 5.17  M2H2",26.904,1.5087e-05,4.8214,0.00013789,"Infected - Control"
"489.2786 / 13.98",26.902,1.5096e-05,4.8211,0.00013789,"Infected - Control"
"599.2580 / 2.34",26.902,1.5098e-05,4.8211,0.00013789,"Infected - Control"
"432.2194 / 3.48  M2H2",26.893,1.5133e-05,4.8201,0.00013792,"Infected - Control"
"661.3566 / 18.15",26.892,1.5136e-05,4.82,0.00013792,"Infected - Control"
"345.2200 / 4.64",26.89,1.5145e-05,4.8197,0.00013792,"Infected - Control"
"344.2540 / 13.97",26.889,1.5149e-05,4.8196,0.00013792,"Infected - Control"
"500.7569 / 10.54",26.887,1.5155e-05,4.8194,0.00013792,"Infected - Control"
"450.2171 / 10.13  MHNa2",26.872,1.5216e-05,4.8177,0.00013837,"Infected - Control"
"626.3866 / 19.27",26.867,1.5238e-05,4.8171,0.00013838,"Infected - Control"
"797.3646 / 16.09  MNa-2H-",26.865,1.5246e-05,4.8169,0.00013838,"Infected - Control"
"449.2245 / 4.62",26.864,1.5249e-05,4.8167,0.00013838,"Infected - Control"
"624.2609 / 7.31",26.859,1.5271e-05,4.8161,0.00013848,"Infected - Control"
"413.1840 / 15.46",26.849,1.5311e-05,4.815,0.00013871,"Infected - Control"
"644.3276 / 19.75  M2H2",26.847,1.5318e-05,4.8148,0.00013871,"Infected - Control"
"679.3500 / 16.73",26.837,1.5361e-05,4.8136,0.000139,"Infected - Control"
"622.8016 / 15.78",26.825,1.5412e-05,4.8121,0.0001393,"Infected - Control"
"636.2980 / 3.13  M-2H2-",26.824,1.5416e-05,4.812,0.0001393,"Infected - Control"
"644.3325 / 17.05  M2H2",26.804,1.5499e-05,4.8097,0.00013995,"Infected - Control"
"520.3131 / 9.10",26.791,1.5552e-05,4.8082,0.00014024,"Infected - Control"
"403.2193 / 8.09  M",26.791,1.5553e-05,4.8082,0.00014024,"Infected - Control"
"575.8191 / 18.92  M2",26.777,1.5611e-05,4.8066,0.00014067,"Infected - Control"
"489.2570 / 13.82  M",26.773,1.5626e-05,4.8061,0.0001407,"Infected - Control"
"320.1715 / 8.12  MNH4",26.765,1.5659e-05,4.8052,0.00014088,"Infected - Control"
"619.2936 / 18.50",26.763,1.5669e-05,4.805,0.00014088,"Infected - Control"
"387.7109 / 7.49  M2H2",26.759,1.5685e-05,4.8045,0.00014094,"Infected - Control"
"673.3769 / 19.10  MAcO-H-",26.75,1.5724e-05,4.8034,0.00014119,"Infected - Control"
"521.2717 / 10.44  MNH4",26.742,1.5757e-05,4.8025,0.00014133,"Infected - Control"
"316.1865 / 3.67",26.739,1.577e-05,4.8022,0.00014133,"Infected - Control"
"544.7400 / 19.26  M-2H2-",26.734,1.5793e-05,4.8015,0.00014133,"Infected - Control"
"811.3641 / 14.63  MNa-2H-",26.728,1.5817e-05,4.8009,0.00014133,"Infected - Control"
"492.7601 / 15.89",26.726,1.5828e-05,4.8006,0.00014133,"Infected - Control"
"276.2160 / 13.76",26.723,1.5838e-05,4.8003,0.00014133,"Control - Infected"
"447.2335 / 14.99",26.723,1.5839e-05,4.8003,0.00014133,"Infected - Control"
"785.4201 / 20.04",26.721,1.5845e-05,4.8001,0.00014133,"Infected - Control"
"368.2309 / 11.47",26.721,1.5846e-05,4.8001,0.00014133,"Infected - Control"
"671.3901 / 13.98",26.72,1.585e-05,4.8,0.00014133,"Infected - Control"
"317.1119 / 3.21",26.707,1.5906e-05,4.7984,0.00014159,"Infected - Control"
"901.4220 / 17.42",26.706,1.5909e-05,4.7984,0.00014159,"Infected - Control"
"405.8910 / 12.83  M3H3",26.706,1.5913e-05,4.7982,0.00014159,"Infected - Control"
"397.2304 / 7.77",26.703,1.5926e-05,4.7979,0.0001416,"Infected - Control"
"336.7234 / 15.59",26.692,1.5973e-05,4.7966,0.00014182,"Infected - Control"
"690.3686 / 16.17",26.688,1.5989e-05,4.7962,0.00014182,"Infected - Control"
"596.2996 / 18.75",26.687,1.5991e-05,4.7961,0.00014182,"Infected - Control"
"531.3137 / 2.43",26.687,1.5994e-05,4.796,0.00014182,"Infected - Control"
"543.3149 / 8.23",26.684,1.6006e-05,4.7957,0.00014182,"Infected - Control"
"675.3468 / 15.15  M3H3",26.679,1.6028e-05,4.7951,0.00014192,"Infected - Control"
"253.1202 / 7.25",26.672,1.6057e-05,4.7943,0.00014208,"Control - Infected"
"586.3021 / 16.75  M-2H2-",26.659,1.6112e-05,4.7929,0.00014239,"Infected - Control"
"419.2359 / 11.69  M3H3",26.659,1.6115e-05,4.7928,0.00014239,"Infected - Control"
"552.9798 / 8.16  M3H3",26.655,1.6129e-05,4.7924,0.00014242,"Infected - Control"
"508.2960 / 16.61",26.65,1.6152e-05,4.7918,0.00014252,"Infected - Control"
"592.2774 / 19.07",26.639,1.62e-05,4.7905,0.00014284,"Infected - Control"
"624.3723 / 19.28",26.622,1.6277e-05,4.7884,0.00014343,"Infected - Control"
"663.3708 / 18.11",26.619,1.6288e-05,4.7881,0.00014343,"Infected - Control"
"274.1193 / 4.82",26.602,1.6361e-05,4.7862,0.00014389,"Infected - Control"
"331.1969 / 2.12",26.6,1.637e-05,4.786,0.00014389,"Infected - Control"
"613.3307 / 3.58",26.597,1.6383e-05,4.7856,0.00014389,"Infected - Control"
"347.7177 / 8.36  M2H2",26.597,1.6385e-05,4.7855,0.00014389,"Infected - Control"
"490.2621 / 3.51",26.58,1.6459e-05,4.7836,0.00014443,"Infected - Control"
"629.2894 / 15.93  MNa-2H-",26.571,1.6501e-05,4.7825,0.00014468,"Infected - Control"
"339.5226 / 10.62",26.569,1.6509e-05,4.7823,0.00014468,"Infected - Control"
"833.4296 / 19.17",26.559,1.6555e-05,4.7811,0.00014498,"Infected - Control"
"527.2602 / 15.44",26.553,1.6581e-05,4.7804,0.00014511,"Infected - Control"
"459.2150 / 12.42  M-H-",26.542,1.663e-05,4.7791,0.00014544,"Infected - Control"
"437.2393 / 11.40",26.538,1.6646e-05,4.7787,0.00014547,"Infected - Control"
"501.7374 / 17.23",26.527,1.6696e-05,4.7774,0.00014582,"Infected - Control"
"522.7556 / 18.43  M2H2",26.521,1.6722e-05,4.7767,0.00014594,"Infected - Control"
"510.5103 / 16.36  M4H4",26.515,1.675e-05,4.776,0.00014608,"Infected - Control"
"695.3643 / 13.56  M2H2",26.513,1.6761e-05,4.7757,0.00014608,"Infected - Control"
"354.1739 / 8.46  M2H2",26.502,1.681e-05,4.7744,0.00014619,"Infected - Control"
"277.1444 / 22.51",26.499,1.6822e-05,4.7741,0.00014619,"Infected - Control"
"373.7257 / 4.56",26.496,1.6836e-05,4.7738,0.00014619,"Infected - Control"
"513.7706 / 13.40",26.496,1.6837e-05,4.7737,0.00014619,"Infected - Control"
"417.2452 / 2.71  MNH4",26.496,1.6837e-05,4.7737,0.00014619,"Infected - Control"
"319.1413 / 4.61  MNH4",26.495,1.6842e-05,4.7736,0.00014619,"Infected - Control"
"423.5944 / 15.21  M3H3",26.477,1.6925e-05,4.7715,0.00014681,"Infected - Control"
"345.2241 / 10.12",26.464,1.6982e-05,4.77,0.0001472,"Infected - Control"
"538.2970 / 13.94  MH",26.462,1.6994e-05,4.7697,0.0001472,"Infected - Control"
"469.2245 / 10.64",26.459,1.7007e-05,4.7694,0.0001472,"Infected - Control"
"160.1081 / 1.93",26.457,1.7016e-05,4.7691,0.0001472,"Control - Infected"
"460.2518 / 10.20  M2HNa3",26.453,1.7033e-05,4.7687,0.00014724,"Infected - Control"
"423.2345 / 6.92",26.448,1.7057e-05,4.7681,0.00014735,"Infected - Control"
"533.2208 / 9.63",26.441,1.7088e-05,4.7673,0.00014744,"Infected - Control"
"496.7836 / 18.79  M2H2",26.437,1.7108e-05,4.7668,0.00014744,"Infected - Control"
"414.2339 / 12.59",26.436,1.7113e-05,4.7667,0.00014744,"Infected - Control"
"460.7608 / 10.35",26.436,1.7114e-05,4.7666,0.00014744,"Infected - Control"
"710.4174 / 19.46  2M",26.432,1.7133e-05,4.7662,0.00014744,"Infected - Control"
"734.3422 / 16.52  M2H2",26.431,1.7136e-05,4.7661,0.00014744,"Infected - Control"
"756.3885 / 18.36  MNa",26.427,1.7155e-05,4.7656,0.00014744,"Infected - Control"
"599.7682 / 10.37  M2H2",26.426,1.7159e-05,4.7655,0.00014744,"Infected - Control"
"667.3409 / 7.89  M-H-",26.423,1.7171e-05,4.7652,0.00014744,"Infected - Control"
"759.3664 / 19.67  MNa-2H-",26.415,1.7211e-05,4.7642,0.00014767,"Infected - Control"
"992.5265 / 19.51",26.413,1.7221e-05,4.7639,0.00014767,"Infected - Control"
"444.2449 / 9.71",26.409,1.7238e-05,4.7635,0.00014772,"Infected - Control"
"259.0757 / 7.57",26.405,1.7257e-05,4.763,0.00014778,"Infected - Control"
"516.3009 / 13.81",26.376,1.7393e-05,4.7596,0.00014869,"Infected - Control"
"548.2729 / 13.82",26.372,1.7411e-05,4.7592,0.00014869,"Infected - Control"
"619.3039 / 2.74",26.364,1.7452e-05,4.7582,0.00014869,"Infected - Control"
"770.3923 / 20.01  M-H-",26.362,1.7458e-05,4.758,0.00014869,"Infected - Control"
"644.2792 / 10.04",26.362,1.7459e-05,4.758,0.00014869,"Infected - Control"
"399.2257 / 17.17",26.361,1.7463e-05,4.7579,0.00014869,"Infected - Control"
"639.9383 / 18.05",26.359,1.7473e-05,4.7576,0.00014869,"Infected - Control"
"579.2627 / 19.31  M3H3",26.358,1.7476e-05,4.7576,0.00014869,"Infected - Control"
"242.1231 / 11.72",26.357,1.7481e-05,4.7574,0.00014869,"Infected - Control"
"382.2223 / 2.12",26.356,1.7486e-05,4.7573,0.00014869,"Infected - Control"
"601.3185 / 8.06",26.355,1.7491e-05,4.7572,0.00014869,"Infected - Control"
"333.2132 / 2.45",26.349,1.7519e-05,4.7565,0.00014883,"Infected - Control"
"378.2082 / 11.00",26.338,1.7571e-05,4.7552,0.00014917,"Infected - Control"
"93.0346 / 10.08",26.331,1.7608e-05,4.7543,0.00014939,"Control - Infected"
"385.9687 / 2.64",26.327,1.7626e-05,4.7539,0.00014944,"Control - Infected"
"463.2548 / 14.34",26.318,1.7667e-05,4.7528,0.00014947,"Infected - Control"
"305.1675 / 8.76  MH",26.318,1.767e-05,4.7528,0.00014947,"Infected - Control"
"509.2575 / 12.52",26.315,1.7682e-05,4.7525,0.00014947,"Infected - Control"
"695.8538 / 15.97",26.311,1.7701e-05,4.752,0.00014947,"Infected - Control"
"421.2082 / 2.10",26.305,1.7729e-05,4.7513,0.00014947,"Infected - Control"
"395.2157 / 9.41",26.305,1.773e-05,4.7513,0.00014947,"Infected - Control"
"485.1712 / 8.36",26.305,1.7731e-05,4.7513,0.00014947,"Infected - Control"
"432.1476 / 11.79",26.304,1.7733e-05,4.7512,0.00014947,"Infected - Control"
"251.1758 / 12.16",26.304,1.7734e-05,4.7512,0.00014947,"Control - Infected"
"251.1033 / 2.89",26.299,1.7757e-05,4.7506,0.00014954,"Infected - Control"
"379.1975 / 9.80",26.296,1.7774e-05,4.7502,0.00014954,"Infected - Control"
"520.8048 / 15.77  M2H2",26.295,1.7779e-05,4.7501,0.00014954,"Infected - Control"
"585.2532 / 9.39",26.284,1.783e-05,4.7489,0.00014987,"Infected - Control"
"332.1240 / 4.51",26.275,1.7873e-05,4.7478,0.00015014,"Infected - Control"
"387.2587 / 12.33",26.26,1.7946e-05,4.746,0.00015065,"Infected - Control"
"614.3496 / 15.20",26.239,1.805e-05,4.7435,0.00015142,"Infected - Control"
"674.3147 / 16.85  M-H-",26.229,1.81e-05,4.7423,0.00015175,"Infected - Control"
"563.8000 / 18.31  M2H2",26.226,1.8115e-05,4.742,0.00015177,"Infected - Control"
"222.1136 / 3.20",26.222,1.8132e-05,4.7415,0.00015182,"Control - Infected"
"742.3965 / 19.29",26.217,1.8158e-05,4.7409,0.00015194,"Infected - Control"
"364.1502 / 5.83",26.205,1.8218e-05,4.7395,0.00015234,"Infected - Control"
"472.2587 / 7.05",26.193,1.8277e-05,4.7381,0.00015273,"Infected - Control"
"567.2762 / 11.78  MNa",26.187,1.8308e-05,4.7374,0.00015289,"Infected - Control"
"500.2720 / 8.38",26.18,1.834e-05,4.7366,0.00015305,"Infected - Control"
"316.1504 / 3.80",26.176,1.836e-05,4.7361,0.00015312,"Infected - Control"
"335.1351 / 3.70  M-H-",26.166,1.8409e-05,4.735,0.00015344,"Infected - Control"
"748.3898 / 17.59",26.162,1.8434e-05,4.7344,0.00015353,"Infected - Control"
"556.8076 / 19.07",26.159,1.8445e-05,4.7341,0.00015353,"Infected - Control"
"518.2970 / 9.06",26.141,1.8537e-05,4.732,0.00015391,"Infected - Control"
"629.3134 / 16.03",26.14,1.8541e-05,4.7319,0.00015391,"Infected - Control"
"444.7586 / 13.12  M2H2",26.14,1.8542e-05,4.7318,0.00015391,"Infected - Control"
"216.0993 / 1.59  MCH3OHH",26.137,1.8558e-05,4.7315,0.00015391,"Control - Infected"
"454.2342 / 9.65",26.137,1.8559e-05,4.7314,0.00015391,"Infected - Control"
"717.8270 / 14.55  M-2H2-",26.135,1.8568e-05,4.7312,0.00015391,"Infected - Control"
"550.2543 / 11.09",26.134,1.8575e-05,4.7311,0.00015391,"Infected - Control"
"622.3115 / 11.14",26.128,1.8602e-05,4.7305,0.00015398,"Infected - Control"
"406.2327 / 19.03  MH",26.125,1.862e-05,4.73,0.00015398,"Infected - Control"
"694.3032 / 12.29  M-H-",26.122,1.8636e-05,4.7297,0.00015398,"Infected - Control"
"315.1319 / 6.08",26.121,1.8641e-05,4.7295,0.00015398,"Infected - Control"
"590.2816 / 19.01  M-H-",26.12,1.8643e-05,4.7295,0.00015398,"Infected - Control"
"858.4488 / 12.85",26.117,1.8659e-05,4.7291,0.00015401,"Infected - Control"
"516.2297 / 11.35",26.107,1.8708e-05,4.728,0.00015431,"Infected - Control"
"591.2329 / 13.56",26.104,1.8724e-05,4.7276,0.00015435,"Infected - Control"
"401.2391 / 8.50  MH",26.099,1.8749e-05,4.727,0.0001544,"Infected - Control"
"408.7358 / 19.76  M2H2",26.098,1.8755e-05,4.7269,0.0001544,"Infected - Control"
"289.0593 / 8.27",26.095,1.8772e-05,4.7265,0.00015442,"Infected - Control"
"316.1871 / 6.14",26.091,1.8789e-05,4.7261,0.00015442,"Infected - Control"
"615.3717 / 18.76",26.091,1.8793e-05,4.726,0.00015442,"Infected - Control"
"430.2663 / 8.09",26.075,1.8872e-05,4.7242,0.00015492,"Infected - Control"
"696.2976 / 16.85  MNa-2H-",26.074,1.8879e-05,4.724,0.00015492,"Infected - Control"
"652.3362 / 16.65  M2H2",26.055,1.8979e-05,4.7217,0.00015547,"Infected - Control"
"579.2779 / 18.44",26.051,1.8998e-05,4.7213,0.00015547,"Infected - Control"
"626.2920 / 17.92",26.049,1.9006e-05,4.7211,0.00015547,"Infected - Control"
"469.2283 / 17.77",26.049,1.9006e-05,4.7211,0.00015547,"Infected - Control"
"681.3233 / 15.17",26.047,1.9016e-05,4.7209,0.00015547,"Infected - Control"
"719.3736 / 19.00",26.047,1.9019e-05,4.7208,0.00015547,"Infected - Control"
"653.3101 / 19.42  M-H-",26.044,1.9033e-05,4.7205,0.00015549,"Infected - Control"
"614.3137 / 19.83",26.04,1.9053e-05,4.72,0.00015555,"Infected - Control"
"548.2378 / 11.08  M-H-",26.038,1.9065e-05,4.7198,0.00015556,"Infected - Control"
"311.1858 / 12.32  M2H2",26.031,1.91e-05,4.719,0.00015574,"Infected - Control"
"334.1979 / 3.69",26.029,1.9112e-05,4.7187,0.00015574,"Infected - Control"
"725.3599 / 19.50",26.023,1.914e-05,4.7181,0.00015587,"Infected - Control"
"404.2353 / 13.61  M2H2",26.019,1.9164e-05,4.7175,0.00015596,"Infected - Control"
"632.7919 / 17.55",26.008,1.9222e-05,4.7162,0.00015633,"Infected - Control"
"613.2413 / 12.45",25.994,1.9293e-05,4.7146,0.00015681,"Infected - Control"
"723.2752 / 19.45  MNa-2H-",25.985,1.9339e-05,4.7136,0.00015709,"Infected - Control"
"457.2179 / 13.04",25.977,1.9382e-05,4.7126,0.0001573,"Infected - Control"
"345.1421 / 5.54",25.975,1.9395e-05,4.7123,0.0001573,"Infected - Control"
"438.7677 / 18.91  MH",25.973,1.9402e-05,4.7121,0.0001573,"Infected - Control"
"485.2738 / 14.82  M2H2",25.964,1.9451e-05,4.7111,0.00015747,"Infected - Control"
"451.2183 / 9.63",25.963,1.9459e-05,4.7109,0.00015747,"Infected - Control"
"837.4005 / 14.98",25.963,1.946e-05,4.7109,0.00015747,"Infected - Control"
"629.3143 / 13.68",25.959,1.9479e-05,4.7104,0.00015753,"Infected - Control"
"392.1806 / 16.47",25.947,1.9542e-05,4.709,0.0001579,"Infected - Control"
"413.1921 / 11.83",25.945,1.9554e-05,4.7088,0.0001579,"Infected - Control"
"674.3315 / 17.33",25.943,1.9563e-05,4.7086,0.0001579,"Infected - Control"
"493.7173 / 8.72",25.932,1.9622e-05,4.7073,0.00015801,"Infected - Control"
"544.2034 / 17.20  M-2H2-",25.93,1.9634e-05,4.707,0.00015801,"Infected - Control"
"382.1983 / 8.56  MCH3OHH",25.929,1.9639e-05,4.7069,0.00015801,"Infected - Control"
"388.1507 / 15.03  M-H-",25.928,1.9642e-05,4.7068,0.00015801,"Infected - Control"
"666.3289 / 17.26  M-",25.927,1.965e-05,4.7066,0.00015801,"Infected - Control"
"419.7267 / 19.79  MHNa2",25.927,1.965e-05,4.7066,0.00015801,"Infected - Control"
"218.0471 / 11.45",25.904,1.9773e-05,4.7039,0.00015864,"Control - Infected"
"435.7371 / 18.59",25.904,1.9774e-05,4.7039,0.00015864,"Infected - Control"
"686.0071 / 17.87  M3H3",25.903,1.9778e-05,4.7038,0.00015864,"Infected - Control"
"378.1700 / 9.76",25.903,1.9778e-05,4.7038,0.00015864,"Infected - Control"
"625.3302 / 12.24  M-H2O-H-",25.898,1.9808e-05,4.7032,0.00015877,"Infected - Control"
"596.3086 / 18.75  MH",25.884,1.9881e-05,4.7016,0.00015926,"Infected - Control"
"392.7501 / 14.82  M2H2",25.877,1.9918e-05,4.7008,0.00015946,"Infected - Control"
"150.0915 / 4.86",25.875,1.9931e-05,4.7005,0.00015946,"Control - Infected"
"639.3460 / 14.54  M-H2O-H-",25.87,1.996e-05,4.6998,0.00015959,"Infected - Control"
"413.1919 / 12.81  MH",25.857,2.0031e-05,4.6983,0.00015996,"Infected - Control"
"525.2168 / 19.10  M-2H2-",25.857,2.0031e-05,4.6983,0.00015996,"Infected - Control"
"402.7009 / 10.84  M2H2",25.848,2.008e-05,4.6972,0.00016013,"Infected - Control"
"721.3484 / 14.51  M-H2O-H-",25.847,2.0086e-05,4.6971,0.00016013,"Infected - Control"
"401.2032 / 8.05  M-H-",25.846,2.0089e-05,4.697,0.00016013,"Infected - Control"
"458.6897 / 17.21",25.832,2.0164e-05,4.6954,0.00016062,"Infected - Control"
"413.2756 / 16.75",25.816,2.0253e-05,4.6935,0.00016107,"Infected - Control"
"471.2570 / 7.04  MNH4",25.815,2.0262e-05,4.6933,0.00016107,"Infected - Control"
"695.3728 / 11.53",25.814,2.0267e-05,4.6932,0.00016107,"Infected - Control"
"803.3707 / 15.46",25.813,2.027e-05,4.6931,0.00016107,"Infected - Control"
"519.2203 / 11.03",25.802,2.033e-05,4.6919,0.0001614,"Infected - Control"
"629.3690 / 16.59",25.801,2.0337e-05,4.6917,0.0001614,"Infected - Control"
"518.2610 / 16.76",25.792,2.0386e-05,4.6907,0.00016168,"Infected - Control"
"619.3097 / 14.88",25.79,2.04e-05,4.6904,0.00016169,"Infected - Control"
"428.1468 / 16.27  MNa",25.787,2.0417e-05,4.69,0.00016173,"Infected - Control"
"472.1667 / 4.10",25.783,2.044e-05,4.6895,0.00016181,"Infected - Control"
"502.3010 / 13.83",25.768,2.0521e-05,4.6878,0.00016235,"Infected - Control"
"540.1708 / 14.33  MNa-2H-",25.765,2.0538e-05,4.6874,0.00016239,"Infected - Control"
"471.7727 / 13.95  M2H2",25.754,2.0603e-05,4.6861,0.0001628,"Infected - Control"
"673.3589 / 18.85",25.734,2.0716e-05,4.6837,0.00016357,"Infected - Control"
"904.4501 / 17.61",25.732,2.0726e-05,4.6835,0.00016357,"Infected - Control"
"355.1612 / 8.89",25.72,2.0794e-05,4.6821,0.00016401,"Infected - Control"
"346.1609 / 3.20",25.716,2.0819e-05,4.6815,0.00016406,"Infected - Control"
"589.2092 / 2.29",25.714,2.0826e-05,4.6814,0.00016406,"Infected - Control"
"486.2737 / 14.85",25.709,2.0858e-05,4.6807,0.0001642,"Infected - Control"
"243.1347 / 11.75  MH",25.701,2.0902e-05,4.6798,0.00016436,"Infected - Control"
"231.0552 / 8.32",25.701,2.0904e-05,4.6798,0.00016436,"Infected - Control"
"243.1346 / 11.23",25.699,2.0917e-05,4.6795,0.00016436,"Infected - Control"
"574.2404 / 17.55  M-2H2-",25.694,2.0945e-05,4.6789,0.00016449,"Infected - Control"
"446.1892 / 14.15",25.684,2.1002e-05,4.6777,0.00016483,"Infected - Control"
"581.2920 / 12.48  MCH3OHH",25.678,2.1033e-05,4.6771,0.00016497,"Infected - Control"
"422.2431 / 11.59",25.667,2.1102e-05,4.6757,0.00016541,"Infected - Control"
"386.7106 / 19.99",25.656,2.1163e-05,4.6744,0.00016574,"Infected - Control"
"536.2694 / 13.02  MNa-2H-",25.653,2.1183e-05,4.674,0.00016574,"Infected - Control"
"330.2019 / 4.38",25.651,2.119e-05,4.6739,0.00016574,"Infected - Control"
"483.9264 / 19.65  M3H3",25.65,2.1201e-05,4.6737,0.00016574,"Infected - Control"
"435.2093 / 3.68  MH",25.648,2.1209e-05,4.6735,0.00016574,"Infected - Control"
"201.1239 / 10.77",25.646,2.1223e-05,4.6732,0.00016575,"Infected - Control"
"683.3731 / 11.24",25.643,2.1238e-05,4.6729,0.00016577,"Infected - Control"
"508.2582 / 14.35  M2H2",25.637,2.1276e-05,4.6721,0.00016596,"Infected - Control"
"369.1774 / 12.57",25.62,2.1372e-05,4.6702,0.00016661,"Infected - Control"
"841.3779 / 19.31",25.604,2.1467e-05,4.6682,0.00016724,"Infected - Control"
"346.1964 / 5.82",25.598,2.1501e-05,4.6675,0.00016741,"Infected - Control"
"659.2999 / 18.69  M2H2",25.592,2.1536e-05,4.6668,0.00016758,"Infected - Control"
"486.2580 / 9.77",25.583,2.159e-05,4.6657,0.0001679,"Infected - Control"
"301.1172 / 3.32",25.574,2.1644e-05,4.6647,0.00016821,"Infected - Control"
"642.3452 / 15.87  M-H-",25.546,2.1809e-05,4.6614,0.0001694,"Infected - Control"
"299.1439 / 8.89",25.533,2.1891e-05,4.6597,0.00016993,"Infected - Control"
"663.3210 / 15.20",25.515,2.2001e-05,4.6576,0.00017068,"Infected - Control"
"375.1536 / 5.13",25.498,2.21e-05,4.6556,0.0001711,"Infected - Control"
"598.2978 / 10.03",25.498,2.2104e-05,4.6555,0.0001711,"Infected - Control"
"517.2990 / 9.73  MH",25.496,2.2114e-05,4.6553,0.0001711,"Infected - Control"
"827.3518 / 6.63",25.496,2.2116e-05,4.6553,0.0001711,"Infected - Control"
"472.2040 / 9.09",25.495,2.2122e-05,4.6552,0.0001711,"Infected - Control"
"541.2974 / 8.22  M-H-",25.487,2.2168e-05,4.6543,0.00017123,"Infected - Control"
"489.2936 / 19.20  M-2H2-",25.487,2.2169e-05,4.6543,0.00017123,"Infected - Control"
"630.2728 / 16.91",25.484,2.2185e-05,4.6539,0.00017123,"Infected - Control"
"302.1502 / 8.09  M-H-",25.483,2.2193e-05,4.6538,0.00017123,"Infected - Control"
"788.3734 / 16.73",25.47,2.2273e-05,4.6522,0.00017175,"Infected - Control"
"523.7169 / 17.64  M-2H2-",25.463,2.2314e-05,4.6514,0.00017196,"Infected - Control"
"546.7846 / 17.95  M2H2",25.453,2.2378e-05,4.6502,0.00017228,"Infected - Control"
"424.7166 / 18.31",25.451,2.2392e-05,4.6499,0.00017228,"Infected - Control"
"521.2450 / 15.67  M3H3",25.45,2.2397e-05,4.6498,0.00017228,"Infected - Control"
"799.3724 / 15.42",25.448,2.241e-05,4.6496,0.00017228,"Infected - Control"
"712.3395 / 8.10  MNa-2H-",25.444,2.2433e-05,4.6491,0.00017235,"Infected - Control"
"300.1925 / 7.26",25.439,2.2463e-05,4.6485,0.00017248,"Infected - Control"
"522.2558 / 15.66",25.436,2.2484e-05,4.6481,0.00017254,"Infected - Control"
"600.3136 / 10.07",25.43,2.252e-05,4.6474,0.00017267,"Infected - Control"
"473.7540 / 13.50  M2H2",25.429,2.2529e-05,4.6473,0.00017267,"Infected - Control"
"443.2499 / 12.50  MFA-H-",25.416,2.2607e-05,4.6457,0.00017317,"Infected - Control"
"447.2085 / 4.59  M-H-",25.404,2.2685e-05,4.6443,0.00017366,"Infected - Control"
"457.7336 / 10.67  M-2H2-",25.401,2.2703e-05,4.6439,0.00017367,"Infected - Control"
"463.2120 / 16.63  MH",25.399,2.2713e-05,4.6437,0.00017367,"Infected - Control"
"536.2080 / 19.10  M-2H2-",25.393,2.2753e-05,4.643,0.00017387,"Infected - Control"
