"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"632.2896 / 19.64",13.608,0.00092453,3.0341,0.0029348,"Infected - Control"
"323.1831 / 8.65",13.6,0.00092721,3.0328,0.0029426,"Infected - Control"
"655.3124 / 8.08  M2H2",13.595,0.00092886,3.0321,0.0029471,"Infected - Control"
"440.2972 / 8.76",13.593,0.00092945,3.0318,0.0029483,"Infected - Control"
"591.8135 / 14.27  M2H2",13.59,0.00093058,3.0312,0.0029511,"Infected - Control"
"263.0747 / 7.02",13.578,0.00093461,3.0294,0.0029632,"Control - Infected"
"261.0743 / 17.29",13.575,0.00093544,3.029,0.0029651,"Control - Infected"
"601.2282 / 15.96",13.57,0.00093715,3.0282,0.0029691,"Infected - Control"
"603.2636 / 16.13",13.57,0.00093718,3.0282,0.0029691,"Infected - Control"
"412.2546 / 1.80",13.565,0.00093895,3.0274,0.002974,"Infected - Control"
"249.0611 / 4.22  MNa",13.563,0.00093962,3.027,0.0029754,"Control - Infected"
"303.0878 / 14.66",13.559,0.00094095,3.0264,0.0029788,"Control - Infected"
"403.1814 / 3.80",13.55,0.0009441,3.025,0.0029881,"Infected - Control"
"449.5027 / 7.41",13.545,0.00094568,3.0243,0.0029923,"Infected - Control"
"499.0426 / 5.65",13.54,0.00094748,3.0234,0.0029973,"Infected - Control"
"557.3415 / 8.75",13.537,0.00094863,3.0229,0.0030002,"Infected - Control"
"189.0736 / 8.01",13.536,0.00094894,3.0228,0.0030004,"Control - Infected"
"138.0664 / 12.44",13.534,0.00094941,3.0225,0.0030009,"Control - Infected"
"325.0890 / 5.12",13.534,0.00094956,3.0225,0.0030009,"Control - Infected"
"475.2508 / 3.83",13.532,0.00095005,3.0223,0.0030017,"Infected - Control"
"460.2400 / 8.45  MNH4",13.531,0.00095059,3.022,0.0030024,"Infected - Control"
"359.3167 / 24.04  M",13.53,0.00095076,3.0219,0.0030024,"Infected - Control"
"576.7923 / 14.57  M2H2",13.53,0.00095101,3.0218,0.0030025,"Infected - Control"
"429.2336 / 11.03",13.527,0.00095207,3.0213,0.0030051,"Infected - Control"
"388.2272 / 8.10",13.514,0.00095626,3.0194,0.0030176,"Infected - Control"
"338.2005 / 11.44  M3H3",13.509,0.000958,3.0186,0.0030223,"Infected - Control"
"949.4650 / 18.85  M-2H2-",13.502,0.00096053,3.0175,0.0030296,"Infected - Control"
"570.3130 / 15.39",13.501,0.0009609,3.0173,0.00303,"Infected - Control"
"449.2035 / 14.11  MFA-H-",13.496,0.00096267,3.0165,0.0030348,"Infected - Control"
"605.1945 / 22.26",13.491,0.00096438,3.0158,0.0030394,"Control - Infected"
"663.3452 / 8.60  MNa",13.48,0.00096824,3.014,0.0030509,"Infected - Control"
"494.6961 / 9.69",13.479,0.00096861,3.0139,0.0030513,"Infected - Control"
"451.1829 / 3.68",13.475,0.00096988,3.0133,0.0030544,"Infected - Control"
