"","Loading (t1)","OrthoLoading (to1)"
"217.0039 / 5.36",-0.0039352,-0.014529
"217.0040 / 0.07",0.0016024,0.0012282
"217.0040 / 1.14  M-H-",-0.01172,0.0076618
"217.0041 / 28.49",-0.0018353,0.0071487
"217.0041 / 3.65",0.0014851,0.013598
"217.0042 / 29.78",-0.003245,0.002084
"217.0045 / 29.14",-0.0011738,0.00060817
"217.0048 / 27.95",-1.978e-05,0.0064292
"217.0053 / 30.44",0.0020388,0.0072941
"217.0317 / 1.45",0.012564,0.00093838
"217.0474 / 19.55",0.0020401,-0.0071532
"217.0490 / 1.43  MCl-",0.011894,-0.0098374
"217.1082 / 17.30",-0.0041209,-0.010833
"217.1188 / 2.16",-0.011058,-0.016048
"218.0049 / 25.01",-0.00021449,-0.0091208
"218.0059 / 31.91",-0.0046373,-0.0016142
"218.0062 / 13.84",0.0049547,-0.0034459
"218.0063 / 0.23",0.0011511,-0.0097496
"218.0064 / 10.54",-0.0018326,-0.0052066
"218.0064 / 25.61",0.002285,0.008703
"218.0064 / 5.49",-0.007133,-0.013734
"218.0065 / 14.60",0.001519,-0.012141
"218.0065 / 17.37",0.0028264,-0.0062672
"218.0065 / 6.07",-0.0056195,-0.011331
"218.0066 / 12.39",-0.0032049,-0.012162
"218.0066 / 22.99",-5.0801e-05,-0.0022555
"218.0066 / 24.22",0.0034567,-0.00090975
"218.0067 / 11.82",-0.0032799,-0.0080738
"218.0067 / 16.64",-0.0045182,-0.011653
"218.0067 / 22.34",-0.00092263,-0.0079397
"218.0067 / 30.68",0.0027631,-0.0058554
"218.0067 / 9.12",-0.0056478,-0.006459
"218.0067 / 9.64",-0.0043707,-0.012889
"218.0068 / 18.22",-0.0019263,-0.0048847
"218.0068 / 21.50",0.0037518,-0.004871
"218.0068 / 23.58",0.0066481,0.0085679
"218.0068 / 26.37",0.0028032,0.012643
"218.0069 / 12.91",-0.0054537,-0.0079114
"218.0069 / 29.51",-0.003404,0.0055225
"218.0069 / 7.53",-0.0042628,-0.016255
"218.0070 / 19.77",0.0056904,0.0042274
"218.0070 / 20.51",-0.002549,0.0022806
"218.0070 / 30.05",0.0011884,0.0081054
"218.0073 / 1.04",-0.012416,0.011453
"218.0073 / 16.07",-0.003071,-0.00037293
"218.0074 / 8.61",-0.01182,-0.00045451
"218.0076 / 15.23",-0.004859,-0.011986
"218.0077 / 26.91",0.0035376,0.0073454
"218.0079 / 18.96",0.0026266,0.005261
"218.0080 / 28.08",-0.0043399,0.0031785
"218.0471 / 11.45",0.013509,-0.0044647
"218.0665 / 2.70  M-H-",0.0045603,-0.022493
"218.1034 / 4.80",0.010253,-0.017511
"218.9973 / 6.63",0.012016,-0.0052095
"218.9983 / 5.61",0.0080799,-0.0072829
"219.0276 / 10.08",0.01161,-0.0025457
"219.0792 / 2.30",0.0062533,-0.015622
"219.1078 / 4.76",0.0090135,-0.016324
"219.8474 / 2.30",0.0054345,0.012567
"219.8520 / 28.94",-1.0228e-05,0.0020361
"219.8548 / 1.79",-0.010922,0.0027578
"219.9778 / 28.98",0.0054409,0.0047303
"220.1478 / 21.63  M-H-",-0.0090972,4.7543e-05
"220.9684 / 19.05",-0.0056762,-0.0021011
"220.9807 / 7.59",-0.0062474,-0.003863
"220.9961 / 1.03",-0.012709,0.011373
"221.0242 / 28.48",-0.0023385,-0.0028526
"221.0797 / 20.01  MNa-2H-",-0.0022514,-0.0085102
"221.0816 / 15.87",-0.0019244,-0.0073531
"221.0824 / 21.05  M-H2O-H-",-0.0051983,0.0025204
"221.0925 / 3.01",-0.014098,-0.012036
"221.1185 / 20.46  M-H-",0.00096615,-0.0039897
"221.1193 / 21.07",0.0048536,-0.0019765
"221.1540 / 22.27  MAcO-H-",0.00089099,-0.01394
"221.1558 / 21.63  M-",-0.0074127,0.0010854
"221.8433 / 2.34",0.0032525,0.015228
"221.8503 / 28.95",-0.00019794,0.0022627
"221.8517 / 1.76",-0.011526,0.0021304
"221.9813 / 7.52",-0.0058529,-0.0099949
"222.0307 / 2.73",0.0087931,0.0014269
"222.1507 / 8.92",0.0041247,0.0028922
"222.9651 / 19.03",-0.0095856,-0.0015519
"222.9765 / 7.52",-0.0035362,-0.0036526
"222.9922 / 2.52",0.0089328,-0.0054007
"223.0006 / 1.49  M-H-",-0.0067599,-0.0056226
"223.0200 / 30.04",0.0020592,-0.0015012
"223.0200 / 7.03",-0.001085,-0.0052784
"223.0202 / 29.16",-0.0055945,0.0069305
"223.0203 / 13.77  M-H-",-0.0040481,-0.012788
"223.0204 / 10.17  M-H-",-0.00037718,-0.010056
"223.0205 / 7.97",-0.00098435,0.0031289
"223.0205 / 9.59",-0.00018203,-0.014137
"223.0206 / 12.02  M-H-",-0.0074838,-0.0095738
"223.0207 / 12.84",-0.0017568,-0.0089856
"223.0207 / 18.54",-0.0060959,-0.0057484
"223.0207 / 22.91  M-H-",-0.0022334,-0.00046176
"223.0208 / 11.37  M-H-",-0.0025416,-0.0027536
"223.0208 / 14.42  M-H-",0.00064889,-0.0050753
"223.0208 / 15.12  M-H-",-0.0050556,-0.0068983
"223.0208 / 16.24",-0.0046929,-0.0098576
"223.0209 / 16.92",-0.003161,-0.011987
"223.0209 / 20.89  M-H-",0.0016853,-0.0020754
"223.0210 / 17.93",-0.0049196,-0.003994
"223.0211 / 1.33  M-H-",-0.0012345,-0.0036546
"223.0211 / 27.31  M-H-",-0.00051967,0.0013129
"223.0212 / 19.41  M-H-",-0.0016155,-0.0086768
"223.0212 / 23.78",0.0065546,0.010224
"223.0212 / 25.01",-0.00085536,0.0060254
"223.0213 / 20.02  M-H-",-0.0024802,-0.0084921
"223.0215 / 26.22  M-H-",0.00060809,0.004549
"223.0219 / 21.95  M-H-",-0.0093836,-0.010712
"223.0240 / 21.44",-0.0017343,-0.003603
"223.0954 / 20.75  MNa-2H-",-0.0080714,-0.011061
"223.1706 / 22.91  M-H-",0.00046383,-0.012559
"223.8487 / 28.95",-0.00075699,0.0029311
"224.0283 / 21.46",-0.00093965,-0.0026577
"224.0562 / 8.37",0.015832,-0.0039141
"224.0612 / 12.70",-0.0010809,-0.0024906
"224.0632 / 21.34",0.00069415,0.0072202
"224.0638 / 20.80",-0.00017772,0.0062832
"224.5640 / 20.62",0.00035791,0.010005
"225.0257 / 21.45",-0.0024486,-0.0007956
"225.0643 / 4.31  MNa-2H-",0.01121,-0.016352
"225.0878 / 5.22",0.0048707,-0.020494
"225.1111 / 21.53",0.0024811,-0.002404
"225.1498 / 21.76",0.0040133,-0.003718
"225.1499 / 21.15",0.0053377,-0.0036955
"225.1628 / 10.29",-0.0035266,0.0076665
"225.1629 / 11.06  M-H-",0.0006622,0.0020469
"225.1863 / 23.19",-0.0024688,-0.011681
"225.9233 / 0.29",-0.0036132,0.00057309
"225.9235 / 6.73",-0.006466,-0.0057944
"225.9236 / 13.88",-0.0056117,-0.010097
"225.9240 / 12.59",0.00010833,-0.0069
"225.9241 / 30.78",-0.0031004,0.00084371
"225.9242 / 2.62",-0.0053354,0.012651
"225.9243 / 10.13",-0.00041117,-0.010597
"225.9243 / 11.08",-0.00028751,-0.012587
"225.9243 / 11.70",-0.0022538,-0.010571
"225.9243 / 13.29",0.0024166,-0.0036761
"225.9243 / 31.39",-0.002409,0.0024659
"225.9244 / 8.58",-0.0091472,0.0049255
"225.9245 / 7.35",-0.0048062,0.00059102
"225.9245 / 7.93",-0.007727,-0.00056872
"225.9246 / 4.22",0.00093871,0.00076207
"225.9246 / 6.17",-0.0049548,-0.009344
"225.9247 / 3.55",-0.01105,0.0022795
"225.9247 / 5.64",-0.0024266,-0.010661
"225.9247 / 9.42",-0.0010755,-0.0095422
"225.9250 / 29.98",0.0019538,0.0094343
"225.9257 / 29.08",-0.0035791,-0.00019643
"226.0176 / 14.46",-0.0021296,-0.002481
"226.1638 / 11.08",0.00032452,0.0022989
"226.9968 / 1.61",0.0032733,-0.0015654
"227.0199 / 14.49",0.0018237,-0.0038029
"227.1011 / 1.15",0.0043862,-0.021765
"227.1030 / 3.01  M-H2O-H-",-0.006569,-0.01991
"227.1039 / 6.82  M-H-",-0.011091,-0.017725
"227.1085 / 20.97",0.0019842,0.0011414
"227.1291 / 21.33",-0.00043474,-0.0099945
"227.1376 / 5.94",-0.010242,-0.016293
"227.1397 / 4.96",-0.014797,-0.012696
"227.1650 / 22.28",0.0028105,0.0016829
"227.2021 / 23.51",0.011959,0.0075273
"227.9052 / 2.33",0.010256,0.0018468
"227.9731 / 1.80",-0.013609,0.0051708
"227.9975 / 7.30  M-H-",0.0049567,-0.0052638
"228.1614 / 21.28",0.0021291,-0.0016517
"228.2055 / 23.48",0.011884,0.008243
"229.0542 / 21.72",0.0043719,-0.015268
"229.0693 / 3.88",-0.0044826,0.013084
"229.0708 / 2.48  2MNa-2H-",0.0039767,0.0028258
"229.1199 / 7.29  MFA-H-",-0.00061227,-0.011942
"229.1444 / 21.78  M-H-",-0.0037839,-0.010536
"229.1553 / 3.83  M-H-",-0.013031,-0.013657
"229.9022 / 2.33",0.0099053,0.00020196
"229.9977 / 20.87",-0.0078903,-0.0059928
"230.0127 / 13.43",-0.0015776,-0.0031621
"230.0137 / 7.39  M-H-",-0.010925,-0.0051694
"230.0364 / 21.27  M-H-",-0.0065237,0.00052029
"230.0719 / 2.41",0.0094915,0.0032893
"230.1152 / 1.63",-0.0034273,-0.02185
"230.1595 / 3.39",-0.013561,-0.015789
"230.9964 / 16.33",0.0032779,-0.0032776
"231.0164 / 7.48",-0.010613,-0.0057995
"231.0714 / 13.01",0.013998,-0.0024605
"231.0990 / 1.59",-0.0055517,-0.020277
"231.1027 / 22.11",-0.0010188,-0.0036621
"231.1138 / 14.08",-0.013231,-0.013094
"231.1247 / 19.67",0.0039814,-0.00044211
"231.1343 / 2.42  M-H-",-0.014023,-0.013905
"231.1344 / 1.85",-0.0077348,-0.018167
"231.9676 / 30.17  M-H-",-0.0015388,0.0019334
"231.9678 / 0.09  M-H-",-0.0013288,0.0074239
"231.9682 / 30.85  M-H-",0.0013363,-0.0022467
"231.9685 / 1.84",-0.014829,0.0075754
"232.0106 / 7.44",-0.011241,-0.0084997
"232.1196 / 2.13",0.01041,-0.016931
"232.9740 / 25.86",0.0034708,0.00049064
"232.9741 / 8.65",-0.0071915,0.0050119
"232.9742 / 22.20",-0.00046391,-0.0029703
"232.9743 / 23.11",0.0013073,0.0031653
"232.9743 / 24.62",-0.0016044,0.0045916
"232.9744 / 9.82",-0.00078287,-0.0072196
"232.9745 / 25.21",0.009108,0.0021666
"232.9747 / 2.96",0.0036088,-0.0021553
"232.9748 / 28.03",-0.0039649,0.0038227
"232.9751 / 6.95",0.00075726,-0.0074126
"232.9757 / 13.94",-0.0013626,0.002931
"232.9758 / 0.04",6.9238e-05,0.0020448
"232.9758 / 18.23",0.00072315,-0.0039633
"232.9760 / 18.97",-0.0069797,0.0012846
"232.9760 / 6.21",0.0010583,-0.0051232
"232.9761 / 16.68",-0.0048077,-0.013062
"232.9761 / 19.98",0.0039528,0.0031831
"232.9761 / 5.42",0.00026882,-0.0074948
"232.9762 / 31.87",-0.0024698,0.00053105
"232.9762 / 8.10",-0.0062313,0.0016988
"232.9763 / 0.64  M-",-0.0017647,-0.0028759
"232.9763 / 3.71",0.0024551,-0.006585
"232.9765 / 4.42",-0.0032153,-0.0031732
"232.9766 / 10.34",-0.0038035,-0.0059788
"232.9766 / 15.43",0.00021722,-0.0086741
"232.9766 / 29.45",-0.001792,0.0020811
"232.9767 / 17.33",0.0087729,-0.011965
"232.9767 / 30.31  M-",0.0015495,0.0057351
"232.9768 / 11.43",-0.00021887,-0.0018097
"232.9769 / 12.29",-0.0098646,-0.013181
"232.9769 / 21.04",-0.0028364,0.00069385
"232.9771 / 13.04",-0.0010836,0.00083576
"232.9773 / 31.19",0.0034662,-0.0062809
"232.9844 / 1.65",-0.0021874,0.0086904
"233.0426 / 8.81",0.0076582,-0.018649
"233.1037 / 13.94",0.0068164,0.010145
"233.1556 / 22.63",0.0033785,-0.010388
"234.1001 / 3.78  MAcO-H-",0.015224,-0.0048902
"234.1051 / 13.94",0.0077205,0.011956
"234.1579 / 22.65",0.0035147,-0.010886
"234.9741 / 4.92",-0.0050547,-0.0014526
"234.9744 / 0.82",-0.0027325,-0.00016316
"234.9744 / 31.26",-0.0060922,-0.007617
"234.9745 / 0.24",0.00074334,0.0083321
"234.9745 / 7.12",-0.0013674,-0.0049017
"234.9746 / 6.22",-0.0058771,-0.013091
"234.9747 / 7.64",-0.006157,0.00040242
"234.9749 / 30.11",0.0070216,0.0028381
"234.9750 / 9.72",-0.0020687,-0.0029891
"234.9752 / 13.34",0.0035233,-0.009116
"234.9760 / 12.61",-0.0034844,-0.014925
"234.9761 / 10.85",-0.0067153,-0.017776
"234.9761 / 16.85",-0.0082045,-0.012479
"234.9761 / 17.42",-0.0097855,-0.010461
"234.9761 / 5.66",-0.0061327,-0.0072871
"234.9762 / 14.50",0.0011957,-0.00038467
"234.9762 / 16.15",-0.0033825,0.00026326
"234.9762 / 8.57",-0.0053325,0.0045304
"234.9762 / 9.17",-0.001552,0.0056658
"234.9763 / 11.43",-0.0038251,-0.0085242
"234.9763 / 15.61",-0.0063048,-0.015224
"234.9763 / 29.49",0.0024962,-0.0014551
"234.9765 / 31.81",-0.0025532,-0.0043879
"235.0385 / 2.09",0.0092302,-0.017431
"235.1084 / 3.20  M-H-",-0.01164,-0.016192
"236.0924 / 15.01",0.0013941,-0.022582
"236.0944 / 4.95",0.012497,-0.0069398
"236.1064 / 21.63",-0.0079576,0.0006955
"236.9706 / 30.13",0.0021947,-0.0058314
"236.9928 / 1.08  MAcO-H-",0.009498,-0.015706
"237.0913 / 2.36",-0.0074366,-0.021103
"237.0924 / 1.39",-0.001859,-0.0047512
"237.1125 / 21.36  M-H-",0.0056455,-0.0016551
"237.1136 / 20.77",-0.0037204,0.004876
"237.9945 / 1.05",0.0091813,-0.015873
"239.0600 / 21.44",6.7835e-07,-0.0028307
"239.0677 / 22.39",0.0045522,-0.00025862
"239.0874 / 2.34",-0.0095343,-0.016013
"239.0930 / 21.38  M-H-",0.0022779,-0.0097629
"239.1286 / 22.05",0.006596,0.003578
"239.1648 / 22.30",-0.0079845,-0.0073603
"240.0296 / 4.46",0.0072379,-0.0080405
"240.0485 / 2.23",-0.0019648,0.0026103
"240.1310 / 22.07",0.007301,0.0020103
"241.0824 / 6.64",0.0054471,-0.0057465
"241.0855 / 11.88",-0.00029887,-0.0065043
"241.1056 / 19.26",0.0013743,-0.016234
"241.1184 / 2.73  M-H2O-H-",-0.011081,-0.017867
"241.1190 / 5.11",0.0046842,-0.020974
"241.1194 / 11.75  M-H-",-0.011625,-0.01594
"241.1195 / 11.21",-0.010972,-0.017992
"241.2174 / 23.70",0.0044382,-0.0033588
"242.0122 / 10.47  M-H-",6.3398e-05,0.0013451
"242.0794 / 1.45",0.0057361,-0.016781
"242.1231 / 11.72",-0.012053,-0.013254
"242.1755 / 24.26",-0.0038552,0.0031079
"242.1778 / 21.75",0.0049197,-0.0031289
"243.0205 / 6.41",0.0040621,-0.0046106
"243.0338 / 19.59",-0.0014962,-0.0064847
"243.0489 / 2.41",0.0050448,-0.014538
"243.0617 / 2.60  M-H-",0.0068801,-0.018564
"243.0632 / 1.99",0.007599,-0.018018
"243.1350 / 13.45",0.0048521,-0.015447
"243.1622 / 22.18",0.0056036,-0.0024346
"243.1710 / 6.86  M-H-",-0.014282,-0.014511
"243.1711 / 5.70",-0.015549,-0.011302
"243.1712 / 7.71  M-H-",-0.013021,-0.014205
"243.1799 / 21.76",0.0046094,-0.0037437
"243.8801 / 8.64",-0.009994,0.00097881
"243.8806 / 0.42",-0.0046729,0.001086
"243.8807 / 7.44",-0.009115,0.0046081
"243.8808 / 6.55",-0.00052027,-0.010325
"243.8808 / 9.14  M-H-",-0.0078896,9.6768e-05
"243.8811 / 0.95",0.0040307,0.0022869
"243.8811 / 5.59",0.0027116,-0.011027
"243.8816 / 31.78",0.0048936,-0.0011494
"243.8817 / 9.69",-0.0017909,-0.012337
"243.8821 / 3.69",-0.0020841,-0.0023454
"243.8824 / 8.11",-0.0047728,-0.00067194
"243.8825 / 10.43",-0.003571,-0.0056735
"243.8827 / 29.93",-0.0026751,0.0026366
"243.8829 / 30.69",0.0010416,0.0013631
"243.8834 / 4.69",-0.001407,-0.0074128
"243.8841 / 29.20",-0.0020702,0.0046105
"243.8876 / 3.11",-0.0037558,0.010254
"243.8956 / 28.79",-0.00054069,0.0047106
"244.0672 / 2.62",0.0069915,-0.018588
"244.1296 / 2.23",-0.0040019,-0.021247
"244.1302 / 1.57  M-H-",-0.01152,-0.014052
"244.1739 / 6.89",-0.01407,-0.015616
"245.0488 / 18.60",0.001917,0.00066931
"245.0496 / 14.19",0.0092901,-0.0027475
"245.0496 / 17.45",0.0032259,-0.0051815
"245.0786 / 1.59",0.0038594,-0.017103
"245.0800 / 20.44",0.0020521,-0.011886
"245.1136 / 3.01  M-H-",-0.00053251,-0.017604
"245.1141 / 1.88",-0.010614,-0.018845
"245.1389 / 20.67  MAcO-H-",-0.0014729,-0.011465
"245.8953 / 28.85",-0.0022961,0.0059838
"245.9472 / 2.45",0.016146,-0.0026021
"245.9828 / 2.48  M-H-",-0.0091386,0.011604
"246.0517 / 18.56",0.0020813,6.6783e-05
"246.0757 / 2.78",0.0028774,0.0060878
"246.9505 / 9.57",-0.0030094,0.0015098
"246.9911 / 6.51",-0.00051661,-0.0070302
"247.0137 / 3.36",-0.0026331,-0.002147
"247.0142 / 2.62",-0.0093158,0.016718
"247.0583 / 10.67",-0.0092311,-0.007274
"247.0583 / 20.29  MTFA-H-",-0.005966,-0.0017494
"247.0922 / 1.45",0.0084185,-0.019965
"247.0959 / 21.53  M-H-",0.0011813,-0.01395
"247.1086 / 9.56",-0.013362,-0.014995
"247.1117 / 2.76",-0.008884,-0.018552
"247.1706 / 22.73",0.0016398,-0.0093545
"247.1715 / 21.38  M-H2O-H-",0.010274,-0.0046187
"248.0584 / 11.45",0.013928,-0.0017468
"248.0601 / 9.02  M-H-",0.0097409,-0.0047072
"248.1047 / 20.70",-0.0006924,-0.0046869
"248.1138 / 2.73",-0.002888,-0.018713
"248.1145 / 13.52  M-H-",-0.0019412,0.0019364
"248.1162 / 7.35",0.014981,-0.0054382
"248.9608 / 29.31  2MNa-2H-",0.0048021,-0.0039847
"249.0377 / 6.44",0.0026691,-0.010206
"249.0620 / 6.73",0.0040421,-0.019563
"249.0764 / 21.34",0.0015697,0.004004
"249.0852 / 6.82  MNa-2H-",-0.0020885,-0.02256
"249.0908 / 1.91",-0.006129,-0.019601
"249.1114 / 21.33  M-H-",0.0018382,-0.009374
"249.1496 / 22.13  M-H-",-0.0011011,-0.01137
"249.1504 / 23.08",-0.0006583,-0.0089119
"249.1860 / 23.19",-8.4202e-05,-0.010846
"249.9774 / 5.95  MAcO-H-",-0.0037593,-0.0079965
"249.9775 / 11.92  MAcO-H-",-0.006359,-0.0020264
"249.9777 / 13.87",-0.0052834,-0.0038519
"249.9778 / 0.03  MAcO-H-",-0.00046627,-0.0035224
"249.9785 / 2.65  MAcO-H-",-0.0067692,0.0093906
"249.9785 / 32.00  MAcO-H-",-0.0022167,-0.0025531
"249.9786 / 17.97",-0.0036869,-0.003053
"249.9786 / 4.89  MAcO-H-",0.0061832,-0.0099849
"249.9789 / 17.16",0.00036173,-0.0014333
"249.9790 / 0.95  MAcO-H-",-0.0014364,0.0048203
"249.9790 / 11.02  MAcO-H-",-0.0014389,-0.01513
"249.9790 / 15.65",0.0051744,-0.0064498
"249.9791 / 16.26  MAcO-H-",-6.4876e-05,-0.0066038
"249.9791 / 6.81  MAcO-H-",-0.00076654,-0.004118
"249.9792 / 4.14",0.0023194,-0.001683
"249.9793 / 29.88",-0.0028129,-0.0045981
"249.9794 / 14.86  MAcO-H-",-0.0055426,0.00022243
"249.9795 / 3.62  MAcO-H-",0.00072324,-0.002397
"249.9795 / 30.87",-0.0030317,0.00036918
"249.9795 / 31.47  MAcO-H-",0.00020779,-0.0064141
"249.9799 / 7.35  MNa-2H-",-0.0068684,-0.0012558
"249.9799 / 9.29  MAcO-H-",-0.0020941,-0.0049771
"249.9801 / 8.03  MAcO-H-",-0.00034717,0.0005884
"249.9804 / 10.13  MAcO-H-",-0.0027547,-0.011864
"249.9808 / 12.64",-0.0076116,-0.0070969
"250.0190 / 21.97",-0.0074447,0.0011567
"250.1452 / 22.85",0.0052325,-0.0065931
"251.0782 / 5.95",-0.0059844,-0.0098574
"251.1030 / 2.29",-0.012266,-0.014174
"251.1033 / 2.89",-0.01263,-0.013677
"251.1255 / 21.81  M-H2O-H-",-0.0014781,-0.0047321
"251.9730 / 8.93",-0.0091051,0.0015474
"251.9931 / 9.85",-0.0072391,-0.013987
"252.0158 / 21.97",-0.0076505,0.00013502
"252.0866 / 10.30",0.0051088,-0.019761
"252.1062 / 2.86",-0.0053703,-0.015921
"252.1247 / 8.26",-0.00056494,-0.0098102
"253.0834 / 22.41",0.0012455,-0.011741
"253.1051 / 19.95",0.0083508,0.00075867
"253.1202 / 7.25",0.013817,-0.0034183
"253.1425 / 22.44",0.0068465,0.0030791
"253.1457 / 21.38",0.00025146,0.0011076
"253.2179 / 23.61",0.00081634,-0.011245
"254.0647 / 2.33",0.0093709,-0.011568
"254.1463 / 22.46",0.006899,0.00014138
"255.0878 / 18.94",-0.0055932,-0.0051324
"255.1141 / 20.50",-0.0055095,-0.011752
"255.1354 / 15.71",0.0039064,-0.013537
"255.1972 / 22.36",0.00034357,0.0047233
"255.2323 / 26.60",0.00080496,0.0040272
"255.2335 / 27.78",0.00094624,0.0042591
"255.2336 / 24.40",0.0051073,-0.00068061
"255.2340 / 23.90  M-H-",0.0013231,0.0024591
"256.0589 / 1.56",0.0036322,-0.021225
"256.0593 / 14.83",0.0068222,-0.014939
"256.0808 / 2.45",0.0039537,-0.020532
"256.0937 / 2.25",-0.0038251,-0.021522
"256.0938 / 3.50",-0.0093798,-0.016143
"256.1305 / 1.56",-0.011158,-0.013766
"256.1557 / 19.41",5.738e-05,0.00083466
"256.1563 / 6.57",-0.0027069,0.0057501
"256.2375 / 23.93",0.0057914,-0.0013326
"257.0562 / 4.46",0.004666,-0.010932
"257.0565 / 1.50",0.015546,-0.0077368
"257.0774 / 2.70",-0.0041235,-0.015091
"257.0775 / 4.11",0.013777,0.0017871
"257.0797 / 20.52",-0.0066945,-0.0088234
"257.1008 / 3.98  2MNa-2H-",-0.00037994,0.0077926
"257.1027 / 3.23  2MNa-2H-",0.013456,-0.011767
"257.1764 / 22.62  MAcO-H-",0.01119,-0.0026353
"258.0073 / 7.18",0.0036763,-0.0025116
"258.0400 / 11.52",0.009115,-0.0099038
"258.0439 / 11.02",0.010509,-0.014301
"258.1452 / 2.38  M-H-",-0.011745,-0.014772
"258.1454 / 1.88  M-H-",-0.012122,-0.014182
"258.1819 / 1.47",-0.014055,-0.010931
"259.0293 / 20.03",-0.0012898,-0.0064156
"259.0757 / 7.57",-0.013072,-0.014992
"259.1190 / 16.35  M-H-",0.0092825,-0.011955
"259.1191 / 15.61  M-H-",0.0059722,-0.018529
"259.1193 / 14.13",0.0010542,-0.01083
"259.1293 / 2.12",-0.011743,-0.015169
"259.1295 / 2.73  M-H-",-0.014418,-0.011602
"259.1298 / 5.07  MAcO-H-",0.0036742,-0.021215
"260.0005 / 2.37",-0.0021837,-0.0035388
"260.0238 / 2.30  M-H-",0.0053285,-0.018172
"260.0240 / 9.56",-0.011029,-0.0070719
"260.0541 / 9.04",0.0071942,-0.0044096
"260.1034 / 4.60",-0.012058,-0.015937
"260.1254 / 1.81",-0.0057053,-0.016991
"260.1328 / 5.04",0.0047228,-0.021328
"261.0074 / 9.24",-0.0073746,-0.011541
"261.0081 / 8.63",0.0041853,-0.009456
"261.0279 / 2.49",0.002157,-0.0095569
"261.0384 / 11.64",0.0014577,-0.0038256
"261.0603 / 13.38",0.010554,-0.0066542
"261.0627 / 14.11",0.010941,-0.0098829
"261.0742 / 21.38  MNa-2H-",-0.0043065,-0.0019333
"261.0743 / 17.29",0.011634,-0.010824
"261.1230 / 9.28  M-H-",-0.0056003,-0.0074819
"261.1239 / 9.92",-0.0087342,-0.017939
"261.1269 / 4.50",-0.013925,-0.014123
"261.1275 / 5.32",-0.013466,-0.01568
"261.1348 / 14.49  MAcO-H-",-0.0031727,-0.00099609
"261.1379 / 11.07",0.00093197,0.0012251
"262.0659 / 19.97",-6.2272e-05,0.0002405
"262.0866 / 1.57",-0.0045768,-0.016934
"262.1835 / 19.21",0.013692,-0.0068241
"262.9875 / 9.30  M-H-",0.0020176,-0.0092304
"263.0241 / 3.33",0.0083466,-0.015541
"263.0528 / 11.54",0.0089472,-0.015185
"263.0538 / 6.67  MAcO-H-",0.0069931,-0.015156
"263.0878 / 1.59",0.011512,-0.015366
"263.1010 / 11.72  MNa-2H-",-0.0139,-0.010725
"263.1040 / 10.58  M-H-",0.0039062,-0.014561
"263.1396 / 5.51  M-H-",-0.013434,-0.013672
"263.1396 / 6.24  M-H-",-0.013721,-0.014812
"263.1674 / 22.15",0.014309,-0.0050277
"263.9370 / 11.43",-0.0046868,-0.0087771
"263.9931 / 0.72",-0.0063871,0.0030693
"263.9933 / 16.91",-0.0089757,-0.0056
"263.9936 / 30.36",9.8766e-05,-0.004415
"263.9937 / 30.97",-0.0010541,-0.0041795
"263.9939 / 7.25",-0.00017272,-0.0054847
"263.9940 / 21.34",-0.0044145,-0.0062758
"263.9941 / 20.39",-0.0026433,-0.0044824
"263.9943 / 9.50  M-",-0.0045475,-0.003747
"263.9944 / 11.43",-0.00055869,-0.0026768
"263.9944 / 19.73",-0.0031291,0.003293
"263.9944 / 28.43",0.00091783,0.006345
"263.9944 / 29.12",0.0022775,-0.0023488
"263.9945 / 16.15",-0.0028876,-0.0072962
"263.9946 / 13.63",-0.0025429,-0.013599
"263.9946 / 14.38",-0.0017889,-0.008716
"263.9946 / 8.22",-0.0025078,0.0031196
"263.9947 / 15.61",-0.0053877,-0.012054
"263.9948 / 17.99  MTFA-H-",-0.0071879,-0.0019801
"263.9949 / 12.46",-0.0047943,-0.011486
"263.9949 / 17.41",-0.00085576,-0.00097964
"263.9949 / 18.71",9.8146e-05,-0.002566
"263.9950 / 10.17  MNa-2H-",-0.0018779,-0.013186
"264.0535 / 10.39",0.013336,-0.0072378
"264.0880 / 13.03  MAcO-H-",-0.0012039,-0.01282
"264.1067 / 10.56",0.0045072,-0.015491
"264.1580 / 21.74",0.0049413,-0.0032333
"265.0100 / 1.62  M-H-",0.0049534,-0.01003
"265.1034 / 20.23",0.0021985,-0.0072774
"265.1188 / 3.36  M-H-",-0.013765,-0.013001
"265.1461 / 21.17",0.013828,0.0027123
"265.1498 / 22.21",0.0056954,0.00016074
"265.1813 / 21.38  M-H-",0.0045716,-0.0047899
"265.9342 / 11.40",-0.0036916,-0.0071858
"266.0138 / 21.27  MCl-",-0.0062858,-0.0048951
"266.0882 / 6.68",0.00019451,-0.0070728
"266.1039 / 3.19  M-H-",0.0107,-0.017361
"266.1406 / 8.89  M-H-",0.0038691,0.0017117
"266.1506 / 22.32",0.0034206,-0.0032816
"266.8052 / 1.39",0.0034447,0.0081886
"267.0728 / 3.92  M-H-",-0.0013831,-0.014257
"267.0729 / 4.50",-0.0023275,-0.016592
"267.0936 / 3.04",-0.0020413,-0.022307
"267.0981 / 2.19",-0.0091184,-0.014434
"267.1204 / 21.27",-0.00408,-0.00055023
"267.1244 / 22.13  M-H-",-0.0070699,-0.010674
"267.1458 / 1.54",-0.012196,-0.015409
"267.1473 / 22.24",0.0029762,-0.0043152
"267.1589 / 22.77",0.004255,0.0025264
