"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"114.9474 / 12.29",0.26126,0.9418,0.92682,0.92864,0.92825
"114.9475 / 13.27",0.0088913,0.56756,0.64259,0.64127,0.64273
"114.9476 / 29.11",0.36846,1.051,1.1654,1.1909,1.1905
"114.9476 / 7.82",0.78041,1.3101,1.3636,1.3596,1.3592
"114.9476 / 9.32",0.20767,0.43509,0.42875,0.44919,0.44904
"114.9476 / 9.95",0.28273,0.5549,0.58013,0.58341,0.58525
"114.9478 / 2.06",0.78127,0.90319,0.89379,0.89138,0.89101
"114.9478 / 6.55",0.0084901,0.57559,0.58999,0.58998,0.59078
"114.9480 / 18.43",0.32547,0.36102,0.43107,0.43308,0.43291
"114.9481 / 2.66  MH",0.57226,1.1039,1.0993,1.1035,1.1031
"114.9482 / 0.04",0.073796,0.77494,0.76262,0.76713,0.76715
"114.9482 / 5.26",0.030238,0.21604,0.21552,0.21617,0.21767
"114.9483 / 28.52  MH",0.02496,0.083862,0.085332,0.085118,0.085084
"114.9483 / 3.95",0.44292,0.79951,0.90963,0.90767,0.90881
"114.9483 / 31.62",0.13422,0.19744,0.23056,0.24377,0.24878
"114.9484 / 4.49",0.24047,0.19478,0.29064,0.2906,0.2948
"115.0243 / 1.11  MCH3OHH",0.2266,0.66725,0.66122,0.65924,0.65918
"115.0944 / 8.28",0.18102,0.69435,0.7522,0.75088,0.75119
"116.0705 / 6.09",0.28428,0.26895,0.28499,0.28618,0.28778
"116.0709 / 1.51  MCH3OHH",0.21791,0.38376,0.382,0.38281,0.38267
"116.0709 / 4.99",0.78132,1.1923,1.2501,1.2566,1.2561
"116.9634 / 1.83",0.19729,0.4663,0.459,0.45757,0.45746
"116.9833 / 18.25",0.21281,0.42465,0.41848,0.42757,0.42739
"116.9834 / 17.15",0.32871,0.28641,0.28309,0.28209,0.28684
"116.9834 / 5.73",0.14105,0.12615,0.46774,0.47216,0.47287
"116.9835 / 29.45",0.082389,0.1175,0.12333,0.12314,0.12309
"116.9850 / 18.77",0.11293,0.38872,0.47702,0.47524,0.47593
"116.9854 / 1.03",0.55533,0.99299,0.98182,0.97814,0.97808
"116.9855 / 2.64",0.46853,1.1723,1.1538,1.1523,1.1524
"116.9858 / 15.52",0.27147,0.25874,0.35399,0.37463,0.37453
"116.9859 / 31.34",0.11142,0.41801,0.44821,0.44775,0.44842
"116.9860 / 13.79",0.17361,0.45338,0.44732,0.48892,0.48929
"116.9861 / 0.35",0.4981,0.79565,0.7901,0.78795,0.78879
"116.9861 / 30.15",0.26248,0.23847,0.23478,0.23707,0.23721
