"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"541.2038 / 23.92",0.032983,0.039997,0.039376,0.039226,0.039211
"541.2340 / 18.41",1.123,0.88879,0.89294,0.89222,0.89191
"541.2343 / 16.14",1.4609,1.1584,1.1414,1.1431,1.1434
"541.2881 / 15.54",1.0244,0.91287,0.89836,0.89494,0.89479
"541.2917 / 18.49  M2H2",1.5049,1.1994,1.1852,1.1829,1.1832
"541.3034 / 10.52",1.2504,1.2896,1.2844,1.2795,1.279
"541.3086 / 8.21",1.2191,1.0892,1.0766,1.0725,1.0721
"541.3098 / 11.77  MNH4",1.6444,1.2968,1.2965,1.2921,1.2917
"541.3258 / 21.91",0.036338,0.30512,0.31608,0.33937,0.3393
"541.3458 / 15.56",1.9623,1.5463,1.5294,1.5242,1.5238
"541.7546 / 15.05  M2H2",0.83432,0.72659,0.72379,0.72398,0.72437
"542.2927 / 8.48",1.7367,1.3691,1.3504,1.346,1.3455
"542.3220 / 23.59",0.51066,0.4128,0.40655,0.42457,0.42443
"542.3279 / 17.78  MHNH42",1.3072,1.088,1.0859,1.0898,1.0897
"542.4234 / 23.27",0.62269,1.1689,1.1611,1.1567,1.1562
"542.5345 / 14.63  M4H4",0.97155,1.0588,1.042,1.0393,1.0394
"542.5823 / 18.86  M3H3",1.2159,0.95815,0.94333,0.94775,0.94746
"542.6419 / 21.91  M2HNa3",0.11954,0.84665,0.845,0.84581,0.84545
"542.7742 / 13.94",1.3561,1.0904,1.073,1.0716,1.0712
"542.7964 / 18.84",1.6784,1.3226,1.305,1.3001,1.2996
"543.2242 / 14.23  MHNa2",1.5427,1.2195,1.2002,1.1957,1.1954
"543.2339 / 20.08  M2Na2",0.767,0.63194,0.62984,0.66699,0.66679
"543.2464 / 15.30",2.0044,1.5877,1.5662,1.5602,1.5596
"543.2760 / 10.52",1.4522,1.2345,1.2367,1.2353,1.2348
"543.2773 / 14.25  MH",1.8212,1.4404,1.4188,1.4136,1.4143
"543.2785 / 17.47",0.89698,0.83923,0.83351,0.85329,0.85338
"543.2843 / 16.92",1.3871,1.1021,1.0898,1.096,1.0958
"543.3012 / 18.30",1.7479,1.3987,1.3998,1.3944,1.394
"543.3149 / 8.23",1.9994,1.5757,1.5577,1.5581,1.5576
"543.3154 / 9.58",1.5603,1.238,1.2546,1.25,1.2495
"543.6431 / 17.68  M3H3",1.2535,1.0517,1.0354,1.0431,1.0443
"543.8096 / 12.19  M4H4",1.0288,0.82194,0.823,0.83341,0.8332
"543.9509 / 19.93  M3H3",1.2179,0.9728,0.96555,0.96235,0.96246
"544.2397 / 19.95",0.60229,0.63602,0.62615,0.64373,0.64481
"544.2442 / 15.34",1.7858,1.4149,1.3949,1.3897,1.3891
"544.2789 / 14.22",1.7552,1.3929,1.3707,1.3655,1.3654
"544.2815 / 17.96",1.0005,0.94924,0.93431,0.94049,0.94013
"544.2877 / 13.31",1.0499,0.9423,0.92938,0.93797,0.93815
"544.2974 / 17.40",1.8251,1.4404,1.4229,1.4187,1.4182
"544.2997 / 12.68",1.5661,1.3411,1.3452,1.3402,1.3401
"544.3068 / 9.49",1.9401,1.552,1.5285,1.523,1.5224
"544.3393 / 23.53  MH",0.37683,0.36124,0.36482,0.37626,0.37636
"544.3455 / 4.12",1.0995,1.0586,1.0777,1.0765,1.0761
"544.3821 / 4.09",1.4703,1.2307,1.2566,1.2533,1.2529
"544.7784 / 15.72",1.7887,1.4174,1.4036,1.3993,1.3988
"544.8031 / 17.84  MHNa2",1.8869,1.5835,1.5632,1.5578,1.5575
"545.2207 / 3.51",1.2115,1.0785,1.0745,1.0728,1.0723
"545.2582 / 11.49",1.2304,0.97216,0.97255,0.97249,0.9726
"545.2606 / 12.80",1.3537,1.0915,1.0939,1.0989,1.0986
"545.2910 / 13.30",1.274,1.0678,1.0531,1.0509,1.0506
"545.2919 / 14.82  MH",1.3862,1.144,1.1431,1.1546,1.1545
"545.2928 / 11.78  MH",1.8076,1.4331,1.4111,1.4068,1.4062
"545.3170 / 8.16",1.3505,1.0789,1.0997,1.1056,1.1051
"545.3274 / 13.59  MH",1.6291,1.3306,1.3657,1.3606,1.3604
"545.3411 / 2.76",1.2901,1.1248,1.1266,1.1229,1.1225
"546.1960 / 17.72",1.3365,1.1662,1.148,1.1437,1.1434
"546.2397 / 11.15",1.3135,1.1446,1.1455,1.1432,1.1428
"546.2501 / 8.31  MCH3OHH",1.1957,0.97464,0.95914,0.96848,0.96913
"546.2673 / 7.31",1.3167,1.1292,1.1115,1.1122,1.1122
"546.2726 / 2.57",1.046,1.1126,1.1203,1.1168,1.1164
"546.2822 / 15.41",1.3088,1.0565,1.0453,1.046,1.0455
"546.2857 / 4.61",1.3015,1.1627,1.156,1.1515,1.1511
"546.2903 / 2.09  MCH3OHH",1.3502,1.2182,1.209,1.2072,1.2071
"546.3436 / 2.73",1.0245,0.94692,0.95948,0.95581,0.95551
"546.4040 / 23.35",0.099221,0.10366,0.10277,0.10271,0.10284
"546.7561 / 19.24  M2H2",1.8163,1.4344,1.434,1.4292,1.4287
"546.7712 / 12.92  M2H2",1.5565,1.2634,1.3296,1.3291,1.3289
"546.7846 / 17.95  M2H2",1.7551,1.3942,1.4312,1.429,1.4286
"546.7861 / 11.37  M2H2",1.3077,1.0706,1.085,1.0809,1.0808
"546.8065 / 3.81",1.3346,1.0636,1.0481,1.0602,1.0598
"547.2075 / 23.92",0.0074378,0.060913,0.06546,0.065976,0.065953
"547.2224 / 23.91",0.02906,0.038392,0.037818,0.037957,0.037956
"547.2529 / 16.34",0.79626,0.79148,0.78462,0.78168,0.78145
"547.2714 / 17.47  MCH3OHH",1.7557,1.4002,1.4023,1.3971,1.3965
"547.2772 / 18.66  M2Na2",1.6188,1.2762,1.2576,1.254,1.2535
"547.2801 / 8.30",1.1756,1.092,1.1111,1.1073,1.107
"547.2842 / 1.93",1.8196,1.4514,1.4283,1.4234,1.4234
"547.3096 / 12.83",1.5701,1.2535,1.2403,1.2362,1.2357
"547.3103 / 13.42  MHNa2",2.0362,1.6485,1.6303,1.6297,1.6292
"547.3583 / 1.00  2MH",0.69601,0.8744,0.86988,0.8667,0.86634
"547.3787 / 23.27",0.37059,0.39706,0.39079,0.39095,0.39131
"547.7628 / 13.44  M2",0.89077,0.73199,0.72042,0.74508,0.74746
"547.7757 / 18.47",1.0054,0.79321,0.87274,0.87852,0.87818
"548.2461 / 10.52  MK",1.9176,1.5669,1.542,1.5362,1.5358
"548.2545 / 7.80",1.3922,1.183,1.1644,1.1605,1.16
"548.2634 / 14.63  M2H2",1.485,1.1749,1.1562,1.1537,1.1535
"548.2636 / 15.63  M2H2",1.9968,1.5745,1.5507,1.5486,1.5479
"548.2919 / 10.68",1.7866,1.408,1.3939,1.3898,1.3895
"548.2971 / 14.27",1.4242,1.1455,1.1367,1.1337,1.1342
"548.3117 / 19.52  M2H2",1.4115,1.1415,1.131,1.1277,1.1273
"548.3224 / 15.62  M2H2",1.8582,1.4663,1.4547,1.4524,1.4519
"548.5138 / 14.63",0.38561,0.31211,0.30774,0.32322,0.32344
"548.7860 / 13.74  M2H2",1.421,1.1595,1.1502,1.1473,1.1468
"548.7876 / 17.84  M2H2",1.6866,1.3432,1.3521,1.348,1.3476
"548.9330 / 13.44  M3H3",0.016935,0.33698,0.33472,0.348,0.34938
"549.1642 / 22.62",0.41693,0.56849,0.5611,0.55896,0.55886
"549.2141 / 3.11",0.086496,1.4718,1.4515,1.4464,1.4459
"549.2675 / 12.03  MH",1.5423,1.2441,1.2289,1.2246,1.2242
"549.3128 / 18.53",1.6963,1.3714,1.3622,1.357,1.3566
"549.3146 / 16.50",1.9797,1.56,1.5449,1.539,1.5384
"549.6220 / 19.70  M3H3",1.4273,1.13,1.1583,1.1562,1.1559
"549.7948 / 10.60",1.0673,0.93479,0.93407,0.93103,0.93064
"550.0079 / 22.01  M3H3",0.17889,0.28888,0.3283,0.35214,0.35478
"550.2411 / 13.61",1.5302,1.2503,1.2305,1.2322,1.2318
"550.2543 / 11.09",1.6882,1.3318,1.3371,1.3366,1.3361
"550.2634 / 17.13",1.7747,1.3985,1.3894,1.3841,1.3837
"550.2879 / 16.88",1.8001,1.4338,1.4346,1.4292,1.4287
"550.2890 / 13.81",1.7468,1.4002,1.3875,1.3829,1.3826
"550.2964 / 10.23  MNa",1.2594,1.0171,1.001,0.99936,0.99947
"550.2987 / 7.89",1.9636,1.5493,1.5375,1.5317,1.5311
"550.3091 / 19.23  M3H3",1.5472,1.2336,1.2447,1.24,1.2405
"550.7730 / 19.34",1.7507,1.3803,1.3584,1.3534,1.3531
"550.7885 / 20.88  MHNa2",1.6497,1.3092,1.2973,1.293,1.2926
"551.2107 / 10.59  2MNa",0.66374,1.0208,1.0551,1.0549,1.0544
"551.2662 / 17.04",1.3173,1.1217,1.1177,1.1155,1.115
"551.2823 / 18.81",1.4866,1.2052,1.201,1.1978,1.1974
"551.3123 / 12.13  M4H4",0.97541,0.76928,0.76484,0.76399,0.76531
"551.3415 / 23.35",0.11137,0.088143,0.087701,0.088795,0.088931
"551.3605 / 23.35",0.080866,0.11229,0.11196,0.11154,0.11166
"551.5344 / 18.81",1.587,1.252,1.2344,1.2299,1.2295
"551.7705 / 14.31",1.0653,0.95033,0.9435,0.94207,0.94172
"551.7816 / 14.73",1.1264,0.91659,0.90204,0.90577,0.90542
"551.7840 / 18.84",1.5134,1.2325,1.2272,1.2225,1.2223
"551.7928 / 14.90",1.3435,1.0934,1.0765,1.0785,1.0781
"552.2280 / 10.98",1.1277,1.0926,1.1194,1.1259,1.1254
"552.3003 / 14.63",1.4826,1.2411,1.2216,1.217,1.2166
"552.3007 / 14.05  MNa",1.3008,1.1517,1.1353,1.1326,1.1325
"552.3109 / 17.73  M2H2",1.8978,1.4965,1.4735,1.4781,1.4782
"552.3143 / 7.10  MH",1.2712,1.1238,1.1252,1.1317,1.1322
"552.6127 / 11.41  M3H3",1.2625,1.298,1.2956,1.2926,1.2931
"552.6289 / 11.33  M3H3",1.3803,1.2965,1.2879,1.2834,1.2836
"552.7761 / 12.10",1.1612,0.98502,0.97243,0.96911,0.96882
"552.8153 / 19.70  M2H2",1.2803,1.0476,1.0448,1.0409,1.0407
"552.9557 / 13.51  M3H3",0.81213,1.0452,1.0625,1.0778,1.079
"552.9798 / 8.16  M3H3",1.658,1.3219,1.3169,1.3125,1.312
"553.0227 / 1.15",0.43852,1.1197,1.1137,1.1101,1.1099
"553.1829 / 18.78",0.18188,0.65376,0.6445,0.64904,0.64952
"553.2154 / 9.11",1.0922,1.0604,1.0742,1.0866,1.0862
"553.2420 / 23.41",0.027324,0.038337,0.10129,0.10091,0.10087
"553.2566 / 23.41",0.063206,0.1243,0.14102,0.14118,0.14112
"553.2996 / 19.28  MH",1.0737,1.0252,1.036,1.0331,1.0333
"553.3912 / 25.36",0.16877,0.24494,0.25502,0.25427,0.25416
"553.8054 / 19.63  M2H2",1.83,1.4422,1.4247,1.4193,1.4187
"554.0080 / 21.97",0.69931,0.65597,0.65744,0.66139,0.66112
"554.2721 / 3.49  MNa",0.74119,0.60501,0.60248,0.6012,0.60171
"554.2824 / 13.14",2.3636,1.8646,1.8545,1.8476,1.8469
"554.3196 / 20.28",0.8619,0.68108,0.6849,0.68348,0.68343
"554.7499 / 17.92",1.7253,1.3639,1.3618,1.357,1.3565
"555.2818 / 13.61",1.7405,1.4256,1.4069,1.4018,1.4013
"555.3120 / 10.52",1.3569,1.2211,1.2099,1.2053,1.2048
"555.3125 / 20.02",0.736,0.71335,0.70324,0.70066,0.70185
"555.3608 / 21.34  MHNH42",0.095628,0.48662,0.47891,0.49864,0.49914
"555.6284 / 18.78",1.3663,1.0822,1.0651,1.0615,1.0612
"555.6663 / 21.97",0.016315,1.11,1.0973,1.0948,1.0953
"555.7707 / 18.79",1.3646,1.1262,1.1108,1.1077,1.1076
"555.7934 / 8.85",0.72244,0.64766,0.63753,0.64542,0.64553
"555.8006 / 12.13",0.75762,0.67761,0.66723,0.66476,0.66448
"556.0007 / 21.97",0.11349,0.89706,0.88286,0.8795,0.87914
"556.0580 / 19.10  M4H4",1.4514,1.1569,1.1629,1.1693,1.1689
"556.2414 / 16.91",1.4982,1.1919,1.2171,1.2125,1.2122
"556.2763 / 15.85  M2H2",1.501,1.2062,1.189,1.1862,1.1857
"556.3042 / 19.11",1.6133,1.3083,1.3115,1.3065,1.306
"556.3087 / 11.46  MCH3OHH",1.5941,1.2796,1.2592,1.2557,1.2556
"556.3216 / 16.92",1.8868,1.4869,1.4704,1.4678,1.4675
"556.7681 / 16.72  M2H2",0.97254,0.77295,0.76176,0.76867,0.7686
"556.8076 / 19.07",1.5467,1.2411,1.2216,1.2172,1.2169
"556.9612 / 1.06",0.8334,1.3238,1.3385,1.3342,1.3345
"557.2830 / 13.52  MHNH42",2.1735,1.8075,1.7881,1.7851,1.7843
"557.3047 / 19.51  M3H3",1.0143,0.90056,0.92711,0.92363,0.92457
"557.3180 / 21.97  M3Na3",0.079707,0.78168,0.77107,0.80346,0.80359
"557.4451 / 24.04",0.55319,0.5371,0.53051,0.52849,0.5283
"557.7431 / 19.27",1.6938,1.3347,1.3267,1.3218,1.3213
"557.8382 / 21.34  MHNa2",0.072656,0.36346,0.36526,0.36586,0.36963
"557.8463 / 19.36  M2H2",1.1258,0.98906,1.0095,1.0061,1.0064
"558.0393 / 12.45",0.67042,0.52927,0.54795,0.60406,0.6059
"558.2403 / 3.03",1.8837,1.4868,1.4759,1.4704,1.4701
"558.2505 / 12.39  M2H2",1.7485,1.4143,1.3957,1.3909,1.3904
"558.2532 / 17.50  M2H2",1.8422,1.4845,1.4613,1.4559,1.4554
"558.2783 / 15.14  MH",1.3438,1.0843,1.0695,1.0731,1.0745
"558.2790 / 17.79  M2",1.8072,1.4529,1.4558,1.4511,1.4508
"558.2900 / 12.45",1.5957,1.2756,1.2791,1.2787,1.2783
"558.2944 / 13.40",1.3547,1.09,1.0983,1.0954,1.0949
"558.3129 / 2.19",1.5472,1.3469,1.334,1.3294,1.3289
"558.3287 / 18.95  M2H2",1.6716,1.3389,1.3475,1.3425,1.3426
"558.7607 / 15.50  M2H2",1.3094,1.0319,1.0181,1.0335,1.0331
"558.7715 / 20.88  M2H2",1.4458,1.1402,1.1601,1.1589,1.1584
"558.7841 / 10.00  M2H2",1.3872,1.0946,1.0918,1.0908,1.0906
"559.1512 / 3.91",0.34567,1.283,1.2802,1.2856,1.2864
"559.3017 / 19.52  MHNa2",1.6183,1.2755,1.2588,1.2558,1.2555
"559.3087 / 8.60",1.4568,1.2276,1.2086,1.2041,1.2044
"559.3088 / 10.86",1.0692,1.1521,1.1401,1.136,1.1356
"559.3483 / 16.51  MH",1.2546,1.1072,1.0947,1.0912,1.0918
"560.0562 / 19.27",0.97078,0.8714,0.87388,0.87054,0.87021
"560.2548 / 20.76",1.0135,0.79885,0.78773,0.7851,0.78493
"560.2772 / 14.81  MH",1.8144,1.4346,1.4122,1.4071,1.4068
"560.2801 / 18.73  M3H3",1.8663,1.5735,1.5497,1.5438,1.5432
"560.2869 / 11.33",1.2877,1.0164,1.0369,1.0357,1.0354
"560.3044 / 4.64",1.3561,1.092,1.0782,1.0746,1.0745
"560.3206 / 21.34  M2H2",0.14108,0.22279,0.23292,0.23205,0.23203
"560.3299 / 15.54",1.3007,1.152,1.1465,1.1435,1.143
"560.5026 / 25.44",1.0839,0.86438,0.86651,0.86327,0.86402
"560.7769 / 7.19",0.92979,0.78617,0.78181,0.79138,0.79257
"560.7822 / 19.86  M2H2",2.5057,2.0085,1.9772,1.9704,1.9696
"560.8033 / 16.08",1.5701,1.2386,1.2311,1.2271,1.2266
"561.2171 / 22.10",0.36323,0.37408,0.36849,0.36772,0.36786
"561.2427 / 15.67",1.7755,1.4,1.3827,1.3777,1.3771
"561.3266 / 12.54",0.99105,0.95734,0.94279,0.94,0.94114
"561.7787 / 19.86",1.9954,1.574,1.5501,1.5462,1.5456
"561.7800 / 20.88  M2Na2",1.3415,1.0657,1.0783,1.0782,1.0778
"562.2698 / 8.74",1.6481,1.3134,1.2942,1.2901,1.2896
"562.2981 / 16.62  M2H2",1.6306,1.2849,1.2645,1.2616,1.2612
"562.3090 / 13.62",1.5813,1.2801,1.2656,1.2612,1.2608
"562.3236 / 19.02",1.7593,1.4541,1.4639,1.4597,1.4593
"562.7911 / 11.05",0.85745,0.72761,0.71712,0.71463,0.71437
"562.7935 / 16.32  M2H2",1.281,1.0189,1.005,1.0063,1.006
"563.2441 / 21.14",0.18088,0.96281,0.96051,0.95813,0.95787
"563.3287 / 16.21",1.7285,1.3628,1.364,1.3621,1.3615
"563.7418 / 18.73  M2H2",1.403,1.1065,1.1425,1.1382,1.1384
"563.7841 / 19.23  M2NH42",1.3523,1.1024,1.0939,1.0903,1.0905
"563.8000 / 18.31  M2H2",1.482,1.1911,1.1768,1.1738,1.1737
"564.2697 / 11.06",1.4487,1.1712,1.1737,1.1692,1.1691
"564.2857 / 17.13",1.6494,1.3,1.2883,1.2852,1.2849
"564.3021 / 17.40",1.8192,1.6188,1.5984,1.5926,1.5925
"564.3198 / 16.36",1.846,1.4547,1.436,1.4349,1.4347
"564.3599 / 19.78",0.047465,0.085974,0.08583,0.085868,0.08584
"564.6820 / 22.04  M3H3",0.10242,1.0169,1.0021,1.0029,1.0031
"565.2577 / 14.25  MNa",1.3553,1.2081,1.194,1.1894,1.1894
"565.2621 / 20.94",0.085464,0.08948,0.12349,0.12594,0.12591
"565.3030 / 20.93",0.036053,0.061279,0.12321,0.12274,0.12272
"565.3229 / 15.46",1.1351,1.184,1.1651,1.1627,1.1624
"565.3310 / 19.85  M4H4",0.53954,0.43711,0.60081,0.60059,0.60053
"565.6065 / 17.87",0.61291,0.50307,0.52625,0.52876,0.5287
"565.7956 / 10.35",1.4494,1.1749,1.1669,1.1647,1.1642
"566.2603 / 10.89  M2H2",1.2134,1.1027,1.0985,1.0948,1.0945
"566.2774 / 11.00",1.3024,1.0955,1.0781,1.074,1.0742
"566.3173 / 19.43",1.4146,1.1457,1.1362,1.1319,1.132
"566.3185 / 16.56",1.4227,1.203,1.2086,1.2059,1.2061
"566.3220 / 23.53  MNa",0.5144,0.42972,0.42357,0.44349,0.44333
"566.6939 / 12.60",0.81677,0.64631,0.65736,0.69384,0.69507
"566.8933 / 12.71",1.1663,0.98286,1.0407,1.0472,1.0471
"567.1742 / 10.56",0.11361,0.50339,0.65547,0.65298,0.65316
"567.2380 / 4.91",0.42064,0.4152,0.40899,0.42924,0.43004
"567.2563 / 19.15  M2H2",1.6282,1.2888,1.2709,1.2731,1.2727
"567.2618 / 10.42  M3H3",1.4303,1.2006,1.1839,1.1853,1.1848
"567.2753 / 14.79  MNa",1.6838,1.3274,1.3063,1.3014,1.301
"567.2762 / 11.78  MNa",1.525,1.304,1.2937,1.2899,1.2898
"567.2889 / 17.37  M3H3",1.8267,1.4394,1.417,1.4117,1.4111
"567.3012 / 9.57  M3H3",1.1508,1.1374,1.1396,1.1365,1.1368
"567.3079 / 13.59  MNa",1.7272,1.3613,1.3584,1.3535,1.3531
"567.5939 / 17.79  M3H3",1.2688,1.002,0.98642,0.99672,0.99733
"567.6043 / 18.82  M3H3",1.9041,1.5008,1.4961,1.4926,1.4922
"567.7803 / 18.81  M2H2",1.3803,1.1237,1.1291,1.1286,1.1282
"568.0304 / 18.81",1.3815,1.0888,1.0725,1.0825,1.082
"568.2411 / 15.75",1.4191,1.1418,1.1355,1.1319,1.1315
"568.3083 / 6.92",1.2815,1.1675,1.1493,1.1491,1.1493
"568.3097 / 9.42  MNH4",1.0168,0.98764,1.0096,1.0066,1.0063
"568.9991 / 1.15",0.22071,0.26112,0.31704,0.31586,0.31584
"569.1677 / 22.25",0.30863,0.53307,0.52514,0.52369,0.52348
"569.2208 / 24.34",0.015103,0.049548,0.050058,0.050726,0.050708
"569.2330 / 24.28",0.0097241,0.01979,0.020502,0.020464,0.020455
"569.2754 / 19.15  M3H3",1.4328,1.1893,1.2171,1.2125,1.2133
"569.3001 / 19.77",0.092909,0.11908,0.12974,0.13169,0.13165
"569.3158 / 19.78",0.052986,0.043951,0.04769,0.048219,0.048232
"569.3281 / 10.36",0.65277,0.59019,0.58299,0.60203,0.60181
"569.3655 / 14.83",0.48143,0.38082,0.37522,0.41093,0.41274
"569.6476 / 16.09  M3H3",0.72095,0.61469,0.61539,0.62083,0.62184
"570.2771 / 17.73  MHNa2",1.3456,1.181,1.1798,1.1782,1.1779
"570.2874 / 2.74  MCH3OHH",1.5989,1.3098,1.2968,1.2934,1.2929
"570.3151 / 16.06",1.2256,1.084,1.0807,1.0766,1.0761
"570.3233 / 1.81",1.4133,1.3004,1.2938,1.2902,1.2897
"570.3258 / 13.46  MCH3OHH",1.7099,1.3496,1.3353,1.3303,1.3298
"570.3400 / 22.01  M3H3",0.089721,1.0752,1.0725,1.0709,1.0706
"570.7836 / 12.15  M2H2",1.4181,1.1254,1.1108,1.1108,1.1115
"570.9392 / 15.25  M3H3",0.79346,0.74578,0.75163,0.74914,0.74887
"570.9820 / 11.87  M3H3",0.42726,0.4255,0.42221,0.42573,0.42586
"571.2346 / 3.38",1.5411,1.2241,1.2157,1.2142,1.2144
"571.2535 / 14.51  M3H3",1.3186,1.0509,1.0425,1.0406,1.0402
"571.3087 / 7.57",1.4443,1.1754,1.1789,1.1804,1.1801
"571.3962 / 17.19",0.52541,0.41455,0.41777,0.43957,0.43939
"571.3974 / 13.58",0.9972,1.9253,1.8962,1.8973,1.8967
"571.6128 / 14.92  M3H3",1.7107,1.3844,1.3631,1.3579,1.3573
"571.7358 / 15.92",1.2553,1.006,1.0033,1,0.99964
"571.7433 / 11.55",1.2656,1.1111,1.1002,1.096,1.0957
"571.7720 / 19.86  MHNa2",2.0341,1.6131,1.5876,1.5834,1.5828
"571.8145 / 11.78  M2H2",0.87345,0.76406,0.75356,0.76208,0.76185
"571.9943 / 22.01  M3Na3",0.23499,0.58657,0.57763,0.57543,0.58018
"572.2450 / 11.52",1.2042,1.0545,1.0505,1.0478,1.0474
"572.2636 / 12.43",1.3889,1.1189,1.1031,1.0989,1.0985
"572.2655 / 18.67  M3H3",1.165,0.97289,0.959,0.95611,0.95678
"572.3016 / 9.64",1.2775,1.0099,1.0012,1.0022,1.0023
"572.3040 / 12.82  M3H3",2.3843,1.9847,1.9559,1.9488,1.9481
"572.3118 / 7.54",1.4497,1.2086,1.1904,1.1858,1.1854
"572.7675 / 20.88",1.3656,1.0797,1.0778,1.0739,1.0734
"572.7699 / 12.27",0.99592,0.9227,0.92389,0.92036,0.92065
"572.9348 / 16.95  M3H3",1.5696,1.2399,1.2392,1.2345,1.234
"572.9434 / 1.10",0.6905,1.4335,1.4151,1.4097,1.4091
"572.9670 / 12.85",1.875,1.4835,1.4933,1.491,1.4905
"573.0212 / 12.30",0.88158,0.69892,0.71874,0.74502,0.74612
"573.1473 / 23.06",0.0081607,0.075468,0.076776,0.077675,0.077669
"573.1631 / 23.04",0.039615,0.033699,0.033565,0.033448,0.033437
"573.1900 / 10.56",0.84948,1.0368,1.0496,1.0507,1.0504
"573.2162 / 15.46",1.7866,1.4152,1.3996,1.3942,1.3936
"573.3239 / 19.40  MH",1.3678,1.1608,1.1761,1.1719,1.1722
"573.3348 / 10.20",1.2332,1.0725,1.0611,1.0587,1.0582
"573.7835 / 14.47",1.1974,1.084,1.1073,1.108,1.1076
"573.8019 / 10.04",1.6913,1.337,1.3189,1.3173,1.3169
"573.8207 / 12.29  M2H2",1.5845,1.2632,1.2438,1.2391,1.2387
"573.9271 / 15.60  M3H3",1.3409,1.0568,1.0401,1.0361,1.0359
"574.1308 / 12.23",2.2711,2.2195,2.1958,2.1876,2.1869
"574.2834 / 14.66",1.3603,1.1661,1.1476,1.1463,1.146
"574.2845 / 8.89",0.90045,1.0795,1.0936,1.092,1.0933
"574.2954 / 7.10  MNa",1.1085,1.0613,1.065,1.0612,1.061
"574.3170 / 13.32",1.3154,1.0395,1.0285,1.0251,1.0249
"574.5947 / 15.63",1.0207,0.80591,0.80465,0.80159,0.80148
"574.7299 / 18.69",0.90284,0.74301,0.75413,0.75738,0.75734
"574.9371 / 1.29",0.27745,0.56004,0.57041,0.56823,0.56803
"575.0012 / 1.17",0.18951,0.53575,0.52936,0.52895,0.52891
"575.0163 / 1.18",0.24402,0.62577,0.61945,0.6178,0.61777
"575.2274 / 18.99",1.2022,1.1763,1.1578,1.1535,1.1532
"575.2375 / 24.34",0.019608,0.056763,0.0634,0.064347,0.064333
"575.2515 / 15.59  MHK2",1.3463,1.0734,1.065,1.0696,1.0692
"575.2524 / 24.33",0.01441,0.032092,0.031586,0.031479,0.031467
"575.2641 / 7.38",1.4548,1.2547,1.2759,1.2716,1.2719
"575.2714 / 19.95",0.80288,0.7197,0.73372,0.73092,0.73113
"575.2775 / 16.98",1.6691,1.3174,1.3074,1.3055,1.3052
"575.2800 / 19.27  MNa",1.2884,1.1124,1.0975,1.0934,1.093
"575.2931 / 8.09",1.3394,1.2586,1.2393,1.2351,1.2356
"575.3400 / 15.31",1.1277,0.93127,0.9213,0.91793,0.91757
"575.3400 / 7.31",1.1028,0.87316,0.86185,0.87248,0.87376
"575.3434 / 13.80",0.022291,1.4536,1.4565,1.451,1.4515
"575.8191 / 18.92  M2",1.4459,1.1421,1.1509,1.1487,1.1489
"576.0176 / 1.17",0.30991,0.87412,0.87317,0.86983,0.86953
"576.2576 / 17.53  M2H2",2.0417,1.6171,1.5913,1.5904,1.5899
"576.2598 / 2.32  MK",1.2062,1.043,1.0265,1.0236,1.0232
"576.2885 / 11.88  M2H2",2.2539,1.8543,1.8282,1.8213,1.8208
"576.3065 / 16.56  MH",1.524,1.2133,1.1984,1.1995,1.1996
"576.3112 / 19.89  M2H2",0.99377,0.95953,0.94434,0.94456,0.94437
"576.7923 / 14.57  M2H2",1.2281,0.98066,0.96507,0.96293,0.96281
"576.8061 / 14.40",1.2138,0.98285,0.96791,0.96667,0.96644
"576.8104 / 19.66  M2H2",1.811,1.4345,1.4121,1.4096,1.409
"576.8269 / 13.11  M2H2",1.2291,1.0033,1.0242,1.0415,1.0412
"577.2820 / 9.86",1.4263,1.1371,1.1608,1.1575,1.1571
"577.3185 / 2.12",1.5331,1.2787,1.2584,1.2548,1.2544
"577.3204 / 8.08",1.3243,1.1554,1.1722,1.1677,1.1677
"577.3340 / 15.59  M2H2",0.62849,0.5946,0.58646,0.58448,0.58423
"577.3732 / 21.40  MHNH42",0.13563,0.14626,0.14573,0.18081,0.21123
"577.7558 / 19.18  M2H2",1.7397,1.3771,1.3661,1.362,1.3614
"578.2486 / 11.30",1.151,0.90888,0.96326,0.96169,0.96162
"578.2629 / 18.54",1.5516,1.2338,1.2159,1.2141,1.2136
"578.3074 / 16.80",0.87729,0.78021,0.79103,0.81069,0.81062
"578.3207 / 18.97",1.351,1.0677,1.0626,1.0586,1.0582
"578.3227 / 8.04",0.73751,0.96295,0.95754,0.95931,0.95919
"578.7981 / 11.74  M2H2",1.9472,1.535,1.5143,1.5107,1.5103
"578.9606 / 28.01",0.0029791,0.012637,0.013633,0.016231,0.016253
"579.2237 / 15.25",1.2209,0.9712,0.96028,0.95865,0.95908
"579.2627 / 19.31  M3H3",1.5634,1.2497,1.2416,1.2435,1.243
"579.2779 / 18.44",1.4975,1.1802,1.1772,1.1774,1.1779
"579.2784 / 22.73",0.11519,0.15129,0.15627,0.15568,0.15562
"579.2913 / 22.73",0.078598,0.071698,0.074497,0.074858,0.074874
"579.3571 / 22.07",0.51074,0.40776,0.50527,0.50356,0.50444
"579.6957 / 22.07",0.020567,0.65453,0.65439,0.65251,0.65224
"579.8049 / 14.41",1.0375,0.85859,0.84831,0.84554,0.84532
