"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"575.2375 / 24.34",-2.3494e-05,0.00048743,0.00087883,0.0011228,0.00076561,-0.00075989,-0.0002062,-0.00044987
"575.2515 / 15.59  MHK2",0.012501,-0.0036951,-4.3072e-05,0.015008,0.0004485,-0.0073903,-0.0067322,-0.0060095
"575.2524 / 24.33",-1.9239e-05,-0.00042589,1.9623e-05,-0.00012253,-0.00012439,0.00041892,0.0001596,0.00021654
"575.2641 / 7.38",0.014709,-0.0041383,-0.017895,-0.00073708,0.013193,0.0071556,-0.0104,0.0052582
"575.2714 / 19.95",0.0058657,0.0030295,0.0094824,-0.0025102,0.0057601,0.0041037,0.0028919,0.003255
"575.2775 / 16.98",0.014489,0.002779,-0.003949,-0.011623,0.0073502,-6.9519e-05,0.0057932,0.00050168
"575.2800 / 19.27  MNa",0.013038,-0.0073151,0.0034919,-0.00017047,0.0058267,-0.0075024,0.0015163,0.0037429
"575.2931 / 8.09",0.014322,-0.010269,0.00016202,-0.0008002,0.013908,-0.00033416,0.0079621,0.0051679
"575.3400 / 15.31",0.010981,-0.0030688,-0.0055427,0.001085,0.0022272,0.0011414,-0.0021548,-0.011514
"575.3400 / 7.31",0.010063,-0.00056157,0.0044296,-0.020814,0.013248,0.012701,-0.010119,-0.015418
"575.3434 / 13.80",0.005044,-0.023607,0.013166,-0.004466,0.010791,0.015645,-0.0059375,0.023352
"575.8191 / 18.92  M2",0.013076,0.0013274,-0.0088069,-0.010726,0.011086,-0.00050832,0.003922,-0.0067944
"576.0176 / 1.17",0.00028487,-0.010574,-0.0074056,-0.0011286,0.0068588,-0.0070159,-0.0040186,0.00035584
"576.2576 / 17.53  M2H2",0.017476,0.0023868,-0.0066275,0.015156,-0.0053744,-0.0037969,-0.0011601,0.0058379
"576.2598 / 2.32  MK",0.01222,-0.0060763,0.0018331,-0.0053722,0.0034855,0.004577,-0.017548,-0.00074923
"576.2885 / 11.88  M2H2",0.018016,0.0065668,0.0065911,-0.005187,0.015245,-0.011647,-0.0030243,-0.0062872
"576.3065 / 16.56  MH",0.014107,-0.0014632,0.00063535,-0.015522,0.0088677,0.012138,-0.010296,-0.0027813
"576.3112 / 19.89  M2H2",0.010791,-0.0080893,0.0048519,-0.010494,0.0043214,-0.0011675,0.013726,-0.0073565
"576.7923 / 14.57  M2H2",0.011437,-0.002232,0.0024789,-0.0077338,0.0065712,-0.0026332,0.0076624,0.00022947
"576.8061 / 14.40",0.011554,-0.0028849,0.0016041,-0.0087493,0.0061058,-0.0021066,0.0021967,0.00042649
"576.8104 / 19.66  M2H2",0.015494,0.002455,-0.006219,0.0085667,0.0034592,-0.0015706,-0.0064855,-0.0069717
"576.8269 / 13.11  M2H2",0.011818,-0.0064641,0.024,-0.022836,0.0011134,0.014542,-0.012812,0.0014352
"577.2820 / 9.86",0.013241,-0.0055423,0.012713,0.0048586,0.0081682,-0.012493,-0.0059877,-0.0036898
"577.3185 / 2.12",0.015075,-0.0061676,0.0034038,-0.0071055,0.0053338,0.0018966,-0.0053892,0.0052447
"577.3204 / 8.08",0.013505,-0.0099501,0.014149,0.0033028,-0.012346,0.0069859,-0.0079907,0.0096524
"577.3340 / 15.59  M2H2",0.0067468,-0.0051183,0.0028215,-0.0019617,-0.0021046,0.014153,-0.025734,0.020859
"577.3732 / 21.40  MHNH42",0.0008398,0.0016607,0.0042445,-0.00052904,-0.036009,0.01114,-0.011323,-0.012317
"577.7558 / 19.18  M2H2",0.015862,-0.00016754,-0.011302,0.0062155,-0.0034789,0.0018831,0.0025772,-0.001277
"578.2486 / 11.30",0.010397,-0.0044012,0.020988,-0.0088665,0.015322,-0.016066,-0.0067667,0.01163
"578.2629 / 18.54",0.014325,-0.0030212,0.0073482,-0.0095918,0.0044409,-0.0048341,0.0085287,0.0014288
"578.3074 / 16.80",0.0090656,-0.0070846,0.018979,-0.021276,0.00079359,0.019393,-0.015465,-0.0035357
"578.3207 / 18.97",0.012245,-0.0027388,0.0079957,-0.001385,0.0058342,-0.0021418,-0.0048752,-0.009136
"578.3227 / 8.04",0.0092934,-0.012395,0.011928,-0.012566,0.0033815,0.015161,-0.017778,0.0067585
"578.7981 / 11.74  M2H2",0.017376,0.00046311,-0.0012359,-0.010903,0.0091776,-0.0029867,0.001548,0.010206
"578.9606 / 28.01",1.842e-05,-0.00012302,0.00016542,-0.00080803,-0.0010025,0.0016084,0.00017048,3.819e-05
"579.2237 / 15.25",0.011281,-0.00098574,-0.0015277,-0.010114,0.017017,-0.016506,0.013718,-0.0017438
"579.2627 / 19.31  M3H3",0.013074,0.0013298,0.0020554,0.013488,0.0038773,-0.012201,0.0011231,-0.0036043
"579.2779 / 18.44",0.013319,0.0016238,-0.004325,-0.015276,0.013669,0.0032556,0.00068013,-0.0070361
"579.2784 / 22.73",0.00058264,0.0012683,0.0022982,-5.8472e-05,0.00089333,0.00016451,-0.0015794,-0.0016428
"579.2913 / 22.73",0.00056508,0.000282,0.0016801,-0.0012477,0.00071912,0.00096131,-0.0014102,-0.001195
"579.3571 / 22.07",0.0047549,-0.0039874,0.016043,0.0016211,-0.0080379,0.0018629,-0.017,-0.0032618
"579.6957 / 22.07",0.0021776,-0.010548,0.0043337,0.0028166,-0.011894,0.031292,-0.003516,-0.024669
"579.8049 / 14.41",0.010124,-0.0045187,0.0051777,-0.0043359,0.0089689,-0.0098425,-0.0043625,0.024006
"579.8516 / 21.40  MHNa2",0.0039231,-0.0074346,-0.018931,0.00096729,-0.023609,0.017341,-0.0050902,-0.033835
"579.9476 / 18.14  M3H3",0.0068035,0.0053817,-0.0061834,-0.0003667,0.004406,-0.0034945,0.014185,0.00092554
"580.2605 / 15.38  MNa",0.014905,0.0047015,-0.0013423,-0.0026579,0.016893,-0.010294,-0.0012905,-0.0069613
"580.2660 / 7.32  M2H2",0.017068,0.0020554,-0.010929,-0.0025495,0.0028854,0.0012586,0.0036917,0.002061
"580.2965 / 14.16",0.014685,-0.01011,0.011768,-0.0066118,0.0018549,0.0025103,-0.004399,0.00039804
"580.2974 / 12.89",0.013223,0.000402,-0.011822,-0.0061771,-0.0014298,0.0055382,0.015847,-0.015172
"580.6262 / 19.02  M3H3",0.013692,-0.0019277,-0.010137,-0.0013264,0.010565,0.00093429,-0.0068006,0.010852
"580.6549 / 17.74  M3H3",0.013538,-0.0050896,0.0062042,-0.0096005,0.003843,-0.0027798,0.00066675,0.0094168
"580.7553 / 16.20",0.010683,-0.0095067,0.008433,0.0036195,-0.0050107,0.0040831,-0.0083333,0.0098858
"580.7930 / 16.88  M2H2",0.013981,0.0024722,-0.01502,0.013608,-0.00066821,-0.0055942,0.0096993,-0.017901
"581.2750 / 19.01",0.013117,-0.0013757,-0.010357,-0.005174,0.016579,0.0030954,-0.0096013,0.0049659
"581.2759 / 16.62  MHK2",0.013501,-0.0042423,-0.0095029,0.017486,0.0019323,-0.010355,-0.0032534,-0.0089689
"581.2830 / 17.63",0.011002,0.00028249,-0.019688,0.014867,0.00097119,0.00026676,-0.0044983,-0.0039027
"581.2920 / 12.48  MCH3OHH",0.013405,0.003995,-0.01376,0.003169,0.010993,-0.017136,0.014239,0.0051106
"581.3153 / 16.22  M2H2",0.012247,-0.0075641,0.0070844,-0.011075,0.0083801,-0.00017247,-0.0089637,0.011137
"581.3271 / 2.74",0.014734,-0.00845,0.013836,-0.0082512,0.00085969,0.0016294,-0.0039877,0.0034482
"581.3296 / 16.51  MNa",0.013545,-0.0088196,0.0060804,-0.00020204,-0.0017476,0.0043935,-0.0036247,-0.0083969
"581.6276 / 17.29  M3H3",0.008942,-0.0017101,0.0053358,-0.014364,0.0050589,-0.0046354,0.0015724,0.011007
"581.6472 / 19.17  M3H3",0.01465,-0.00040998,-0.0036895,0.0008589,-0.0033106,0.005228,-0.0014862,-0.0017133
"582.2591 / 14.81  MNa",0.010741,-0.0097723,0.016153,-0.0091723,-0.011848,0.0065409,0.0068524,-0.0049094
"582.2860 / 15.54",0.012933,-0.012688,0.0079648,-0.0059219,0.008917,0.0039905,-0.01209,0.0054468
"582.3345 / 21.40  M2H2",0.0026631,-0.0029485,0.00067494,0.0019001,-0.013118,0.010563,-0.0091042,-0.012224
"582.3363 / 20.57",0.0079279,-0.003582,0.011487,0.012301,-0.011932,0.013688,-0.019274,0.0058359
"582.7758 / 20.24",0.012401,0.00068532,-0.0096822,0.00047329,0.0073038,-0.0053831,0.0034564,-0.0034211
"582.9937 / 1.27",0.00017146,0.0002696,0.0072492,-0.0048851,-0.0033682,0.010412,-0.0034322,-0.00075241
"583.2554 / 23.60",0.0059055,-0.005399,0.021671,-0.0044278,0.018731,0.0052591,-0.0095143,0.0062812
"583.2562 / 22.83",0.0044048,-0.0021505,-0.002815,-0.014093,0.001546,-0.0073737,-0.010891,0.013062
"583.2752 / 18.50  M4H4",0.011626,-0.0010501,-0.020938,0.01211,0.0024238,0.0016957,-0.0025426,-0.0029256
"583.2783 / 14.12  M2H2",0.0092249,-0.0045898,0.0041452,-0.013316,0.0092976,0.01587,-0.02103,0.0069317
"583.2876 / 7.69  MH",0.013829,-0.012195,0.0090309,0.0083655,-0.0063041,4.6026e-05,-0.0095592,0.015752
"583.3024 / 19.08  M2H2",0.014812,0.0050063,-0.006214,0.0061419,-0.0022577,-0.011117,0.0069635,-0.011918
"583.3103 / 9.84  MCH3OHH",0.010442,-0.0075088,0.009586,-0.011049,0.0041971,-0.005564,-0.0039038,0.018695
"583.3190 / 12.36",0.014706,-0.0056222,0.0033969,-0.0077004,0.006615,0.0054348,-0.010219,-0.0011227
"583.8334 / 19.53  M2H2",0.018651,0.0018282,-0.016478,-0.0022332,0.0099451,0.0029368,-0.00044078,0.0015162
"583.8416 / 16.27  M2H2",0.011911,0.0046941,-0.01421,0.0081676,0.0057975,-0.0166,0.012817,0.014206
"584.2520 / 14.24  M2H2",0.014796,-0.0016707,-0.0052905,0.006049,-0.0018443,-0.0074085,0.010831,0.00042369
"584.2634 / 5.49",0.0014751,-0.01648,0.026158,-0.0023544,0.012874,-0.018692,0.0011422,-0.0077363
"584.2809 / 12.53",0.015042,0.0056781,0.00057875,0.00011868,0.0048286,-0.0060969,-0.0010877,-3.4456e-05
"584.3736 / 14.82",0.012055,-0.0011107,-0.0075921,0.00042991,0.0031452,-0.012588,0.016272,-0.0046509
"584.5706 / 19.08  M4H4",0.0098279,-0.0052142,0.012622,-0.016774,0.0075443,0.0013415,-0.0034375,-0.0015308
"584.9489 / 15.15",0.0046259,-0.0076119,0.011968,0.022124,0.010105,0.00040358,-0.013357,-0.0095858
"584.9613 / 26.10",-0.0065525,-0.0031108,0.004667,0.013048,-0.0019171,-0.027051,-0.0048036,-0.0054929
"584.9617 / 25.46",-0.0015621,0.0052849,-0.016074,0.013027,-0.0037197,-0.014078,-0.0066276,-0.021181
"584.9622 / 27.99",-5.5714e-06,0.00071342,0.00055542,0.0004962,-4.7494e-05,0.00032042,-0.00045507,-0.0012835
"584.9763 / 25.22",0.0026252,0.020062,-0.001119,-0.015005,-0.029735,0.011789,0.0013005,0.028879
"584.9764 / 1.17",0.0014667,0.020112,-0.0044492,0.0021472,-0.016078,0.0081268,0.0044969,-0.0028677
"584.9767 / 26.64",-0.017069,0.0085947,-0.0072491,-0.026224,0.01518,0.0046921,0.012217,-0.0096912
"584.9775 / 27.89",-1.8577e-05,-0.00014485,7.5647e-05,-0.00072157,-0.00056992,0.0012647,0.00021679,-0.00015085
"584.9778 / 24.53",0.0007434,0.0033041,-0.015274,-0.00046942,-0.013231,-0.0029982,0.0050409,-0.034049
"585.0162 / 22.04  M3H3",0.0018188,-0.011665,0.0096878,0.0032419,-0.019396,0.015133,-0.011441,-0.013968
"585.2525 / 10.59",0.013677,-0.0080307,0.0064954,-0.0053104,-0.0029371,0.0096631,-0.013482,0.0118
"585.2532 / 9.39",0.014033,-0.002847,-0.0026569,-0.0064938,0.0036216,0.0014187,-0.0020087,0.008793
"585.2561 / 21.16",0.00029758,0.00058955,0.011699,-0.010403,0.013028,-0.020443,0.0084407,0.014268
"585.2702 / 14.56  M2H2",0.014926,0.0011928,-0.0072483,-0.00028791,-0.0039768,0.0083432,-0.0023263,-0.001225
"585.2738 / 20.17",0.0018144,-0.0025413,0.0034086,-0.0098944,0.0036464,0.0018986,0.0013191,0.0033051
"585.2741 / 21.14  MH",0.0002668,-0.00065552,0.011313,-0.012479,0.012723,-0.020309,0.0094485,0.015411
"585.2871 / 8.13",0.016593,-0.0020218,-0.0042725,-0.011133,0.0073502,0.0020747,0.0017113,0.00084662
"585.3071 / 14.38  MHNH42",0.013067,-0.0095556,0.0034227,0.0033276,7.7222e-06,0.0078326,-0.017768,0.019171
"585.3358 / 5.48",0.0051129,-0.0044949,0.0024678,0.0078352,-0.0083798,0.010454,-0.014796,-0.0030578
"585.3696 / 9.92  MH",0.011073,0.0015604,-0.01129,8.6749e-05,0.013414,-0.027954,0.024778,0.00209
"585.3763 / 12.40",0.0034219,0.012983,0.00028464,-0.0082412,-0.01713,0.030871,-0.0032049,-0.010437
"585.7760 / 16.33  M2H2",0.0033701,0.0079228,0.0023982,-0.012585,0.020766,-0.013018,0.011806,-0.024758
"585.7934 / 3.17  M2H2",0.0105,0.0058087,-0.010706,0.010987,0.0050741,-0.019464,0.02385,-0.021922
"585.8335 / 13.53  M2H2",0.017671,-7.6743e-05,-0.0027649,-0.0053222,-0.00034172,0.004998,-0.00042266,0.0022892
"586.2750 / 21.19",0.0021516,-0.0069375,0.019708,-0.0086962,-0.0024902,-0.011562,0.0055295,0.010203
"586.2891 / 17.78",0.011655,-0.005198,0.0016446,-0.0006357,0.0077616,-0.0083531,-0.0020319,0.019633
"586.3337 / 15.33",0.01227,-0.0036659,-0.0057331,-0.011013,0.01218,0.018467,-0.0033184,-0.0040354
"586.3412 / 9.32  M2H2",0.013925,-0.0073398,-0.012001,-0.0033108,0.01576,0.0067264,-0.017902,0.01602
"586.4479 / 23.31",0.004697,0.0015495,-0.0073277,0.0072855,-0.018589,0.00039612,0.0055755,0.0051666
"586.6693 / 22.04  M3Na3",0.0048175,-0.0076348,-0.012997,0.0094149,-0.016168,0.028148,-0.010493,-0.023207
"586.8034 / 15.31  M2H2",0.010979,0.011064,-0.015561,0.0067379,0.0081765,-0.011771,0.016095,-0.030212
"587.1835 / 6.79",-0.00049006,-0.022225,0.020703,-0.009723,0.023259,-0.0095152,0.010549,-0.0083035
"587.2841 / 11.32  M2H2",0.015367,0.0037384,0.0038202,-0.0059351,0.0089701,-0.0024249,-0.013371,-0.0053894
"587.2858 / 16.02  M2H2",0.0094885,0.0048696,-0.023318,0.010073,0.017412,-0.014836,0.0020344,-0.00098052
"587.3144 / 2.48",0.014098,-0.0071747,0.018549,-0.013474,0.0029845,-0.0010555,-0.0035034,0.0033671
"587.3397 / 17.76",0.016904,-0.00042682,-0.00849,3.5113e-05,0.00081586,5.965e-05,0.0042588,0.0010894
"587.3426 / 9.29",0.011281,-0.011255,-0.0045017,0.0070517,0.0047153,0.0057377,-0.021323,0.022678
"587.8040 / 15.27",0.01457,-0.0013966,-0.0015646,-0.0027235,0.0025424,-0.0050837,0.010431,-0.0098988
"588.2411 / 9.33",0.010556,-0.0059742,0.0028631,0.0021833,-0.012755,0.0073561,0.0056035,-0.0052308
"588.3149 / 17.60",0.015357,0.002044,-0.0080293,0.0050082,0.0069816,-0.0082515,0.0029152,-0.0055081
"588.3178 / 16.08",0.012853,-0.0085421,-0.002569,-0.004475,0.015024,-0.003172,-0.0059901,0.0042514
"588.3190 / 16.76  M2H2",0.016285,0.0028865,-0.0038222,0.00048153,0.015124,-0.012307,-0.00072244,-0.0071186
"588.3190 / 18.53  M2H2",0.016622,-0.0015988,-0.011986,0.00029703,0.0059511,-0.0037866,0.0039321,0.0036676
"588.3231 / 19.79",0.013456,-0.0035082,-0.0077418,0.00020803,0.005688,-0.00056614,0.0035432,0.0036996
"588.3338 / 3.60",0.012213,-0.008413,-0.00013382,0.0075364,-0.0083133,0.001877,0.0073487,-0.011916
"588.4112 / 20.74",-0.0011432,0.0017598,-0.005091,-4.8076e-05,-0.0025636,-0.0020318,0.0031785,-0.0032286
"589.1401 / 7.41",0.015089,0.010786,0.0078416,0.0023031,0.012506,-0.0031248,0.0049531,-0.0090784
"589.1742 / 4.26  2MNa",0.0085859,-0.0032099,-0.011735,0.0095822,-0.013348,0.005115,0.021504,-0.0056772
"589.2837 / 7.98  2MH",0.0088865,-0.007737,0.0053617,0.0087175,-0.01025,0.0018254,-0.0060135,0.0088367
"589.2840 / 7.43",0.0107,-0.010712,0.00097443,0.010197,-0.003552,0.006193,-0.017705,0.0076706
"589.3189 / 12.20",0.016951,0.0024549,-0.011096,-0.0044861,0.0075317,0.0014212,-4.6247e-05,0.00042632
"589.3198 / 16.01  M2H2",0.016054,8.6086e-05,-0.0078206,-0.0048292,0.0088636,-0.0004618,-0.0014836,-0.00052631
"590.1251 / 10.47",0.013639,0.013932,0.015217,0.00065879,0.0051685,-0.0091794,0.013166,-0.0076226
"590.2311 / 13.59  MH",0.018548,0.0020933,0.0016226,0.0019419,0.0053973,-0.0060573,-0.00083325,-0.0042274
"590.2555 / 3.70",0.0086233,-0.0074324,0.0023448,0.0032674,-0.0089281,0.014651,-0.0092918,-0.010797
"590.2708 / 17.91  M2H2",0.016036,0.00072714,-0.016101,0.015258,-0.0046419,0.0032146,-0.010847,0.012653
"590.2911 / 16.30  M2",0.016602,0.0031986,-0.0041086,0.0074392,0.0049301,-0.0074255,-0.00069182,-0.0053542
"590.3067 / 16.53  M",0.015639,0.0019987,-0.0099848,-0.002476,0.0033654,0.0016858,0.00398,-0.00441
"590.3105 / 15.98",0.014533,-0.0016672,-0.006438,0.0076193,-0.0076139,-0.00054263,0.0049898,0.0089299
"590.3114 / 17.56  M2H2",0.013775,0.0049093,-0.01974,0.0078936,0.013316,-0.015782,0.003141,0.007345
"590.4315 / 23.35",0.00126,-0.00059829,-0.00098995,0.0011628,-0.0046659,0.0068008,-0.0047262,-0.0041
"590.7355 / 19.63",0.015216,-0.0008285,-0.011095,0.00082721,0.0057687,-0.00037315,0.0002692,-0.000969
"590.9781 / 22.67",0.00040175,0.0023969,0.00050741,0.0020615,0.0034054,-0.00076446,-0.0010842,0.0011799
"590.9784 / 23.38",0.00029893,0.00098668,0.001171,0.00091849,-0.00033152,0.0010018,-0.0012964,-0.0097784
"590.9785 / 21.67",-0.00098598,0.015474,-0.00073722,-0.012893,0.016552,-0.010197,-0.014183,0.0047153
"590.9789 / 26.87",-0.00018283,0.0001424,0.0020025,0.0011361,-0.0017629,0.00012474,-0.00029376,-0.0020254
"590.9922 / 22.89",-0.001604,0.00038569,-0.0062815,0.005022,-0.0078444,0.0066749,0.008782,-0.016254
"590.9927 / 21.69",-0.0023751,0.0047991,0.018324,-0.010412,0.014774,-0.0036156,-0.0020957,0.010978
"590.9934 / 21.11",-0.00018174,-0.0025944,-0.011393,0.006058,-0.0080246,0.020242,0.010337,0.031514
"590.9935 / 22.35",0.00012256,0.0013361,0.0017313,-6.1869e-05,4.2328e-05,-0.00012127,-0.0011079,-0.0016977
"590.9943 / 1.27",0.0011142,0.011606,-0.0046548,0.003158,-0.0078017,0.0039198,0.0015011,0.00061895
"590.9943 / 24.39",0.00079123,-0.01038,-0.0019011,-0.0017319,0.0099661,-0.002699,0.0014068,-0.019036
"590.9945 / 23.81",-0.00029941,-0.0014242,-0.00057715,-7.9801e-05,0.00059052,-0.00027867,0.00050854,-0.0001468
"590.9948 / 25.90",-8.3618e-05,-0.00015218,-4.1541e-05,-0.00053958,-0.00056479,0.00099966,0.00027664,-0.00042605
"590.9949 / 27.87",1.0878e-05,4.9176e-05,-0.00030289,-0.000397,-0.0011058,0.001224,-0.00015318,-0.0003964
"590.9987 / 26.91",-0.006351,-0.0019425,-0.0091028,0.020469,0.026206,0.0063125,-0.022565,0.010206
"591.2238 / 2.54",0.015917,-0.0083823,0.0025947,5.2453e-05,-0.0061507,0.0013868,0.0040631,0.0011442
"591.2329 / 13.56",0.016084,-0.0051022,0.0044056,-0.0039965,0.0022472,0.0013197,-0.0028803,-0.0011509
"591.2715 / 13.64",0.014184,-0.0028058,0.010362,-0.0017648,0.010116,-0.0052356,-0.0098226,-0.0077104
"591.2890 / 16.35  M",0.014722,-0.0041916,-0.00090852,0.0057123,-0.015168,0.0034361,0.0073669,0.0015658
"591.2929 / 15.23  2MNa",0.0053035,-0.0092774,0.014459,-0.007459,0.023394,0.020899,0.003731,0.0011273
"591.2972 / 10.51",0.013698,-0.001059,0.0012015,0.0058038,0.0055776,-0.013833,0.0065301,-0.0077761
"591.3099 / 12.98",0.013167,0.00215,-0.011795,-0.0011362,0.019168,-0.017964,0.0095133,0.0014126
"591.3103 / 6.32",0.0099633,-0.0067955,7.5678e-05,0.019433,-0.021529,0.009752,-0.0035181,-0.0076773
"591.3115 / 15.88",0.013646,-0.0080904,-0.00027961,0.0072575,-0.010081,0.0054011,0.0009987,0.0061136
"591.3134 / 16.75  MH",0.013307,-0.0020482,-0.003011,-0.00081698,-0.011424,0.0099348,0.0037562,0.0040767
"591.3189 / 19.56",0.010519,-0.0060219,-0.0018668,-0.0022805,0.006794,-0.00045009,-0.0013957,0.0015349
"591.4044 / 23.31",0.0020822,0.0024104,-0.0017657,0.006854,-0.0043904,0.00079399,-0.0010732,-0.0066268
"591.4167 / 10.98",0.003934,-0.013549,-0.013309,0.024863,-0.0039181,0.018249,0.0055478,-0.011142
"591.4341 / 23.38",0.0022169,0.00069144,-0.0029535,0.004436,-0.0050913,0.0032519,-0.0014412,-0.0057146
"591.4932 / 27.03",0.0014613,-0.0017449,-0.0034172,0.00065819,0.0036791,-0.0030422,-0.00049141,0.0024348
"591.7914 / 14.08  MHNH42",0.015127,0.0016834,-0.011749,0.0069589,0.011218,-0.0073371,-0.0045361,-0.0074628
"591.8135 / 14.27  M2H2",0.013426,-0.002014,-0.017932,0.0020864,0.008145,-0.0020138,-0.00207,0.0075188
"591.9929 / 1.28",0.00094664,0.010748,-0.0045417,0.0035751,-0.0067243,0.003951,0.0010226,0.0012128
"592.2311 / 5.81",0.010817,-0.010123,0.001412,0.013672,-0.018781,0.0085628,0.0014526,-0.0044741
"592.2737 / 8.46",0.0088006,-0.011974,0.0065215,0.01157,0.014303,-0.00057436,-0.0047041,-0.0091374
"592.2972 / 15.20",0.0060416,-0.011722,-0.0045484,0.0018739,0.0098545,0.0207,0.019765,-0.0019559
"592.2984 / 19.02",0.015581,0.007471,-0.0020135,0.0097527,0.014837,-0.0098012,0.0023194,-0.0064583
"592.3060 / 13.43",0.013118,-0.008914,-0.0044118,-0.00014736,0.0080443,-0.0045186,0.001799,0.0074885
"592.3117 / 2.54",0.013574,-0.01058,0.0013963,0.012136,-0.0089291,0.0051376,-0.010762,-0.0051194
"592.3315 / 16.53",0.01377,0.0019832,-0.017201,0.019114,-0.0079014,0.001141,-0.00288,0.0039057
"592.5482 / 19.04  M2H2",0.0067856,-0.013255,0.006746,0.0017823,-0.0057787,0.010907,-0.017249,0.017358
"592.7991 / 19.04",0.011762,-0.0081211,-0.0020476,0.0021511,0.0033468,0.0065412,-0.0098769,0.0032532
"593.2351 / 15.70",0.0080226,-0.005989,0.0070178,-0.011399,0.016602,-0.013468,0.016689,-0.0039974
"593.2927 / 15.27",0.0097098,-0.011845,-0.0071446,0.0091346,0.0059801,0.0178,-0.005388,-0.00091368
"593.2956 / 18.36  M2H2",0.010532,-0.00062635,-0.012146,0.0071615,-5.8348e-05,0.011062,-0.014705,0.0079025
"593.2987 / 18.98",0.012753,-0.0011553,-0.01972,0.00024934,0.010256,0.0065424,-0.00061213,-0.0033552
"593.3018 / 16.02",0.010869,0.0037055,-0.020351,0.0083376,0.0042066,0.0076544,-0.0078752,-0.005704
"593.3303 / 16.49  MNH4",0.015797,0.0033196,-0.0077782,-0.0062744,0.0083873,-0.0008279,0.0032451,-0.007501
"593.8113 / 16.82  M2H2",0.012881,0.0012669,-0.016824,0.015084,-0.0041692,0.0026322,0.0015283,-2.95e-05
"594.0354 / 22.10  M3H3",0.0020202,-0.014716,-0.0019644,-0.0044731,-0.024721,0.012266,-0.015797,-0.0046423
"594.2398 / 9.47",0.01046,-0.0015162,0.0089074,0.001682,0.016632,-0.026664,0.0078805,-0.0034256
"594.2884 / 12.11",0.013045,-0.0066735,0.0080735,-0.010621,0.0026531,0.0065464,-0.011226,0.010838
"594.2897 / 13.96",0.0067365,-0.0011242,0.01083,-0.021819,0.02043,-0.0049472,-0.0015362,-0.0044369
"594.2930 / 19.08  MHNa2",0.013238,-0.00052506,-0.020087,0.002494,0.0055478,0.0042304,0.0086526,-0.010954
"594.6478 / 18.98  M3H3",0.013355,0.00015237,-0.021645,0.010762,-0.003421,-8.0203e-05,0.012862,-0.0101
"594.7678 / 20.02  M2H2",0.013091,0.0019147,-0.022038,0.01469,0.00061617,-0.0025773,0.0020443,-0.0081615
"594.7971 / 3.50",0.0060677,0.0012401,-0.023681,0.025575,-0.0056593,-0.019783,0.022127,0.0024614
"594.8227 / 19.53  MHNa2",0.016359,0.0020039,-0.011131,-0.0026201,0.0065895,0.00093711,0.0014462,-0.0019462
"595.2361 / 8.42",0.014618,-0.0099072,0.0098506,-0.0060254,0.00090171,0.0026264,-0.0029021,-0.003575
"595.3062 / 19.40  MNa",0.015008,-0.00067608,-0.0082391,-0.0015177,-0.0021316,-0.0035976,0.010735,-0.0072959
"595.3667 / 23.38",0.0009677,-7.9263e-06,-1.8781e-05,0.0022212,-0.0028262,0.0049254,-0.004014,-0.0041717
"595.3874 / 23.35",0.001142,-0.0010611,-0.0010908,0.0003518,-0.0042872,0.0067343,-0.0038757,-0.0035002
"596.3086 / 18.75  MH",0.017186,0.00069003,-0.018053,-0.00070873,0.013255,0.0025695,-0.0034992,0.0049821
"596.9945 / 1.26",7.1213e-05,-0.0002378,0.00088895,0.00065059,0.0012652,-0.00069936,-0.0015126,-0.001788
"596.9953 / 23.38",-0.00012409,1.98e-05,0.0002638,0.0009646,0.00085932,0.0010283,-0.0017925,-0.0024335
"596.9956 / 22.86",0.00078173,0.004316,-0.0019736,3.9494e-05,-0.0051412,-0.0021065,-0.0026453,0.0001322
"596.9956 / 24.53",2.3442e-05,0.0030532,0.00083908,0.0019515,-0.0017857,-0.0016184,-0.00020572,-0.0010873
"596.9958 / 25.94",-8.4827e-05,0.0009476,0.00095536,0.0010021,4.5107e-05,0.00011506,0.0001082,-0.0012839
"597.0103 / 23.79",1.399e-05,-0.0004828,0.00063132,-0.00015532,-0.00087734,0.0015854,-3.002e-05,-0.0017045
"597.0104 / 21.62",-0.0060064,0.0039581,0.018455,-0.020274,-0.014665,0.0065991,0.01081,-0.0052895
"597.0108 / 26.27",-7.4616e-05,-1.6297e-05,0.000163,-0.00045208,-0.0006836,0.0012305,0.00040689,-0.00068925
"597.0110 / 22.83",-0.00041019,0.0011477,-0.00073342,0.0022791,-0.0012904,0.0014581,0.0013595,-0.0015218
"597.0111 / 22.23",0.0013083,0.0069823,-0.002161,0.0033547,-0.012441,0.0040313,0.009507,-0.010794
"597.0112 / 27.40",8.8685e-05,0.00059863,-0.0001322,-0.00050894,-0.00045155,0.0023629,8.2808e-05,6.9912e-05
"597.0118 / 1.30",-2.3806e-05,-0.0016266,-0.00070318,-0.0013755,0.00080553,0.00053423,-0.00092803,-0.00036862
"597.0130 / 25.24",0.00059115,-6.1988e-05,0.015437,-0.0060643,0.0078896,0.013514,-0.00034083,0.010211
"597.2103 / 19.40",0.0081007,-0.009565,0.01356,0.0033445,0.0013792,0.0057234,0.010365,-0.020177
