"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"114.9480 / 18.43",0.0037956,-0.0012301,-0.0093528,-0.0059694,-0.0046498,0.017205,-0.0045995,-0.021282
"114.9481 / 2.66  MH",0.0014291,0.016147,-0.0016009,-0.014681,0.00066287,0.010252,-0.01756,0.016681
"114.9482 / 0.04",-0.0021337,0.011129,0.0051862,-0.0085927,-0.0016986,-0.013844,0.0026129,0.0036607
"114.9482 / 5.26",0.00050678,-0.0027348,-0.00050198,-5.6758e-05,-0.015207,0.02178,-0.016312,0.0084625
"114.9483 / 28.52  MH",-7.3154e-05,0.00095622,0.0012984,-0.00049625,0.00029056,5.1002e-06,-0.00086836,0.0007428
"114.9483 / 3.95",0.0013245,0.0058088,0.025349,-0.010297,0.0007067,0.02658,0.022195,-0.011598
"114.9483 / 31.62",-0.0017886,0.0011646,0.010257,-0.013035,0.0057312,0.02279,-0.0031033,0.0081229
"114.9484 / 4.49",0.0022901,0.0015178,-0.0096326,0.0022485,-0.024566,0.01849,0.0025398,0.0088893
"115.0243 / 1.11  MCH3OHH",0.00031367,-0.0084668,-0.0052148,0.0011445,0.0081585,-0.0061723,-0.0028291,-0.00045577
"115.0944 / 8.28",-0.00084896,0.012883,-0.013248,-0.0019796,-0.0047843,-0.016665,0.014735,0.0022639
"116.0705 / 6.09",0.0030517,-0.0031869,0.0034648,0.0066356,-0.007518,-0.0071581,0.0058972,0.0031071
"116.0709 / 1.51  MCH3OHH",0.0031654,-0.0055013,0.0049386,-0.0045902,0.0024699,-0.0030092,0.00091111,-0.00302
"116.0709 / 4.99",0.010594,-0.018948,0.029865,-0.017697,0.00028271,-0.00010174,0.006266,0.0077076
"116.9634 / 1.83",0.00016012,0.0062135,0.0013816,-0.00094054,-0.0021219,0.00066416,-0.0049563,0.0035687
"116.9833 / 18.25",0.00047581,0.005386,0.005844,-0.009643,-0.014011,0.022258,0.018242,0.028782
"116.9834 / 17.15",-0.0024673,-0.0014941,-0.0016379,0.0056553,-0.013921,-0.01042,0.010005,0.016617
"116.9834 / 5.73",0.001463,-0.0053294,0.018649,0.010501,-0.0034931,-0.017678,0.0099639,0.0045398
"116.9835 / 29.45",-0.00037572,-0.00098174,-0.0025491,0.0007429,0.0019223,-0.0037164,-0.00033845,0.00057768
"116.9850 / 18.77",0.0023636,-0.0082631,0.01448,0.0021846,-0.013291,0.013176,0.0014317,-0.01997
"116.9854 / 1.03",0.0016985,0.013752,-0.0053411,0.0037029,-0.0080506,-8.7711e-05,0.00062285,-0.0017013
"116.9855 / 2.64",-0.00013287,-0.015764,0.0029414,-0.0047139,-0.0038639,-0.01675,-0.001296,-0.0031779
"116.9858 / 15.52",0.0029265,-0.0045299,0.0059346,0.012162,0.0037305,-0.0089135,0.0094341,0.012622
"116.9859 / 31.34",-0.0024594,0.0041075,0.010537,-0.0060272,-0.00033003,0.0059357,0.032289,0.0092313
"116.9860 / 13.79",2.277e-05,-0.0058923,0.0084402,-0.018122,-0.010254,0.0043899,0.015136,-0.016875
"116.9861 / 0.35",0.0019109,0.010993,-0.0034181,0.00032649,-0.010877,-0.0050139,-0.0024646,0.0021732
"116.9861 / 30.15",0.0027502,-0.0017755,-0.0015814,0.004935,-0.0019015,-0.0043132,0.0043695,-0.0035512
"116.9861 / 6.24",0.0025334,-0.0059117,-0.001604,0.010484,-0.0091382,0.011673,-0.00046902,0.0033359
"116.9861 / 8.13",-0.00060912,-0.010625,0.0044893,-0.018611,-0.0077939,-0.012997,0.01428,0.011185
"116.9862 / 11.39",0.0053559,-0.017453,-0.0038305,0.0081574,-0.0046223,0.0050476,-0.021798,0.0053004
"116.9862 / 15.00",0.0040196,-0.0071942,0.00079112,0.0072231,-0.0035514,0.0087893,0.026772,0.015494
"116.9862 / 16.40",0.0019434,0.0037314,-0.012959,0.0015267,-0.00030419,0.0093107,0.0032244,-0.001311
"116.9863 / 10.68",-0.001976,0.0022395,0.010445,0.020448,-0.0074744,-0.0159,0.019732,0.030562
"116.9863 / 14.31",0.007194,0.006511,0.0078593,-0.00073984,-0.0043363,0.012598,-0.0022376,0.0047926
"116.9863 / 4.20",0.0020294,-0.0035898,0.01355,-0.016912,0.010227,-0.0075841,-0.0042288,0.014217
"116.9864 / 3.49",0.0010213,-0.0086332,0.0017056,-0.030325,-0.00029795,0.01268,-0.011671,-0.01303
"116.9864 / 9.46",0.002262,0.00061629,0.011082,-0.016897,0.0044506,0.0011967,0.0085591,-0.02382
"116.9865 / 7.44",0.0016989,-0.0027636,0.016069,-0.028016,0.0058829,-0.0055396,0.021218,-0.014783
"117.0360 / 2.34",-0.0014822,0.0079789,-0.017023,0.00955,-0.0049875,-0.0044466,-0.013363,-0.0039079
"117.0696 / 20.44",0.0013099,0.0027705,0.012055,0.0098557,-0.004134,-0.020076,0.0040464,0.015063
"117.0698 / 17.93",-0.00022647,-2.6118e-05,-0.0064309,0.0030324,0.0027122,-0.0083093,-0.00049737,0.004784
"118.0645 / 4.27",0.00056218,-0.011749,0.0039064,-0.0066681,0.0033772,-0.00073013,0.00036826,-0.0039861
"118.0652 / 3.04",0.0030675,-0.012703,0.0059109,-0.0045092,0.012221,-0.0074456,0.0030622,-0.004066
"118.0860 / 1.55",0.00032283,-0.0063289,0.0012461,-0.0017275,0.001169,-0.0041186,0.00094986,-0.0011054
"119.0163 / 5.77",0.0006393,-0.0028064,-0.0035364,0.0058012,0.0033529,-0.0050657,-0.0023182,0.0044901
"119.0172 / 3.75",0.0052784,-0.015002,-0.0073385,-0.0050561,0.0097357,-0.010348,-0.0020642,-0.0089387
"119.0194 / 1.11",0.00028872,-0.0093875,-0.0059838,0.00087635,0.0093694,-0.0074848,-0.0028993,-0.0013702
"119.0349 / 3.83",0.0051706,-0.0051309,0.0037036,-0.0033233,0.0024205,-0.0012641,0.0017958,-0.0031649
"119.0488 / 6.66",0.00075439,-0.013786,0.0043471,-0.001832,0.0069792,-0.0052726,0.0040587,-0.0078365
"119.0495 / 2.10  MH",0.00034637,-0.01004,0.0021363,-0.0060201,0.0054173,-0.0024108,0.0015553,-0.0011552
"119.0855 / 22.10",0.00045919,-0.0032735,0.0016569,-0.0026788,-0.0049787,0.0045762,-0.004008,0.0043496
"120.0212 / 1.04",0.00011495,-0.0092696,-0.0056931,0.0015478,0.0097625,-0.0071437,-0.0028092,0.00016021
"120.0445 / 3.03",0.0027232,-0.011815,0.0050327,-0.004868,0.010678,-0.0078339,0.0022943,-0.0040637
"120.0804 / 12.35",0.0067957,-0.019473,-0.018934,-0.0091028,0.0017096,0.0026586,0.0016198,0.0013361
"120.0806 / 8.31",0.0075355,-0.012731,-0.0003578,-0.0019296,-0.0062214,0.011862,0.015796,-0.010938
