"","d.value","stdev","rawp","q.value"
"698.2751 / 3.51",5.3731,1.4076,3.9133e-06,1.2703e-05
"404.1447 / 14.98",5.3721,1.4049,3.9133e-06,1.2703e-05
"473.2348 / 12.48",5.3714,1.5444,3.9133e-06,1.2703e-05
"753.3526 / 10.60",5.3705,1.2889,3.9133e-06,1.2703e-05
"529.7677 / 17.66",5.3702,1.5625,3.9133e-06,1.2703e-05
"523.7987 / 19.36",5.3681,1.5421,3.9133e-06,1.2703e-05
"550.7885 / 20.88  MHNa2",5.3675,1.4455,3.9133e-06,1.2703e-05
"336.1381 / 10.09",5.3671,1.4225,3.9133e-06,1.2703e-05
"815.4161 / 10.90",5.3667,1.4278,3.9133e-06,1.2703e-05
"504.2654 / 9.35",5.3661,1.4541,3.9133e-06,1.2703e-05
"582.7758 / 20.24",5.3661,1.203,3.9133e-06,1.2703e-05
"350.1328 / 11.72  MNa-2H-",5.3657,1.5475,3.9133e-06,1.2703e-05
"412.1902 / 11.80",5.365,1.4898,3.9133e-06,1.2703e-05
"725.3830 / 19.65",5.3641,1.5425,3.9133e-06,1.2703e-05
"380.1836 / 5.43",5.364,1.4763,3.9133e-06,1.2703e-05
"385.2531 / 2.11",5.3634,1.5581,3.9133e-06,1.2703e-05
"293.0524 / 3.86",5.3629,0.65268,3.9133e-06,1.2703e-05
"486.2554 / 7.32  MCH3OHH",5.3625,1.4213,3.9133e-06,1.2703e-05
"411.2231 / 18.94",5.3624,1.427,3.9133e-06,1.2703e-05
"406.7181 / 3.24  M2H2",5.3602,1.646,3.9133e-06,1.2703e-05
"409.2098 / 8.76",5.3597,1.5398,3.9133e-06,1.2703e-05
"460.2400 / 9.91",5.3594,1.6717,3.9133e-06,1.2703e-05
"438.8820 / 13.84  M3H3",5.3578,1.5991,3.9133e-06,1.2703e-05
"590.7355 / 19.63",5.3576,1.4404,3.9133e-06,1.2703e-05
"389.2388 / 5.57  MNH4",5.3573,1.5301,3.9133e-06,1.2703e-05
"550.2879 / 16.88",5.3566,1.5805,3.9133e-06,1.2703e-05
"457.3039 / 17.81",5.3562,1.3995,3.9133e-06,1.2703e-05
"479.7649 / 8.52  M2H2",5.3531,1.6894,3.9133e-06,1.2703e-05
"354.7017 / 9.26  M2H2",5.3526,1.4691,3.9133e-06,1.2703e-05
"437.7404 / 19.85",5.3519,1.5581,3.9133e-06,1.2703e-05
"400.1821 / 1.88",5.3516,1.507,3.9133e-06,1.2703e-05
"371.2286 / 13.11  M-H-",5.3501,2.046,3.9133e-06,1.2703e-05
"433.1928 / 3.67  M-H-",5.3494,1.4914,3.9133e-06,1.2703e-05
"533.2343 / 12.78",5.3489,1.5378,3.9133e-06,1.2703e-05
"430.7148 / 2.73",5.3489,1.3994,3.9133e-06,1.2703e-05
"530.3286 / 8.23",5.348,1.6018,3.9133e-06,1.2703e-05
"615.4107 / 19.62",5.3468,1.5721,3.9133e-06,1.2703e-05
"382.1985 / 9.50",5.3467,1.6373,3.9133e-06,1.2703e-05
"474.2572 / 9.89  MH",5.3466,1.537,3.9133e-06,1.2703e-05
"380.1453 / 4.88  M-H-",5.3452,1.5789,3.9133e-06,1.2703e-05
"515.2297 / 17.21",5.3438,1.4076,3.9133e-06,1.2703e-05
"336.7072 / 10.20",5.3437,1.6503,3.9133e-06,1.2703e-05
"547.2714 / 17.47  MCH3OHH",5.3437,1.5452,3.9133e-06,1.2703e-05
"641.3525 / 15.85",5.3433,1.466,3.9133e-06,1.2703e-05
"512.7877 / 13.38",5.3397,1.4,3.9133e-06,1.2703e-05
"446.1882 / 1.81",5.3395,1.3407,3.9133e-06,1.2703e-05
"543.2773 / 14.25  MH",5.3388,1.6044,3.9133e-06,1.2703e-05
"475.7705 / 10.98  M2H2",5.3387,1.6368,3.9133e-06,1.2703e-05
"404.7006 / 8.28",5.3386,1.5581,3.9133e-06,1.2703e-05
"376.2116 / 15.33",5.3383,1.5023,3.9133e-06,1.2703e-05
"229.1182 / 8.65",5.3372,1.4824,3.9133e-06,1.2703e-05
"330.2025 / 5.33",5.3351,1.6057,3.9133e-06,1.2703e-05
"155.0828 / 2.69",5.335,1.5477,3.9133e-06,1.2703e-05
"716.2917 / 13.27",5.3347,1.6364,3.9133e-06,1.2703e-05
"528.9483 / 10.56  M3H3",5.3344,1.3991,3.9133e-06,1.2703e-05
"267.1689 / 6.90  MNa",5.3335,1.689,3.9133e-06,1.2703e-05
"427.2202 / 10.27",5.333,1.4292,3.9133e-06,1.2703e-05
"497.2175 / 11.78",5.3328,1.4926,3.9133e-06,1.2703e-05
"451.2298 / 7.89",5.3323,1.6251,3.9133e-06,1.2703e-05
"393.7191 / 3.76",5.3315,1.5211,3.9133e-06,1.2703e-05
"551.2817 / 19.29  M-H-",5.3311,1.6717,3.9133e-06,1.2703e-05
"306.1470 / 3.76  MH",5.3307,1.5009,3.9133e-06,1.2703e-05
"336.6574 / 3.08",5.3304,1.4171,3.9133e-06,1.2703e-05
"573.2113 / 18.98",5.3296,1.4916,3.9133e-06,1.2703e-05
"473.2181 / 4.41",5.3295,1.426,3.9133e-06,1.2703e-05
"691.2875 / 15.77",5.3293,1.5054,3.9133e-06,1.2703e-05
"456.2808 / 15.91",5.3284,1.4909,3.9133e-06,1.2703e-05
"417.2708 / 12.55",5.3253,1.4999,3.9133e-06,1.2703e-05
"481.7403 / 17.24  M2H2",5.3249,1.4037,3.9133e-06,1.2703e-05
"543.3154 / 9.58",5.3246,1.3782,3.9133e-06,1.2703e-05
"520.2387 / 8.80  MNa",5.3241,1.4129,3.9133e-06,1.2703e-05
"548.3224 / 15.62  M2H2",5.3232,1.6418,3.9133e-06,1.2703e-05
"381.0084 / 7.68",5.3217,1.3629,3.9133e-06,1.2703e-05
"410.1544 / 7.02",5.3216,1.4984,3.9133e-06,1.2703e-05
"623.3023 / 15.78",5.3198,1.553,3.9133e-06,1.2703e-05
"588.3190 / 18.53  M2H2",5.3193,1.5658,3.9133e-06,1.2703e-05
"316.1294 / 6.10",5.3188,1.5033,3.9133e-06,1.2703e-05
"416.1232 / 6.83",5.3184,1.4954,3.9133e-06,1.2703e-05
"421.2078 / 10.54",5.3182,1.639,3.9133e-06,1.2703e-05
"361.7093 / 13.87  M2H2",5.3182,1.5858,3.9133e-06,1.2703e-05
"642.3108 / 10.53",5.3182,1.3241,3.9133e-06,1.2703e-05
"439.1820 / 6.48",5.3181,1.3756,3.9133e-06,1.2703e-05
"609.2872 / 11.86  MNa-2H-",5.317,1.3279,3.9133e-06,1.2703e-05
"444.7381 / 11.17",5.3167,1.3792,3.9133e-06,1.2703e-05
"318.1673 / 3.82",5.3164,1.7257,3.9133e-06,1.2703e-05
"477.2334 / 11.57",5.3161,1.4981,3.9133e-06,1.2703e-05
"519.2411 / 12.58  M3H3",5.3159,1.4659,3.9133e-06,1.2703e-05
"288.1557 / 1.94",5.3155,1.4735,3.9133e-06,1.2703e-05
"516.3026 / 13.00",5.3143,1.7486,3.9133e-06,1.2703e-05
"495.7241 / 21.47",5.3131,1.5092,3.9133e-06,1.2703e-05
"544.8031 / 17.84  MHNa2",5.3127,1.6704,3.9133e-06,1.2703e-05
"373.2274 / 14.16",5.3126,1.2842,3.9133e-06,1.2703e-05
"395.2045 / 10.45",5.3125,1.4186,3.9133e-06,1.2703e-05
"533.7283 / 14.43  M2H2",5.3116,1.6251,3.9133e-06,1.2703e-05
"355.1618 / 6.62",5.311,1.6044,3.9133e-06,1.2703e-05
"474.2923 / 12.35  MCH3OHH",5.3105,1.5407,3.9133e-06,1.2703e-05
"389.2034 / 3.88",5.3104,1.634,3.9133e-06,1.2703e-05
"546.2753 / 10.70  M-H-",5.3103,1.3835,3.9133e-06,1.2703e-05
"702.3301 / 16.09",5.3101,1.2268,3.9133e-06,1.2703e-05
"486.7569 / 9.16  M2H2",5.3084,1.5439,3.9133e-06,1.2703e-05
"243.1712 / 7.71  M-H-",5.3083,1.7845,3.9133e-06,1.2703e-05
"457.2392 / 12.06",5.3066,1.4355,3.9133e-06,1.2703e-05
"553.2611 / 12.95",5.3054,1.6832,3.9133e-06,1.2703e-05
"522.2501 / 12.40",5.3042,1.4135,3.9133e-06,1.2703e-05
"521.7804 / 10.12  M2H2",5.3025,1.4588,3.9133e-06,1.2703e-05
"451.2669 / 11.29",5.3024,1.4931,3.9133e-06,1.2703e-05
"459.2324 / 9.33",5.3018,1.2745,3.9133e-06,1.2703e-05
"545.2928 / 11.78  MH",5.3015,1.6036,3.9133e-06,1.2703e-05
"422.7360 / 14.69  M2H2",5.3008,1.5719,3.9133e-06,1.2703e-05
"596.3251 / 19.17  M-H-",5.2978,1.5636,3.9133e-06,1.2703e-05
"467.1769 / 5.95",5.2977,1.3655,3.9133e-06,1.2703e-05
"866.9187 / 12.86  M-2H2-",5.2973,1.3498,3.9133e-06,1.2703e-05
"544.7784 / 15.72",5.297,1.5882,3.9133e-06,1.2703e-05
"299.0994 / 14.04",5.2961,1.5187,3.9133e-06,1.2703e-05
"85.0652 / 8.31",5.295,0.63175,3.9133e-06,1.2703e-05
"796.3405 / 20.11  MNa",5.2945,1.4952,3.9133e-06,1.2703e-05
"445.2674 / 14.02",5.2941,1.853,3.9133e-06,1.2703e-05
"678.3296 / 19.18",5.2938,1.4237,3.9133e-06,1.2703e-05
"501.2656 / 5.67",5.2921,1.5314,3.9133e-06,1.2703e-05
"465.7626 / 13.66  M2H2",5.2916,1.5646,3.9133e-06,1.2703e-05
"520.2039 / 14.31",5.2915,1.4553,3.9133e-06,1.2703e-05
"535.3093 / 13.63  M2",5.2907,1.7046,3.9133e-06,1.2703e-05
"635.3097 / 18.20  M2H2",5.2906,1.3193,3.9133e-06,1.2703e-05
"444.2447 / 8.27",5.2895,1.5942,3.9133e-06,1.2703e-05
"366.1671 / 5.84  MCH3OHH",5.2894,1.6873,3.9133e-06,1.2703e-05
"316.1296 / 15.15",5.2891,1.5184,3.9133e-06,1.2703e-05
"515.2446 / 17.53  MH",5.2891,1.4741,3.9133e-06,1.2703e-05
"629.2678 / 7.43",5.2887,1.502,3.9133e-06,1.2703e-05
"491.2538 / 11.33  M3H3",5.2881,1.4826,3.9133e-06,1.2703e-05
"157.1337 / 2.32",5.2877,1.6117,3.9133e-06,1.2703e-05
"219.0170 / 1.85  MH",5.2874,0.21818,3.9133e-06,1.2703e-05
"416.2632 / 14.69  M3H3",5.2873,1.3892,3.9133e-06,1.2703e-05
"604.8300 / 19.60",5.2872,1.4383,3.9133e-06,1.2703e-05
"330.1660 / 3.77",5.287,1.6645,3.9133e-06,1.2703e-05
"718.3402 / 14.68  MNa-2H-",5.2868,1.4903,3.9133e-06,1.2703e-05
"647.3007 / 13.59  MNa-2H-",5.2865,1.2849,3.9133e-06,1.2703e-05
"472.2423 / 15.01",5.2864,1.4575,3.9133e-06,1.2703e-05
"428.2504 / 6.59",5.2864,1.6171,3.9133e-06,1.2703e-05
"490.2616 / 10.34",5.2862,1.4424,3.9133e-06,1.2703e-05
"446.2594 / 9.12",5.2857,1.4408,3.9133e-06,1.2703e-05
"631.3302 / 16.04",5.2853,1.4791,3.9133e-06,1.2703e-05
"343.2087 / 5.01",5.2841,1.4325,3.9133e-06,1.2703e-05
"599.3488 / 8.21",5.2838,1.5456,3.9133e-06,1.2703e-05
"466.2477 / 11.66",5.2836,1.4968,3.9133e-06,1.2703e-05
"436.2332 / 10.99  M2H2",5.2832,1.6423,3.9133e-06,1.2703e-05
"616.3026 / 10.30  M2H2",5.283,1.3191,3.9133e-06,1.2703e-05
"585.2871 / 8.13",5.2828,1.5763,3.9133e-06,1.2703e-05
"331.2087 / 8.48  MCH3OHH",5.2816,1.4795,3.9133e-06,1.2703e-05
"403.2539 / 10.94",5.2809,1.6017,3.9133e-06,1.2703e-05
"550.2890 / 13.81",5.2807,1.5557,3.9133e-06,1.2703e-05
"591.2972 / 10.51",5.2806,1.3731,3.9133e-06,1.2703e-05
"602.2808 / 19.48",5.2795,1.4002,3.9133e-06,1.2703e-05
"403.2543 / 12.62",5.2785,1.4766,3.9133e-06,1.2703e-05
"493.7521 / 11.61",5.2781,1.4376,3.9133e-06,1.2703e-05
"475.2565 / 13.91",5.2774,1.4096,4.6959e-06,1.4425e-05
"700.3288 / 16.76  MNa-2H-",5.2768,1.4004,4.6959e-06,1.4425e-05
"673.2581 / 13.50",5.2764,1.3802,4.6959e-06,1.4425e-05
"475.2384 / 10.54  M2",5.2762,1.4598,4.6959e-06,1.4425e-05
"400.2202 / 13.17",5.2762,1.516,4.6959e-06,1.4425e-05
"403.2302 / 8.44",5.2755,1.5425,4.6959e-06,1.4425e-05
"229.1553 / 3.83  M-H-",5.2753,1.7308,4.6959e-06,1.4425e-05
"349.1158 / 9.50  MNa-2H-",5.2752,1.4188,4.6959e-06,1.4425e-05
"550.2411 / 13.61",5.2742,1.3645,4.6959e-06,1.4425e-05
"543.2764 / 11.81",5.2741,1.5934,4.6959e-06,1.4425e-05
"332.1398 / 14.14  MH",5.2739,1.673,4.6959e-06,1.4425e-05
"518.1886 / 14.33  M-H-",5.2732,1.5069,4.6959e-06,1.4425e-05
"399.2351 / 8.45",5.2732,1.7718,4.6959e-06,1.4425e-05
"368.1808 / 6.08",5.2728,1.5501,4.6959e-06,1.4425e-05
"524.2529 / 12.09",5.2715,1.4997,4.6959e-06,1.4425e-05
"451.2185 / 14.12",5.2713,1.4653,4.6959e-06,1.4425e-05
"548.2710 / 16.91",5.2709,1.4875,4.6959e-06,1.4425e-05
"601.3610 / 8.20",5.2709,1.4469,4.6959e-06,1.4425e-05
"477.2227 / 14.06  M2H2",5.2708,1.321,4.6959e-06,1.4425e-05
"516.2659 / 15.41  M2",5.2705,1.5543,4.6959e-06,1.4425e-05
"522.2903 / 17.43",5.2701,1.5555,4.6959e-06,1.4425e-05
"591.7914 / 14.08  MHNH42",5.2696,1.5322,4.6959e-06,1.4425e-05
"472.2758 / 13.83  M-H-",5.2695,1.5174,4.6959e-06,1.4425e-05
"567.6043 / 18.82  M3H3",5.2692,1.6995,4.6959e-06,1.4425e-05
"472.2623 / 10.97  M2H2",5.2684,1.3531,4.6959e-06,1.4425e-05
"414.6786 / 4.20",5.2667,1.629,4.6959e-06,1.4425e-05
"423.2210 / 9.56  2MNa",5.2666,1.4346,4.6959e-06,1.4425e-05
"437.2201 / 13.92  M3H3",5.2661,1.4823,4.6959e-06,1.4425e-05
"562.2698 / 8.74",5.2656,1.472,4.6959e-06,1.4425e-05
"516.7483 / 4.54  M2H2",5.265,1.4601,4.6959e-06,1.4425e-05
"669.3467 / 19.20",5.2644,1.4199,4.6959e-06,1.4425e-05
"372.1663 / 7.60",5.2634,1.4354,4.6959e-06,1.4425e-05
"439.2176 / 6.73",5.2632,1.4747,4.6959e-06,1.4425e-05
"453.7487 / 10.15",5.2632,1.4526,4.6959e-06,1.4425e-05
"690.2772 / 16.56",5.2629,1.4806,4.6959e-06,1.4425e-05
"490.7484 / 3.27",5.2623,1.5399,4.6959e-06,1.4425e-05
"560.2772 / 14.81  MH",5.2621,1.6217,4.6959e-06,1.4425e-05
"417.2230 / 19.06",5.2612,1.4429,4.6959e-06,1.4425e-05
"738.3693 / 14.04",5.2588,1.3615,4.6959e-06,1.4425e-05
"415.2919 / 16.76",5.2579,1.5691,4.6959e-06,1.4425e-05
"477.7123 / 17.69",5.2578,1.4533,4.6959e-06,1.4425e-05
"466.2680 / 18.26  M3H3",5.2577,1.5751,4.6959e-06,1.4425e-05
"332.2191 / 4.45  MCH3OHH",5.2575,1.4817,4.6959e-06,1.4425e-05
"409.2209 / 8.67",5.2574,1.5274,4.6959e-06,1.4425e-05
"616.3541 / 19.21",5.2552,1.4914,4.6959e-06,1.4425e-05
"608.3034 / 15.03",5.2548,1.4135,4.6959e-06,1.4425e-05
"531.2889 / 2.03  MNH4",5.2547,1.696,4.6959e-06,1.4425e-05
"389.1497 / 9.02",5.2534,1.5046,4.6959e-06,1.4425e-05
"549.3128 / 18.53",5.2532,1.5186,4.6959e-06,1.4425e-05
"506.2215 / 4.82  MNa-2H-",5.2529,1.3411,4.6959e-06,1.4425e-05
"587.3039 / 12.20  M-H-",5.2524,1.4623,4.6959e-06,1.4425e-05
"490.2653 / 9.43  M3H3",5.2512,1.4586,4.6959e-06,1.4425e-05
"738.3684 / 17.63  MNH4",5.2509,1.3844,4.6959e-06,1.4425e-05
"539.3028 / 18.66",5.2506,1.5185,4.6959e-06,1.4425e-05
"602.3516 / 4.91",5.25,1.4156,4.6959e-06,1.4425e-05
"402.1088 / 3.40",5.2491,1.4729,4.6959e-06,1.4425e-05
"488.7753 / 7.69",5.2487,1.3549,4.6959e-06,1.4425e-05
"463.2558 / 12.00",5.2485,1.375,4.6959e-06,1.4425e-05
"279.6622 / 2.13",5.248,1.6486,4.6959e-06,1.4425e-05
"589.2080 / 15.54",5.2479,1.3679,4.6959e-06,1.4425e-05
"676.3346 / 16.87",5.2473,1.5621,4.6959e-06,1.4425e-05
"525.2661 / 1.56",5.2472,1.3431,4.6959e-06,1.4425e-05
"607.3467 / 20.97  M-H-",5.2467,1.8089,4.6959e-06,1.4425e-05
"860.4159 / 18.87",5.2467,1.4112,4.6959e-06,1.4425e-05
"512.2460 / 10.57",5.246,1.3983,4.6959e-06,1.4425e-05
"490.2625 / 7.77",5.2455,1.3141,4.6959e-06,1.4425e-05
"486.2557 / 15.82",5.2452,1.4012,4.6959e-06,1.4425e-05
"587.8040 / 15.27",5.2451,1.4279,5.4786e-06,1.5889e-05
"360.1602 / 11.06",5.2451,1.422,5.4786e-06,1.5889e-05
"639.2694 / 18.08  M3H3",5.245,1.3886,5.4786e-06,1.5889e-05
"591.2715 / 13.64",5.2444,1.4191,5.4786e-06,1.5889e-05
"391.2177 / 3.00",5.2442,1.5707,5.4786e-06,1.5889e-05
"773.3784 / 7.09",5.2436,1.4293,5.4786e-06,1.5889e-05
"720.3937 / 13.87",5.2429,1.3729,5.4786e-06,1.5889e-05
"584.2520 / 14.24  M2H2",5.2427,1.4437,5.4786e-06,1.5889e-05
"921.4547 / 19.44",5.2427,1.2683,5.4786e-06,1.5889e-05
"568.3087 / 11.32  M-H2O-H-",5.2424,1.4271,5.4786e-06,1.5889e-05
"514.2630 / 6.68  MH",5.2417,1.6947,5.4786e-06,1.5889e-05
"767.4094 / 19.75  MNa",5.2413,1.3586,5.4786e-06,1.5889e-05
"525.2261 / 7.92  MK",5.2411,1.4523,5.4786e-06,1.5889e-05
"504.2060 / 12.92  MNa-2H-",5.2409,1.4347,5.4786e-06,1.5889e-05
"772.3376 / 20.14  M-H-",5.2406,1.6712,5.4786e-06,1.5889e-05
"669.8772 / 16.93",5.2405,1.4176,5.4786e-06,1.5889e-05
"599.3023 / 8.05",5.2399,1.3903,5.4786e-06,1.5889e-05
"508.2474 / 11.48",5.2391,1.3757,5.4786e-06,1.5889e-05
"657.3201 / 8.38",5.2384,1.6169,5.4786e-06,1.5889e-05
"609.0073 / 13.46",5.2383,1.466,5.4786e-06,1.5889e-05
"472.5866 / 19.30  M3H3",5.2381,1.3945,5.4786e-06,1.5889e-05
"404.1766 / 3.08",5.238,1.524,5.4786e-06,1.5889e-05
"487.7605 / 9.13",5.2378,1.3613,5.4786e-06,1.5889e-05
"571.2346 / 3.38",5.2372,1.384,5.4786e-06,1.5889e-05
"775.3671 / 19.56",5.237,1.3477,5.4786e-06,1.5889e-05
"563.3287 / 16.21",5.2369,1.5523,5.4786e-06,1.5889e-05
"560.8033 / 16.08",5.2367,1.4101,5.4786e-06,1.5889e-05
"131.0709 / 8.31  M-H-",5.2362,0.59846,5.4786e-06,1.5889e-05
"441.1488 / 22.51",5.2355,0.38276,5.4786e-06,1.5889e-05
"630.3251 / 14.75",5.2351,1.4098,5.4786e-06,1.5889e-05
"786.4253 / 19.46",5.2343,1.299,5.4786e-06,1.5889e-05
"529.2300 / 11.41",5.2336,1.4088,5.4786e-06,1.5889e-05
"666.3576 / 9.66",5.2332,1.3171,5.4786e-06,1.5889e-05
"530.3094 / 11.73",5.2324,1.3255,5.4786e-06,1.5889e-05
"548.2634 / 14.63  M2H2",5.2323,1.3348,5.4786e-06,1.5889e-05
"630.2965 / 18.85",5.2322,1.4282,5.4786e-06,1.5889e-05
"583.2726 / 8.12",5.2317,1.5602,5.4786e-06,1.5889e-05
"507.2220 / 6.79",5.2298,1.3915,5.4786e-06,1.5889e-05
"401.2760 / 13.85",5.2295,1.7242,5.4786e-06,1.5889e-05
"488.2731 / 9.78  MH",5.2291,1.5167,5.4786e-06,1.5889e-05
"361.1727 / 3.05  MNH4",5.2278,1.4322,5.4786e-06,1.5889e-05
"682.3515 / 11.79",5.2274,1.5481,5.4786e-06,1.5889e-05
"489.2828 / 5.13",5.2258,1.5419,5.4786e-06,1.5889e-05
"450.7272 / 9.84",5.2257,1.2384,5.4786e-06,1.5889e-05
"623.8364 / 12.94  M2H2",5.2255,1.5554,5.4786e-06,1.5889e-05
"463.2397 / 5.85",5.2248,1.5899,5.4786e-06,1.5889e-05
"426.1605 / 18.31  MNa-2H-",5.2245,1.2963,5.4786e-06,1.5889e-05
"602.3492 / 3.79",5.2242,1.6605,5.4786e-06,1.5889e-05
"461.7569 / 12.72  M2H2",5.2229,1.5767,5.4786e-06,1.5889e-05
"618.3092 / 20.17  M-2H2-",5.2228,1.3123,5.4786e-06,1.5889e-05
"507.1714 / 7.80",5.2225,1.4975,5.4786e-06,1.5889e-05
"399.1879 / 10.61",5.2224,1.5287,5.4786e-06,1.5889e-05
"455.2495 / 11.34",5.2213,1.6737,5.4786e-06,1.5889e-05
"403.2317 / 12.98  M3H3",5.2209,1.3741,5.4786e-06,1.5889e-05
"407.1760 / 14.40  M2H2",5.22,1.5401,5.4786e-06,1.5889e-05
"460.2406 / 4.06  MH",5.2192,1.586,5.4786e-06,1.5889e-05
"471.2557 / 6.34",5.2189,1.4291,5.4786e-06,1.5889e-05
"318.2032 / 6.13",5.2159,1.6398,5.4786e-06,1.5889e-05
"406.1821 / 9.26",5.2146,1.3118,5.4786e-06,1.5889e-05
"684.3096 / 15.43",5.2144,1.4325,5.4786e-06,1.5889e-05
"799.4292 / 15.71",5.2142,1.3337,5.4786e-06,1.5889e-05
"410.7028 / 3.86  M2H2",5.2141,1.8386,5.4786e-06,1.5889e-05
"425.1784 / 3.70",5.2136,1.402,5.4786e-06,1.5889e-05
"529.3335 / 6.41",5.2133,1.5103,5.4786e-06,1.5889e-05
"506.2993 / 17.13",5.2129,1.4653,5.4786e-06,1.5889e-05
"603.3342 / 13.95",5.2125,1.3832,5.4786e-06,1.5889e-05
"533.3296 / 2.41",5.2123,1.5428,5.4786e-06,1.5889e-05
"360.1964 / 3.45",5.2121,1.5456,5.4786e-06,1.5889e-05
"375.7106 / 10.92",5.2109,1.4742,5.4786e-06,1.5889e-05
"546.7561 / 19.24  M2H2",5.2096,1.6397,5.4786e-06,1.5889e-05
"459.2798 / 14.32",5.2083,1.4325,5.4786e-06,1.5889e-05
"441.1978 / 14.38  M-H-",5.2074,1.5067,5.4786e-06,1.5889e-05
"563.2436 / 14.23  MNa-2H-",5.2072,1.3688,5.4786e-06,1.5889e-05
"719.8390 / 14.56  M2H2",5.2053,1.5876,6.2613e-06,1.6721e-05
"472.2769 / 3.23",5.2036,1.5124,6.2613e-06,1.6721e-05
"638.3095 / 3.11  M2H2",5.2023,1.5522,6.2613e-06,1.6721e-05
"420.1434 / 9.63  M-H-",5.2021,1.7911,6.2613e-06,1.6721e-05
"374.0767 / 8.32",5.2019,1.0188,6.2613e-06,1.6721e-05
"756.7182 / 18.88  M3H3",5.2015,1.4981,6.2613e-06,1.6721e-05
"487.2530 / 12.09",5.2012,1.534,6.2613e-06,1.6721e-05
"897.4064 / 10.13  MNa-2H-",5.2004,1.5509,6.2613e-06,1.6721e-05
"498.2573 / 15.72",5.2004,1.3712,6.2613e-06,1.6721e-05
"448.9123 / 15.79",5.2001,1.223,6.2613e-06,1.6721e-05
"706.3786 / 11.48",5.1999,1.4643,6.2613e-06,1.6721e-05
"532.2749 / 11.47",5.1997,1.4971,6.2613e-06,1.6721e-05
"485.2595 / 11.75",5.1996,1.3509,6.2613e-06,1.6721e-05
"340.6739 / 2.40  M2",5.1995,1.4324,6.2613e-06,1.6721e-05
"447.9099 / 15.75",5.1978,1.4766,6.2613e-06,1.6721e-05
"458.2543 / 14.65",5.1978,1.5295,6.2613e-06,1.6721e-05
"316.1871 / 6.69",5.1977,1.6653,6.2613e-06,1.6721e-05
"357.2226 / 9.95",5.1976,1.4271,6.2613e-06,1.6721e-05
"512.2461 / 6.68",5.1972,1.7431,6.2613e-06,1.6721e-05
"746.3326 / 19.71  M3H3",5.1969,1.28,6.2613e-06,1.6721e-05
"356.1452 / 10.06",5.1966,1.5035,6.2613e-06,1.6721e-05
"416.1809 / 11.47  MNa-2H-",5.1964,1.2811,6.2613e-06,1.6721e-05
"590.3105 / 15.98",5.1955,1.4252,6.2613e-06,1.6721e-05
"506.2614 / 9.58",5.1952,1.6577,6.2613e-06,1.6721e-05
"362.1681 / 17.48  MNa-2H-",5.1948,1.4975,6.2613e-06,1.6721e-05
"492.2492 / 9.47  M",5.1939,1.5432,6.2613e-06,1.6721e-05
"294.1532 / 7.05",5.1928,1.358,6.2613e-06,1.6721e-05
"578.2629 / 18.54",5.1923,1.4054,6.2613e-06,1.6721e-05
"543.3157 / 13.59  M-H-",5.1922,1.6976,6.2613e-06,1.6721e-05
"558.2505 / 12.39  M2H2",5.1918,1.5839,6.2613e-06,1.6721e-05
"318.1674 / 2.28  MAcO-H-",5.1914,1.5519,6.2613e-06,1.6721e-05
"146.0462 / 1.47",5.1901,0.76855,6.2613e-06,1.6721e-05
"318.1819 / 13.01",5.1884,1.588,6.2613e-06,1.6721e-05
"128.9852 / 1.85",5.1879,0.23327,6.2613e-06,1.6721e-05
"360.1773 / 2.63",5.1877,1.5389,6.2613e-06,1.6721e-05
"505.1981 / 5.17  M2H2",5.1869,1.5492,6.2613e-06,1.6721e-05
"489.2786 / 13.98",5.1867,1.4908,6.2613e-06,1.6721e-05
"599.2580 / 2.34",5.1867,1.3999,6.2613e-06,1.6721e-05
"432.2194 / 3.48  M2H2",5.1858,1.4262,6.2613e-06,1.6721e-05
"661.3566 / 18.15",5.1858,1.6039,6.2613e-06,1.6721e-05
"345.2200 / 4.64",5.1855,1.5041,6.2613e-06,1.6721e-05
"344.2540 / 13.97",5.1855,1.5148,6.2613e-06,1.6721e-05
"500.7569 / 10.54",5.1853,1.455,6.2613e-06,1.6721e-05
"450.2171 / 10.13  MHNa2",5.1839,1.4955,6.2613e-06,1.6721e-05
"626.3866 / 19.27",5.1833,1.5215,6.2613e-06,1.6721e-05
"797.3646 / 16.09  MNa-2H-",5.1832,1.2688,6.2613e-06,1.6721e-05
"449.2245 / 4.62",5.1831,1.6853,6.2613e-06,1.6721e-05
"624.2609 / 7.31",5.1826,1.3833,6.2613e-06,1.6721e-05
"413.1840 / 15.46",5.1816,1.5355,6.2613e-06,1.6721e-05
"644.3276 / 19.75  M2H2",5.1815,1.5273,6.2613e-06,1.6721e-05
"679.3500 / 16.73",5.1805,1.5066,6.2613e-06,1.6721e-05
"622.8016 / 15.78",5.1793,1.5053,6.2613e-06,1.6721e-05
"636.2980 / 3.13  M-2H2-",5.1792,1.4392,6.2613e-06,1.6721e-05
"644.3325 / 17.05  M2H2",5.1772,1.4641,6.2613e-06,1.6721e-05
"520.3131 / 9.10",5.176,1.7277,6.2613e-06,1.6721e-05
"403.2193 / 8.09  M",5.176,1.6214,6.2613e-06,1.6721e-05
"575.8191 / 18.92  M2",5.1746,1.3141,6.2613e-06,1.6721e-05
"489.2570 / 13.82  M",5.1743,1.6049,6.2613e-06,1.6721e-05
