"","MeanDecreaseAccuracy"
"215.1287 / 15.61",0
"215.1044 / 4.32",0
"215.0536 / 2.48",0
"215.0341 / 1.45",0
"214.1455 / 20.70",0
"214.0722 / 4.69",0
"214.0187 / 4.76",0
"213.9994 / 6.87",0
"213.9655 / 12.94",0
"213.8888 / 1.80",0
"213.1862 / 23.30",0
"213.1504 / 21.34",0
"213.0738 / 8.33",0
"213.0403 / 9.59",0
"213.0235 / 19.13",0
"213.0224 / 19.88",0
"213.0043 / 6.95",0
"212.0030 / 8.62",0
"212.0030 / 6.90  M-H2O-H-",0
"211.1344 / 21.50  M-H2O-H-",0
"211.0953 / 20.80",0
"211.0839 / 8.23",0
"211.0613 / 9.62",0
"211.0597 / 5.80",0
"211.0585 / 5.18",0
"211.0006 / 2.57  MCl-",0
"210.9998 / 4.72",0
"210.8414 / 1.37  MFA-H-",0
"210.0541 / 18.65  MNa-2H-",0
"210.0396 / 4.48",0
"209.1557 / 21.38",0
"209.0795 / 19.75  MNa-2H-",0
"209.0575 / 6.73",0
"209.0436 / 7.83",0
"208.9292 / 28.77",0
"208.9222 / 0.14  M-",0
"208.9220 / 5.56",0
"208.9219 / 6.11",0
"208.9219 / 0.85  M-",0
"208.9217 / 31.62  M-",0
"208.9215 / 31.08",0
"208.9201 / 30.35",0
"208.8448 / 1.39  MFA-H-",0
"208.1424 / 21.63",0
"207.9684 / 6.13",0
"207.9682 / 31.97",0
"207.9682 / 30.61  MAcO-H-",0
"207.9681 / 7.21",0
"207.9681 / 11.86",0
"207.9681 / 10.83",0
"207.9679 / 8.94  MAcO-H-",0
"207.9679 / 12.38  MAcO-H-",0
"207.9678 / 9.73",0
"207.9678 / 8.10  MAcO-H-",0
"207.9675 / 31.43  MAcO-H-",0
"207.9673 / 13.88",0
"207.9671 / 0.76",0
"207.9670 / 5.54",0
"207.9668 / 3.70  MAcO-H-",0
"207.9666 / 4.87",0
"207.9146 / 0.97  M-H-",0
"207.9135 / 30.35",0
"207.9133 / 0.44  M-H-",0
"207.9132 / 31.93  M-H-",0
"207.9129 / 29.80",0
"207.1409 / 21.66  M-H-",0
"207.0521 / 1.62",0
"207.0138 / 15.16",0
"206.9974 / 4.92  M-H-",0
"206.0825 / 3.58",0
"205.1240 / 22.10  M-H-",0
"205.0637 / 1.79",0
"204.1152 / 20.70",0
"204.0860 / 4.25",0
"204.0683 / 11.45",0
"204.0667 / 12.89  M-H-",0
"204.0296 / 10.70",0
"203.1022 / 1.64  M-H-",0
"203.0839 / 4.94",0
"203.0832 / 14.04",0
"203.0822 / 4.30  M-H-",0
"203.0339 / 15.41",0
"203.0339 / 14.63",0
"203.0333 / 19.34",0
"203.0332 / 20.02",0
"203.0331 / 16.29",0
"203.0328 / 6.67  M-H-",0
"203.0328 / 18.24",0
"203.0327 / 20.64",0
"203.0327 / 18.79",0
"203.0327 / 13.18",0
"203.0325 / 17.31",0
"203.0320 / 12.56",0
"203.0313 / 22.73",0
"203.0310 / 21.36",0
"203.0306 / 23.86",0
"203.0304 / 26.90",0
"203.0291 / 25.92",0
"203.0208 / 1.43",0
"203.0026 / 9.14",0
"202.9867 / 1.04",0
"202.1079 / 13.14",0
"202.0286 / 1.10",0
"201.8021 / 1.54",0
"201.1239 / 2.32",0
"201.1139 / 13.07",0
"201.1135 / 14.87  M-H-",0
"201.1134 / 20.75  M-H-",0
"201.0884 / 1.54",0
"201.0271 / 26.46",0
"201.0271 / 22.91",0
"201.0269 / 25.58",0
"201.0269 / 24.92",0
"201.0268 / 13.70",0
"201.0267 / 8.64",0
"201.0267 / 14.42",0
"201.0266 / 31.67",0
"201.0266 / 21.35",0
"201.0266 / 17.25",0
"201.0265 / 29.21",0
"201.0265 / 23.61",0
"201.0265 / 13.10",0
"201.0265 / 12.46",0
"201.0264 / 19.56",0
"201.0264 / 17.94",0
"201.0264 / 16.28",0
"201.0263 / 4.47",0
"201.0263 / 11.33",0
"201.0263 / 10.40",0
"201.0262 / 8.09",0
"201.0262 / 7.16",0
"201.0262 / 27.15",0
"201.0262 / 20.60",0
"201.0262 / 14.97",0
"201.0261 / 28.49",0
"201.0261 / 1.12  M-H-",0
"201.0260 / 24.21",0
"201.0258 / 30.71",0
"201.0258 / 27.95",0
"201.0258 / 22.40",0
"201.0258 / 18.53",0
"201.0256 / 9.43",0
"201.0256 / 5.08",0
"201.0256 / 0.45",0
"201.0252 / 5.69",0
"201.0251 / 15.65",0
"201.0243 / 6.48",0
"201.0238 / 3.58",0
"200.9879 / 4.56",0
"200.9457 / 1.31",0
"200.9452 / 32.00",0
"200.9442 / 0.35",0
"200.0555 / 2.57  M-H2O-H-",0
"199.8057 / 28.95",0
"199.8056 / 1.55",0
"199.8044 / 2.05",0
"199.1707 / 23.04",0
"199.1348 / 21.47",0
"199.1095 / 5.23  M-H-",0
"199.0980 / 20.01  M-H-",0
"199.0727 / 2.69",0
"199.0604 / 3.26",0
"199.0568 / 3.88",0
"198.0239 / 19.51",0
"197.8089 / 28.95",0
"197.8086 / 2.32",0
"197.8084 / 1.58",0
"197.1545 / 22.69  M-H-",0
"197.1297 / 11.75",0
"197.1297 / 11.24",0
"197.0969 / 21.55",0
"197.0683 / 3.80",0
"197.0680 / 4.98",0
"197.0678 / 2.26",0
"197.0314 / 2.76",0
"196.9083 / 3.30",0
"196.0728 / 1.58",0
"196.0441 / 12.63",0
"196.0280 / 1.82",0
"195.8120 / 28.95",0
"195.8117 / 1.52",0
"195.8106 / 2.05",0
"195.1400 / 21.60  M-H-",0
"195.1141 / 3.74",0
"195.1026 / 21.38",0
"195.0640 / 16.50  MNa-2H-",0
"195.0535 / 11.51",0
"195.0527 / 9.33",0
"195.0523 / 1.50  MAcO-H-",0
"194.9866 / 1.50",0
"194.9557 / 28.93",0
"194.0824 / 4.82",0
"194.0464 / 6.54",0
"194.0162 / 20.80",0
"193.0912 / 22.52",0
"193.0851 / 21.15",0
"193.0508 / 20.62",0
"193.0506 / 18.59",0
"193.0498 / 13.72",0
"192.9899 / 1.47",0
"192.9592 / 28.67",0
"192.0230 / 2.12",0
"191.1082 / 21.82",0
"191.1078 / 20.52",0
"191.0205 / 2.09  MFA-H-",0
"190.0547 / 6.94",0
"190.0526 / 4.46",0
"190.0522 / 3.04  MFA-H-",0
"189.9788 / 19.51",0
"189.9759 / 18.81",0
"189.9759 / 15.46",0
"189.9598 / 17.31",0
"189.9594 / 18.20",0
"189.9592 / 14.62  M-H-",0
"189.9590 / 18.71",0
"189.9588 / 9.06  M-H-",0
"189.9587 / 10.54  M-H-",0
"189.9585 / 7.70  M-H-",0
"189.9584 / 30.28",0
"189.9583 / 29.54",0
"189.9583 / 15.85  M-H-",0
"189.9582 / 31.87  M-H-",0
"189.9582 / 31.37  M-H-",0
"189.9580 / 3.65  M-H-",0
"189.9579 / 16.79",0
"189.9579 / 1.04  M-H-",0
"189.9577 / 4.89  M-H-",0
"189.9575 / 28.52",0
"189.9574 / 7.14  M-H-",0
"189.9574 / 13.36",0
"189.9573 / 12.12  M-H-",0
"189.9572 / 3.09  M-H-",0
"189.9571 / 11.26  M-H-",0
"189.9568 / 0.03  M-H-",0
"189.9567 / 6.30  M-H-",0
"189.9563 / 20.94",0
"189.1135 / 16.50",0
"189.0904 / 20.83",0
"189.0780 / 10.20",0
"189.0774 / 11.25",0
"189.0409 / 2.18",0
"189.0032 / 10.75",0
"188.9870 / 4.66  M-H2O-H-",0
"188.9868 / 3.33",0
"188.1002 / 19.77",0
"188.0920 / 8.58",0
"188.0720 / 18.65  M-H-",0
"188.0561 / 2.54",0
"188.0022 / 2.77",0
"187.1084 / 1.70",0
"187.1082 / 2.29",0
"187.0977 / 19.73  M-H-",0
"187.0600 / 8.02",0
"187.0089 / 1.06",0
"186.8839 / 28.85",0
"186.1591 / 22.78",0
"186.1140 / 16.62",0
"186.0568 / 7.95",0
"185.1658 / 3.40",0
"185.1558 / 22.77",0
"185.1188 / 21.27",0
"185.1188 / 20.46  M-H-",0
"185.0924 / 1.59  M-H2O-H-",0
"185.0430 / 2.48",0
"184.8865 / 28.95",0
"183.1372 / 22.42",0
"183.1140 / 6.85  M-H-",0
"183.1033 / 20.75  M-H2O-H-",0
"183.0302 / 9.36",0
"183.0161 / 2.79  M-H-",0
"182.0522 / 6.67",0
"182.0289 / 12.79",0
"182.0286 / 5.43",0
"181.9924 / 8.26",0
"181.9651 / 1.43",0
"181.8984 / 2.68",0
"181.8981 / 4.51",0
"181.8973 / 6.16",0
"181.8971 / 3.62",0
"181.0715 / 1.43  M-H-",0
"181.0491 / 11.51  MAcO-H-",0
"181.0487 / 6.67",0
"180.0681 / 7.79",0
"180.0674 / 8.37",0
"180.0673 / 9.56",0
"180.0664 / 2.09  M-H-",0
"180.0615 / 14.08",0
"180.0536 / 8.05",0
"180.0341 / 4.83",0
"180.0127 / 12.82",0
"179.0719 / 17.29",0
"179.0708 / 21.59",0
"179.0661 / 3.19",0
"179.0576 / 14.11  M-H-",0
"179.0576 / 13.38  M-H-",0
"179.0210 / 6.48",0
"178.0632 / 3.16  M-H-",0
"178.0517 / 9.02",0
"178.0170 / 2.57",0
"177.1293 / 20.46",0
"177.0555 / 20.39",0
"176.9725 / 1.04  M-H-",0
"176.0280 / 1.80",0
"176.0273 / 14.68",0
"175.0254 / 1.63",0
"175.0249 / 5.65",0
"175.0246 / 2.32  M-H-",0
"174.9938 / 14.74",0
"174.9937 / 15.57",0
"174.9935 / 7.27",0
"174.9933 / 16.74",0
"174.9931 / 6.07",0
"174.9930 / 29.93",0
"174.9929 / 31.04",0
"174.9929 / 29.20",0
"174.9928 / 9.51",0
"174.9928 / 3.66",0
"174.9928 / 10.10",0
"174.9928 / 0.08",0
"174.9927 / 11.79",0
"174.9926 / 4.85",0
"174.9926 / 10.96",0
"174.9923 / 12.55",0
"174.9920 / 19.12",0
"174.9919 / 19.63",0
"174.9919 / 18.31",0
"174.9919 / 17.81",0
"174.9917 / 20.33",0
"174.9915 / 13.63",0
"174.9914 / 5.53",0
"174.0883 / 1.47",0
"174.0782 / 3.84  M-H-",0
"174.0577 / 4.46",0
"174.0573 / 11.45",0
"174.0401 / 2.19  MFA-H-",0
"173.1184 / 20.17",0
"173.0927 / 1.73",0
"173.0821 / 16.50  M-H-",0
"173.0817 / 15.13",0
"173.0137 / 1.04",0
"173.0134 / 26.13",0
"173.0133 / 25.55",0
"173.0132 / 27.95",0
"173.0104 / 2.11",0
"172.9920 / 5.40  M-H-",0
"171.1394 / 22.44",0
"171.1032 / 19.18",0
"171.1029 / 19.95  MFA-H-",0
"171.1021 / 18.13",0
"171.0127 / 6.69",0
"170.0446 / 2.54",0
"169.1232 / 22.00",0
"168.9142 / 28.92",0
"167.9851 / 19.10  M-H-",0
"167.1442 / 21.50  M-H-",0
"167.0340 / 6.41  MNa-2H-",0
"167.0212 / 2.80  M-H-",0
"166.0184 / 1.86",0
"165.9792 / 19.16",0
"165.9119 / 28.88",0
"165.0921 / 21.37",0
"165.0742 / 2.77",0
"165.0560 / 10.64  M-H-",0
"165.0553 / 20.29",0
"165.0437 / 9.62",0
"165.0424 / 8.67",0
"165.0420 / 1.52  MFA-H-",0
"165.0404 / 15.70",0
"165.0061 / 2.76  M-H2O-H-",0
"164.8370 / 28.95",0
"164.8365 / 1.52  M-H-",0
"164.8355 / 2.05",0
"164.0732 / 11.06",0
"164.0711 / 2.79  M-H-",0
"164.0567 / 4.73",0
"164.0338 / 13.38",0
"164.0337 / 14.11",0
"163.0758 / 20.46",0
"163.0613 / 17.42",0
"163.0407 / 6.67",0
"162.8395 / 28.95",0
"162.8395 / 1.55  M-H-",0
"162.8385 / 2.05",0
"162.0679 / 11.37",0
"162.0555 / 11.08",0
"161.1333 / 22.10  M-H-",0
"160.9977 / 2.46",0
"160.8428 / 28.95",0
"160.8425 / 1.55",0
"160.8415 / 2.05",0
"159.8589 / 1.85",0
"159.1183 / 22.10",0
"159.1026 / 19.26",0
"159.1025 / 20.11",0
"159.1014 / 14.65",0
"159.0666 / 11.51  M-H-",0
"158.8461 / 1.82",0
"158.1272 / 22.07",0
"158.1191 / 6.36",0
"158.0832 / 9.93",0
"158.0603 / 12.89",0
"158.0029 / 3.78",0
"157.8630 / 1.78",0
"157.8626 / 2.41",0
"157.1249 / 22.05  M-H-",0
"157.0784 / 2.30",0
"157.0361 / 1.07",0
"156.9970 / 3.55",0
"156.0133 / 16.02",0
"155.0828 / 2.69",0
"155.0276 / 21.02",0
"153.0313 / 1.90",0
"153.0168 / 3.47",0
"152.0282 / 4.13",0
"151.0768 / 18.29",0
"151.0592 / 7.30",0
"151.0512 / 5.81",0
"151.0405 / 11.61",0
"151.0400 / 18.37",0
"151.0396 / 16.33",0
"151.0261 / 5.33",0
"151.0257 / 4.14  M-H-",0
"151.0077 / 1.62",0
"151.0034 / 17.80",0
"150.0569 / 7.40",0
"150.0565 / 5.55",0
"150.0555 / 13.43",0
"150.0415 / 3.17",0
"150.0408 / 4.29",0
"150.0024 / 17.76  M-H-",0
"150.0017 / 19.55",0
"149.0612 / 18.93",0
"149.0471 / 6.76",0
"149.0464 / 1.59",0
"147.9469 / 30.57  M-H-",0
"147.9466 / 5.01",0
"147.9466 / 29.53",0
"147.9465 / 8.44  M-H-",0
"147.9465 / 31.63  M-H-",0
"147.9465 / 13.25",0
"147.9465 / 10.36",0
"147.9464 / 5.79",0
"147.9464 / 30.07",0
"147.9464 / 12.74",0
"147.9464 / 11.47",0
"147.9463 / 3.35  M-H-",0
"147.9462 / 9.16  M-H-",0
"147.9461 / 12.11  M-H-",0
"147.9457 / 6.55",0
"147.9454 / 0.47",0
"147.9451 / 7.68",0
"147.0657 / 2.81",0
"147.0450 / 10.64  M-H2O-H-",0
"147.0449 / 2.79",0
"147.0293 / 2.07  M-H-",0
"146.0826 / 4.79",0
"146.0617 / 3.04",0
"146.0604 / 14.46",0
"146.0462 / 1.47",0
"145.0976 / 1.12",0
"145.0627 / 10.58",0
"145.0625 / 11.87",0
"145.0623 / 1.43",0
"145.0520 / 6.41  M-H-",0
"145.0149 / 1.95  M-H-",0
"144.0671 / 3.61",0
"144.0658 / 2.54",0
"144.0460 / 3.07  M-H-",0
"144.0459 / 12.77",0
"144.0453 / 16.85",0
"143.8651 / 28.92",0
"143.1084 / 21.53",0
"142.9985 / 1.61",0
"142.0670 / 4.22",0
"142.0061 / 8.43",0
"141.8681 / 28.92",0
"141.0182 / 25.93  M-H-",0
"141.0182 / 20.21  M-H-",0
"141.0180 / 29.14",0
"141.0178 / 1.33  MNa-2H-",0
"141.0177 / 26.76  M-H-",0
"141.0177 / 10.16",0
"141.0176 / 4.65",0
"141.0175 / 8.59",0
"141.0175 / 19.69  M-H-",0
"141.0175 / 0.80",0
"141.0174 / 0.04",0
"141.0173 / 6.14",0
"141.0172 / 22.00  M-H-",0
"141.0171 / 15.96  M-H-",0
"141.0170 / 14.22  M-H-",0
"141.0168 / 31.73  M-H-",0
"141.0168 / 11.59",0
"141.0167 / 6.87  M-H-",0
"141.0166 / 7.64",0
"141.0165 / 17.35  M-H-",0
"141.0164 / 3.50",0
"141.0163 / 18.54",0
"141.0160 / 12.63",0
"139.1127 / 20.75",0
"138.0572 / 10.73",0
"137.0356 / 5.59",0
"137.0245 / 10.05",0
"136.8911 / 1.69",0
"136.0521 / 3.16",0
"136.0398 / 2.72",0
"136.0333 / 3.83",0
"136.0167 / 15.05",0
"135.8939 / 1.66",0
"135.0458 / 19.56",0
"135.0454 / 6.64",0
"135.0308 / 3.86",0
"134.8942 / 1.63",0
"134.8647 / 28.95",0
"134.0626 / 19.93",0
"134.0616 / 9.02",0
"133.0663 / 20.46  M-H-",0
"133.0649 / 19.85",0
"133.0510 / 2.54",0
"133.0154 / 3.20",0
"132.9237 / 14.09  M-",0
"132.9232 / 11.15  M-",0
"132.9224 / 17.76",0
"132.9218 / 13.43",0
"132.0737 / 8.30",0
"131.9165 / 4.66",0
"131.9160 / 15.62",0
"131.9158 / 9.48",0
"131.9158 / 10.28",0
"131.9157 / 7.41",0
"131.9157 / 30.06",0
"131.9157 / 14.70",0
"131.9157 / 13.01",0
"131.9157 / 11.61",0
"131.9150 / 31.78",0
"131.9150 / 31.15",0
"131.9149 / 8.88",0
"131.9149 / 6.40",0
"131.9149 / 5.81",0
"131.9149 / 3.69",0
"131.9149 / 0.86",0
"131.9148 / 10.96  M-H-",0
"131.9148 / 0.36",0
"131.9147 / 7.96",0
"131.9146 / 2.39",0
"131.0709 / 8.31  M-H-",0
"130.0874 / 1.90",0
"130.0667 / 14.83",0
"130.0501 / 2.55",0
"129.0552 / 5.18",0
"129.0184 / 2.13  M-H2O-H-",0
"128.0349 / 2.15  M-H-",0
"126.9037 / 1.67",0
"126.0016 / 9.92",0
"125.0971 / 19.77  M-H-",0
"124.9925 / 1.90",0
"124.0153 / 2.84",0
"124.0067 / 1.45",0
"122.8933 / 1.78",0
"122.0357 / 13.38",0
"121.0298 / 17.08",0
"121.0297 / 15.49",0
"121.0297 / 13.82",0
"121.0296 / 19.97",0
"121.0296 / 18.79",0
"121.0296 / 17.63",0
"121.0296 / 14.63",0
"121.0295 / 19.37",0
"121.0294 / 13.30",0
"121.0288 / 11.70  M-H-",0
"119.9151 / 2.41",0
"119.9147 / 29.84",0
"119.0496 / 10.64",0
"119.0357 / 1.65  M-H-",0
"117.9290 / 10.89",0
"117.9286 / 8.92",0
"117.9285 / 0.19",0
"117.9284 / 5.92",0
"117.9282 / 29.64",0
"117.9277 / 31.82",0
"117.9277 / 31.29",0
"117.9277 / 3.43",0
"117.9277 / 13.06",0
"117.9276 / 9.51",0
"117.9276 / 8.10",0
"117.9276 / 30.68",0
"117.9276 / 10.06",0
"117.9276 / 0.87",0
"117.9275 / 7.13",0
"117.9275 / 5.10",0
"117.9274 / 13.58",0
"117.9271 / 14.82",0
"117.9269 / 2.74",0
"117.0563 / 3.23  M-H-",0
"117.0553 / 3.98  M-H-",0
"117.0198 / 2.33",0
"116.9300 / 8.79",0
"116.9296 / 9.57",0
"116.9295 / 7.49",0
"116.9295 / 6.28",0
"116.9294 / 6.91",0
"116.9291 / 12.11  M-",0
"116.9287 / 5.68",0
"116.9287 / 0.02",0
"116.9285 / 20.32  M-",0
"116.9285 / 2.65  M-",0
"116.9284 / 14.09  M-",0
"116.9283 / 19.02  M-",0
"116.9282 / 31.98  M-",0
"116.9282 / 11.33",0
"116.9281 / 21.09  M-",0
"116.9281 / 12.99",0
"116.9280 / 0.64",0
"116.9279 / 18.25",0
"116.9279 / 15.64",0
"116.9278 / 16.63",0
"116.9277 / 17.54",0
"116.9274 / 14.95",0
"116.9271 / 1.78",0
"116.0496 / 4.30",0
"115.9211 / 28.55",0
"115.9210 / 13.65  M-H-",0
"115.9210 / 12.91",0
"115.9210 / 12.06  M-H-",0
"115.9210 / 11.17",0
"115.9208 / 23.67",0
"115.9208 / 17.62",0
"115.9208 / 16.57",0
"115.9208 / 15.85",0
"115.9207 / 20.63",0
"115.9206 / 21.27  M-H-",0
"115.9205 / 23.02",0
"115.9204 / 2.72  M-H-",0
"115.9204 / 14.38",0
"115.9203 / 24.58",0
"115.9202 / 9.96",0
"115.9202 / 9.33",0
"115.9201 / 8.09",0
"115.9201 / 18.82  M-H-",0
"115.9199 / 30.51",0
"115.9199 / 22.08",0
"115.9198 / 7.17",0
"115.9197 / 8.77",0
"115.9196 / 3.49",0
"115.9196 / 0.54",0
"115.9195 / 6.01",0
"115.0033 / 1.64",0
"114.9336 / 5.23",0
"112.9856 / 29.30  M-H-",0
"111.9468 / 2.03",0
"111.9467 / 28.97",0
"111.0092 / 2.09",0
"110.9760 / 28.99",0
"109.0299 / 4.66",0
"108.0198 / 4.08",0
"107.0508 / 10.70",0
"107.0380 / 7.27",0
"106.0430 / 8.86",0
"105.0199 / 1.58",0
"103.9205 / 3.86",0
"103.9203 / 30.88",0
"103.9203 / 10.38",0
"103.9202 / 29.83",0
"103.9201 / 9.78",0
"103.9201 / 7.86",0
"103.9201 / 31.99",0
"103.9201 / 3.36",0
"103.9201 / 2.39",0
"103.9200 / 11.78",0
"103.9200 / 11.06",0
"103.9199 / 6.33",0
"103.9199 / 14.68",0
"103.9199 / 12.45",0
"103.9194 / 15.39",0
"103.9190 / 0.57",0
"103.9189 / 7.25",0
"103.9187 / 5.07",0
"103.9185 / 16.17",0
"103.0405 / 2.44  M-H-",0
"101.0614 / 6.38",0
"100.9263 / 7.35",0
"100.9261 / 5.42",0
"100.9257 / 5.94",0
"100.9255 / 8.83",0
"100.9251 / 31.25",0
"100.9251 / 10.99",0
"100.9249 / 10.17",0
"100.9248 / 12.12",0
"100.9248 / 0.80",0
"100.9240 / 9.59",0
"996.5546 / 17.87",0
"994.7183 / 26.13",0
"992.6995 / 25.68",0
"99.0805 / 5.97",0
"99.0803 / 6.50",0
"99.0783 / 1.83",0
"99.0782 / 3.89",0
"99.0782 / 2.52",0
"99.0782 / 0.75",0
"99.0781 / 5.16",0
"99.0781 / 31.65",0
"985.0272 / 1.21",0
"98.9757 / 28.09",0
"98.9756 / 8.48",0
"98.9756 / 13.79",0
"98.9756 / 1.04",0
"98.9755 / 3.87",0
"98.9755 / 17.52",0
"98.9751 / 2.07",0
"978.5723 / 22.23  M2H2",0
"97.0284 / 1.84",0
"965.5584 / 21.11  MH",0
"964.4604 / 19.40",0
"96.0077 / 2.53",0
"957.0309 / 19.66",0
"956.5588 / 22.20  M2H2",0
"95.0495 / 2.16",0
"95.0129 / 1.65",0
"947.5976 / 23.54",0
"942.4446 / 18.49",0
"940.9905 / 1.33  MNa",0
"94.0652 / 3.04",0
"934.5457 / 22.16  M2Na2",0
"932.0671 / 22.16",0
"931.5305 / 20.18",0
"93.0697 / 31.98",0
"93.0697 / 3.94",0
"93.0697 / 1.86",0
"93.0694 / 5.59",0
"93.0694 / 0.91",0
"93.0693 / 2.72",0
"93.0691 / 4.71",0
"93.0689 / 31.26",0
"93.0677 / 7.06",0
"926.4223 / 18.11",0
"926.0273 / 1.24  MH",0
"926.0009 / 1.26",0
"925.5166 / 17.84",0
"925.4141 / 16.59  2MH",0
"924.9988 / 1.29",0
"923.4736 / 21.20",0
"923.2705 / 21.23",0
"921.5335 / 21.01",0
"921.4547 / 19.44",0
"919.0094 / 27.12",0
"919.0051 / 1.27  MH",0
"918.4776 / 17.82",0
"916.3691 / 17.18",0
"912.5322 / 22.10  M2Na2",0
"910.5539 / 22.10",0
"910.0515 / 22.10",0
"91.0543 / 8.73",0
"91.0543 / 2.73",0
"91.0542 / 10.53",0
"91.0541 / 6.15",0
"91.0541 / 0.91",0
"91.0540 / 31.87",0
"91.0535 / 5.59",0
"91.0534 / 7.80",0
"91.0531 / 4.92",0
"91.0522 / 6.75",0
"91.0522 / 4.12",0
"91.0518 / 11.54",0
"909.9769 / 18.52",0
"909.4773 / 18.52",0
"903.5728 / 23.54",0
"903.4404 / 17.40",0
"903.0290 / 1.30",0
"902.9532 / 1.30",0
"90.9481 / 31.75",0
"90.9480 / 5.32",0
"90.9480 / 4.42",0
"90.9480 / 11.00",0
"90.9479 / 3.81",0
"90.9479 / 2.66",0
"90.9479 / 0.80",0
"90.9478 / 2.02",0
"90.9478 / 15.38",0
"90.9477 / 8.79",0
"90.9477 / 16.19",0
"90.9476 / 6.24",0
"896.4568 / 19.85  MNa",0
"896.4389 / 20.53",0
"896.4029 / 15.05  MNa",0
"895.4071 / 21.08  MNa",0
"894.4266 / 17.53",0
"890.5200 / 22.07  M2H2",0
"89.9619 / 31.42",0
"89.9607 / 0.24",0
"89.9604 / 5.59",0
"89.9603 / 5.03",0
"89.9602 / 7.14",0
"89.9602 / 3.31",0
"89.9601 / 8.58",0
"89.0411 / 2.34",0
"888.5409 / 22.07",0
"888.0361 / 22.07",0
"887.7566 / 19.73",0
"885.5225 / 17.19",0
"884.6091 / 24.72",0
"882.5043 / 15.01",0
"882.3464 / 11.71",0
"881.9050 / 18.66",0
"880.9018 / 20.12  M2H2",0
"88.9326 / 7.69",0
"88.9323 / 9.39",0
"88.9318 / 8.86",0
"878.3904 / 15.18",0
"877.5047 / 20.92  MH",0
"877.4415 / 10.13  MH",0
"874.4739 / 19.85  MH",0
"874.4211 / 15.05  MH",0
"873.4288 / 21.08  MH",0
"873.4176 / 21.10",0
"872.8851 / 18.82",0
"872.3864 / 18.76",0
"87.0995 / 1.93",0
"869.4708 / 9.00",0
"869.4188 / 18.14  M2H2",0
"868.5052 / 22.04  M2Na2",0
"868.3903 / 19.31  M2H2",0
"868.3496 / 12.26  MNa",0
"866.5250 / 22.04",0
"866.4260 / 18.21  M3H3",0
"866.0229 / 22.04",0
"862.4267 / 10.34",0
"861.3925 / 18.36",0
"861.1418 / 18.39",0
"860.4457 / 9.41",0
"860.4232 / 19.79",0
"86.0966 / 1.91",0
"86.0965 / 8.05",0
"86.0965 / 5.68",0
"86.0963 / 6.81",0
"86.0963 / 1.07",0
"86.0599 / 3.60",0
"859.5463 / 23.51",0
"858.9899 / 1.33",0
"858.4488 / 12.85",0
"858.3975 / 14.59",0
"857.9493 / 12.85",0
"851.3962 / 21.87  2MNa",0
"851.3761 / 21.90",0
"85.0631 / 6.04",0
"85.0628 / 5.35",0
"85.0628 / 4.08",0
"85.0628 / 0.30",0
"85.0273 / 1.59",0
"847.4293 / 9.60",0
"846.4939 / 22.01  M2Na2",0
"846.3700 / 12.23  MH",0
"845.3928 / 21.52  MNa",0
"844.5125 / 22.01",0
"844.0196 / 1.24",0
"844.0120 / 22.01",0
"843.3838 / 18.46",0
"843.1252 / 18.53  M4H4",0
"843.0214 / 26.75",0
"843.0214 / 24.48",0
"843.0210 / 24.99",0
"843.0204 / 25.90",0
"843.0187 / 27.49",0
"843.0170 / 1.33",0
"842.9987 / 27.54",0
"842.9983 / 26.96",0
"842.9981 / 25.65",0
"842.9975 / 1.29  2MNa",0
"842.9974 / 24.44",0
"841.4182 / 18.20",0
"841.3779 / 19.31",0
"84.9957 / 1.07",0
"84.0806 / 3.61",0
"84.0805 / 1.87",0
"84.0446 / 2.29",0
"84.0443 / 10.59",0
"84.0443 / 1.44  MH",0
"838.4427 / 19.76  MNa",0
"837.0048 / 25.10",0
"837.0039 / 25.70",0
"837.0036 / 27.67",0
"837.0034 / 24.52",0
"837.0023 / 1.29",0
"837.0020 / 26.50",0
"836.9820 / 27.58",0
"836.9814 / 26.07",0
"836.9813 / 25.43",0
"836.4263 / 11.06",0
"835.3199 / 14.40  2MH",0
"834.4357 / 3.50",0
"833.4782 / 20.82",0
"833.4296 / 19.17",0
"832.9290 / 19.17",0
"831.8670 / 18.18",0
"830.9796 / 1.22",0
"830.4335 / 19.97",0
"83.9992 / 1.08",0
"829.0053 / 1.27",0
"828.9379 / 11.33",0
"828.4375 / 11.33  2MNH4",0
"828.3429 / 4.25",0
"825.3747 / 12.81  2MH",0
"824.4802 / 21.97  M2Na2",0
"823.4103 / 21.52  MH",0
"821.9973 / 21.97  M2H2",0
"821.3928 / 20.31  M3H3",0
"821.0254 / 1.30",0
"821.0033 / 1.17",0
"820.9444 / 1.29",0
"82.9981 / 1.07  MH",0
"82.9980 / 4.71",0
"82.9980 / 12.98",0
"82.9979 / 7.21",0
"82.9979 / 5.52",0
"82.9979 / 31.27",0
"82.9979 / 3.91",0
"82.9979 / 10.37",0
"82.9978 / 8.10",0
"82.9978 / 29.04",0
"82.9978 / 2.68",0
"82.9978 / 18.59",0
"82.9978 / 17.15",0
"82.9978 / 15.93",0
"82.9978 / 14.29",0
"82.9977 / 6.30",0
"82.9977 / 3.25",0
"82.9977 / 22.63",0
"82.9977 / 14.85",0
"82.9976 / 9.58",0
"82.9975 / 11.24",0
"82.9974 / 21.69",0
"82.9973 / 24.26",0
"82.9972 / 28.12",0
