"","MeanDecreaseAccuracy"
"618.2828 / 19.90  M-H-",0.00044444
"435.1982 / 21.09  M-2H2-",0.00044444
"415.2201 / 8.51",0.00044444
"370.1610 / 13.67  M-H-",0.00044444
"369.2131 / 8.11  M-H2O-H-",0.00044444
"365.1451 / 3.23",0.00044444
"344.0387 / 4.91  M-H2O-H-",0.00044444
"203.0014 / 7.59",0.00044444
"178.9499 / 1.05",0.00044444
"125.0356 / 5.20",0.00044444
"666.9787 / 24.92",0.00044444
"627.3718 / 16.27",0.00044444
"605.3310 / 11.29  M2H2",0.00044444
"547.3103 / 13.42  MHNa2",0.00044444
"520.2776 / 13.49",0.00044444
"461.2230 / 6.05",0.00044444
"444.7153 / 8.63",0.00044444
"401.2567 / 23.44",0.00044444
"391.2177 / 3.00",0.00044444
"373.2440 / 7.89  MCH3OHH",0.00044444
"305.1822 / 3.56",0.00044444
"305.0833 / 1.84",0.00044444
"293.0752 / 4.10",0.00044444
"276.1449 / 2.13  MCH3OHH",0.00044444
"256.1774 / 8.50  MH",0.00044444
"548.2729 / 13.82",0.00042857
"364.1508 / 4.24",0.00042857
"696.3037 / 12.75",0.00042857
"616.2969 / 19.85",0.00042857
"594.2884 / 12.11",0.00042857
"499.2240 / 13.97  M3H3",0.00042857
"239.0899 / 16.46",0.00042857
"162.0661 / 3.16",0.00042857
"491.3369 / 8.08  2MNa",0.00041667
"920.6281 / 24.73  MAcO-H-",4e-04
"702.3788 / 1.94",4e-04
"693.8691 / 20.58  M-2H2-",4e-04
"693.0416 / 1.20",4e-04
"607.3092 / 15.93  M-H-",4e-04
"581.7897 / 18.88",4e-04
"464.1849 / 22.08",4e-04
"449.0399 / 16.11",4e-04
"441.1978 / 14.38  M-H-",4e-04
"426.1305 / 16.25  MNa-2H-",4e-04
"425.0417 / 1.12  2MNa-2H-",4e-04
"397.2304 / 7.77",4e-04
"364.1868 / 9.03",4e-04
"338.1481 / 12.10  MNa-2H-",4e-04
"287.0570 / 13.49",4e-04
"283.0682 / 5.30",4e-04
"279.1341 / 3.30",4e-04
"277.1819 / 22.26  M-H-",4e-04
"268.0757 / 4.47",4e-04
"251.1033 / 2.89",4e-04
"245.9472 / 2.45",4e-04
"219.0276 / 10.08",4e-04
"215.1395 / 2.16",4e-04
"157.1341 / 2.32",4e-04
"98.9757 / 2.69",4e-04
"726.3471 / 18.94  M2H2",4e-04
"705.2072 / 23.93",4e-04
"687.4410 / 25.54",4e-04
"675.1069 / 18.60",4e-04
"667.3409 / 17.21  MH",4e-04
"661.2680 / 15.12",4e-04
"657.3698 / 20.24",4e-04
"655.2927 / 9.62",4e-04
"641.3631 / 13.81",4e-04
"641.3616 / 20.88",4e-04
"589.3198 / 16.01  M2H2",4e-04
"538.2980 / 4.54",4e-04
"441.2984 / 24.47",4e-04
"437.2102 / 21.07",4e-04
"416.2594 / 1.80",4e-04
"416.2495 / 7.59  MNH4",4e-04
"415.7064 / 13.68",4e-04
"396.2102 / 9.49",4e-04
"374.2299 / 11.81  MH",4e-04
"332.2191 / 7.10  MH",4e-04
"232.0971 / 3.60",4e-04
"103.0547 / 2.80  MH",4e-04
"708.2783 / 20.55  MNa-2H-",0.00036364
"695.2939 / 19.01  MBr-",0.00036364
"583.3586 / 9.96",0.00036364
"458.2259 / 4.06",0.00036364
"378.2357 / 21.95",0.00036364
"361.0900 / 1.60",0.00036364
"345.1031 / 11.72  MNa-2H-",0.00036364
"321.2079 / 22.32",0.00036364
"314.1142 / 15.17",0.00036364
"301.0265 / 1.10",0.00036364
"267.9368 / 8.76",0.00036364
"237.9945 / 1.05",0.00036364
"187.1338 / 21.43",0.00036364
"131.0823 / 1.47  M-H-",0.00036364
"116.9287 / 5.05",0.00036364
"100.9260 / 30.31",0.00036364
"762.0241 / 1.21  MH",0.00036364
"721.3396 / 17.34  MH",0.00036364
