"","Overall"
"169.0471 / 6.41",16.297
"91.0534 / 7.80",16.297
"201.1235 / 9.44  MH",16.296
"387.2587 / 12.33",16.292
"523.7987 / 19.36",16.291
"410.7220 / 18.65",16.289
"612.2858 / 19.86",16.288
"439.7442 / 16.75  M2H2",16.286
"630.3131 / 15.43  MH",16.286
"529.2287 / 12.64",16.285
"470.3315 / 13.95",16.283
"536.3039 / 19.17  MNa-2H-",16.282
"508.2512 / 2.70  M-H-",16.282
"548.2018 / 11.28",16.282
"454.2662 / 15.89",16.279
"416.1809 / 11.47  MNa-2H-",16.279
"298.0832 / 29.34",16.277
"295.1469 / 7.95  MH",16.276
"471.7555 / 10.64  M2H2",16.274
"299.0073 / 19.42",16.274
"594.2884 / 12.11",16.273
"591.2329 / 13.56",16.271
"525.3019 / 14.51",16.271
"269.0740 / 1.80  MNa",16.269
"463.1705 / 22.26  M-H-",16.268
"621.3342 / 9.69  MNa-2H-",16.266
"147.0449 / 2.79",16.266
"704.3823 / 17.01",16.265
"696.3575 / 14.71  M-H-",16.265
"593.3018 / 16.02",16.262
"283.0459 / 11.23",16.262
"415.2840 / 23.21",16.26
"583.2726 / 8.12",16.259
"401.2042 / 15.08",16.252
"382.1938 / 10.30",16.25
"104.9900 / 22.86",16.25
"642.2791 / 20.60  MNa",16.242
"149.0242 / 11.81",16.239
"442.1711 / 11.22  M-H-",16.239
"816.4812 / 9.41",16.237
"505.1981 / 5.17  M2H2",16.237
"374.2402 / 2.12  MNH4",16.234
"524.2107 / 14.52",16.229
"554.0080 / 21.97",16.229
"803.3707 / 15.46",16.228
"762.3242 / 15.48",16.228
"772.3242 / 14.50  M-H-",16.228
"197.1293 / 12.26  MH",16.227
"217.0317 / 1.45",16.226
"425.7200 / 11.64  MHNH42",16.226
"329.1504 / 9.50",16.223
"554.2629 / 3.59",16.214
"729.3380 / 17.35  MNH4",16.213
"344.9850 / 12.58",16.212
"629.2678 / 7.43",16.21
"848.4313 / 9.57  M-2H2-",16.207
"638.3522 / 19.66",16.198
"594.7678 / 20.02  M2H2",16.198
"469.2312 / 17.04",16.197
"487.2953 / 1.85",16.197
"662.3581 / 18.15",16.196
"692.3726 / 8.09  MH",16.196
"703.6616 / 15.85  M3Na3",16.195
"153.1274 / 0.26  MCH3OHH",16.192
"318.1674 / 2.28  MAcO-H-",16.192
"632.3041 / 12.34",16.191
"218.0070 / 19.77",16.19
"116.9281 / 12.99",16.189
"475.5946 / 10.39  M3H3",16.187
"364.9507 / 1.31",16.186
"777.3632 / 18.79",16.186
"308.9935 / 9.04  MFA-H-",16.184
"478.2470 / 11.84  M2H2",16.183
"180.9848 / 7.56",16.183
"507.2220 / 6.79",16.182
"449.2395 / 12.65  MH",16.18
"875.4244 / 10.13  M-H-",16.179
"799.9833 / 21.91  M2H2",16.179
"329.1509 / 8.82",16.175
"543.3012 / 18.30",16.172
"612.0467 / 1.15",16.17
"178.9862 / 1.04",16.168
"823.3442 / 15.49  MNa-2H-",16.167
"456.2799 / 18.33",16.163
"369.2131 / 8.11  M-H2O-H-",16.161
"880.9018 / 20.12  M2H2",16.159
"529.3335 / 6.41",16.156
"458.2259 / 4.06",16.153
"605.1945 / 22.26",16.153
"469.0286 / 15.07  3M2Na-3H-",16.153
"185.1284 / 7.28",16.152
"179.0708 / 21.59",16.151
"201.0264 / 17.94",16.15
"338.9664 / 19.87",16.148
"560.5026 / 25.44",16.146
"672.4403 / 15.56",16.144
"358.2270 / 21.67",16.143
"585.2871 / 8.13",16.143
"414.0988 / 11.35",16.142
"493.7401 / 9.99",16.142
"618.9915 / 20.02  M3H3",16.139
"341.1667 / 3.45",16.139
"499.2491 / 2.74",16.137
"474.2907 / 3.22",16.136
"434.5928 / 9.80  M3H3",16.136
"874.4739 / 19.85  MH",16.135
"189.9573 / 12.12  M-H-",16.134
"410.1745 / 10.62",16.129
"620.1200 / 20.03",16.129
"299.1635 / 22.26  MNa-2H-",16.127
"492.9038 / 13.31  M3H3",16.127
"246.9234 / 1.29",16.126
"584.2492 / 8.32",16.123
"402.0768 / 9.67  MNa",16.119
"423.2345 / 6.92",16.118
"422.2431 / 11.59",16.116
"733.8484 / 17.01",16.115
"474.2572 / 9.89  MH",16.113
"483.6793 / 16.82",16.111
"709.3193 / 21.15  M-2H2-",16.111
"595.3062 / 19.40  MNa",16.109
"262.0387 / 2.30",16.107
"400.2202 / 13.17",16.107
"489.2570 / 13.82  M",16.106
"549.3128 / 18.53",16.105
"80.0481 / 2.24",16.103
"84.9957 / 1.07",16.097
"81.0697 / 11.44",16.093
"145.1015 / 20.50",16.086
"629.3143 / 13.68",16.086
"645.2500 / 20.96  M-H-",16.082
"124.0244 / 1.08",16.081
"488.2360 / 11.07  M-H-",16.077
"813.4223 / 10.33",16.076
"866.9187 / 12.86  M-2H2-",16.075
"340.2246 / 13.15",16.07
"569.2754 / 19.15  M3H3",16.07
"382.1983 / 8.56  MCH3OHH",16.069
"446.2617 / 6.68",16.067
"961.4710 / 17.13",16.067
"263.1399 / 19.75",16.063
"514.0833 / 2.85",16.063
"146.9825 / 1.78",16.057
"811.3257 / 14.41  M-H-",16.057
"556.2263 / 3.06",16.055
"312.1736 / 7.99",16.054
"694.2509 / 18.75  MNa-2H-",16.053
"652.2942 / 1.97",16.053
"570.7999 / 18.85",16.052
"551.0339 / 18.90",16.046
"577.2987 / 10.10  2MNa-2H-",16.046
"802.3941 / 15.77",16.045
"400.4688 / 9.28  M4H4",16.044
"759.3664 / 19.67  MNa-2H-",16.044
"773.3317 / 11.26  M-H-",16.043
"390.1664 / 15.02",16.041
"173.1286 / 4.54",16.041
"413.1919 / 12.81  MH",16.039
"561.7243 / 18.72  M-2H2-",16.038
"388.7304 / 14.53  M2",16.036
"204.1238 / 1.59  MCH3OHH",16.033
"324.0991 / 8.86",16.032
"776.3568 / 6.91",16.03
"379.0641 / 9.36  MNa-2H-",16.03
"263.9947 / 15.61",16.03
"497.2356 / 16.88",16.029
"536.2694 / 13.02  MNa-2H-",16.026
"696.2976 / 16.85  MNa-2H-",16.025
"469.2616 / 18.73  M2H2",16.025
"572.7699 / 12.27",16.023
"287.1368 / 5.55  MNa",16.023
"325.0407 / 4.14  2MNa-2H-",16.022
"481.7403 / 17.24  M2H2",16.021
"587.2858 / 16.02  M2H2",16.02
"589.2092 / 2.29",16.019
"681.3093 / 16.17",16.018
"575.8191 / 18.92  M2",16.017
"355.1612 / 8.89",16.012
"456.2529 / 3.24  M2H2",16.012
"684.4041 / 11.54  MH",16.011
"158.9970 / 8.70",16.011
"658.4035 / 9.92",16.011
"215.1393 / 3.12",16.007
"496.2631 / 14.82  MHNa2",16.007
"498.2573 / 15.72",16.006
"525.2261 / 7.92  MK",16.006
"490.7814 / 14.27",16.003
"353.9617 / 15.62",16.002
"588.3190 / 18.53  M2H2",16.002
"403.1814 / 3.80",16.002
"380.1836 / 5.43",16.001
"691.3409 / 11.97  M-H-",16.001
"499.2291 / 12.97  M2H2",15.999
"576.2598 / 2.32  MK",15.999
"130.9984 / 17.69",15.996
"632.3401 / 8.52",15.995
"379.2149 / 11.25  M3H3",15.991
"316.1863 / 4.42",15.991
"600.3136 / 10.07",15.99
"460.2406 / 4.06  MH",15.987
"524.7181 / 17.61",15.987
"346.1399 / 14.75",15.986
"475.7619 / 17.43  M2H2",15.984
"229.1545 / 6.59",15.984
"569.2200 / 3.34",15.979
"431.1905 / 16.57  MNa-2H-",15.977
"797.4565 / 18.20  MH",15.976
"699.3477 / 11.04",15.976
"243.8824 / 8.11",15.973
"600.7691 / 10.33",15.971
"562.2698 / 8.74",15.966
"472.2623 / 10.97  M2H2",15.964
"476.2153 / 11.17",15.961
"553.1829 / 18.78",15.96
"279.1342 / 11.39",15.96
"403.2543 / 12.62",15.958
"498.3036 / 13.05",15.957
"96.9602 / 1.31",15.957
"273.1191 / 5.02",15.957
"330.7150 / 9.93",15.956
"475.2240 / 11.80  M-2H2-",15.956
"295.0905 / 3.04",15.955
"381.1665 / 22.26  MNa-2H-",15.954
"401.7271 / 11.45",15.954
"416.2495 / 7.59  MNH4",15.952
"612.3098 / 13.86",15.952
"858.0559 / 1.18  M-",15.952
"327.1624 / 4.79",15.95
"292.9920 / 13.14",15.945
"674.2714 / 18.75",15.944
"359.1847 / 22.26  M-H-",15.943
"910.4889 / 19.34",15.941
"644.3325 / 17.05  M2H2",15.94
"625.3302 / 12.24  M-H2O-H-",15.939
"493.2299 / 10.76",15.939
"743.3505 / 22.10",15.939
"183.1127 / 5.23",15.939
"601.3180 / 13.93  M-H-",15.939
"652.2834 / 9.66",15.934
"687.4035 / 3.74  M-H-",15.933
"316.1871 / 8.21",15.933
"673.3589 / 18.85",15.932
"373.2092 / 6.86",15.927
"590.7355 / 19.63",15.927
"548.2634 / 14.63  M2H2",15.927
"791.3852 / 14.60",15.927
"215.1384 / 9.28",15.925
"267.0591 / 1.89",15.924
"903.4404 / 17.40",15.923
"538.2470 / 15.71  MNa-2H-",15.921
"534.2217 / 10.86",15.92
"654.2617 / 10.33",15.919
"640.2648 / 19.90  MNa-2H-",15.917
"84.0443 / 1.44  MH",15.913
"302.1502 / 8.09  M-H-",15.912
"916.4599 / 18.53",15.911
"567.3604 / 11.21",15.908
"666.3289 / 17.26  M-",15.906
"422.7360 / 14.69  M2H2",15.906
"431.1917 / 9.55  MNa",15.905
"531.2229 / 6.74",15.903
"205.1273 / 1.77",15.902
"694.3032 / 12.29  M-H-",15.899
"474.2923 / 12.35  MCH3OHH",15.899
"528.3131 / 10.20  MH",15.899
"399.2230 / 4.27",15.898
"642.8422 / 19.65  M2H2",15.896
"215.1401 / 5.35",15.895
"848.4139 / 11.08",15.894
"788.8749 / 18.67  M-2H2-",15.893
"266.0053 / 7.39",15.893
"674.3561 / 18.76",15.892
"223.0207 / 18.54",15.89
"399.2598 / 13.87",15.886
"626.2762 / 7.32",15.886
"653.3228 / 12.90",15.885
"201.0884 / 1.54",15.881
"446.2606 / 4.69",15.879
"323.1344 / 10.15",15.879
"711.3055 / 17.21  M",15.879
"895.4071 / 21.08  MNa",15.876
"704.3072 / 7.35",15.873
"550.2890 / 13.81",15.872
"234.9745 / 0.24",15.87
"361.0900 / 1.60",15.869
"605.2295 / 22.71",15.869
"383.2773 / 14.66",15.869
"456.2203 / 16.44",15.865
"492.2828 / 5.43",15.864
"263.9946 / 14.38",15.863
"344.1818 / 14.32",15.862
"373.2825 / 3.69",15.862
"411.5566 / 9.06",15.861
"447.9099 / 15.75",15.861
"451.7223 / 17.61",15.861
"189.1240 / 1.70  MNH4",15.86
"550.2834 / 14.03  MNa-2H-",15.859
"707.3349 / 18.05  MNa-2H-",15.858
"400.6830 / 10.84",15.854
"213.1607 / 7.31",15.852
"387.7286 / 14.56  M2H2",15.851
"775.4075 / 11.79  MNa-2H-",15.85
"497.7058 / 11.10",15.846
"193.0792 / 12.16",15.846
"501.3018 / 9.60",15.845
"490.2621 / 3.51",15.845
"449.2035 / 14.11  MFA-H-",15.841
"486.2558 / 5.04  M-H-",15.838
"247.0583 / 20.29  MTFA-H-",15.838
"333.9825 / 21.27  MNa-2H-",15.837
"824.3576 / 10.84  MNa-2H-",15.833
"670.3904 / 10.37",15.832
"121.0298 / 17.08",15.83
"374.2054 / 7.80  M2H2",15.829
"360.0113 / 9.00  M-H-",15.828
"360.1948 / 10.78",15.826
"493.2051 / 20.23  MNa-2H-",15.825
"449.2026 / 11.23",15.825
"675.2903 / 19.42  MNa-2H-",15.822
"277.1819 / 22.26  M-H-",15.815
"622.3070 / 19.53",15.813
"506.2460 / 5.20  MCH3OHH",15.81
"345.1861 / 11.63",15.81
"575.0163 / 1.18",15.81
"290.1711 / 1.96  MCH3OHH",15.809
"297.0830 / 13.57",15.808
"244.1302 / 1.57  M-H-",15.807
"535.2878 / 2.10",15.806
"293.1140 / 2.70  MCH3OHH",15.803
"270.1931 / 2.47",15.802
"915.5136 / 11.08",15.802
"395.2157 / 9.41",15.798
"652.8084 / 14.66  M2H2",15.796
"292.9926 / 6.38",15.793
"586.6693 / 22.04  M3Na3",15.792
"492.2492 / 9.47  M",15.791
"760.3989 / 18.42  MNa-2H-",15.79
"373.1966 / 7.80  M2",15.788
"416.2499 / 9.04",15.787
"414.9860 / 8.13",15.787
"640.2704 / 18.75",15.786
"390.2112 / 10.51",15.783
"720.2998 / 19.55",15.782
"342.2644 / 19.95",15.778
"597.2841 / 9.35  MNa-2H-",15.777
"558.7607 / 15.50  M2H2",15.777
"410.1743 / 11.79",15.777
"331.1969 / 2.12",15.775
"225.9240 / 12.59",15.775
"440.2156 / 12.94",15.774
"471.2231 / 20.23  M-H-",15.773
"473.2257 / 8.42  MFA-H-",15.772
"978.5723 / 22.23  M2H2",15.771
"579.2606 / 19.03",15.771
"509.2682 / 12.84  MNa",15.771
"695.3728 / 11.53",15.77
"691.8467 / 19.92",15.767
"474.2926 / 14.46",15.766
"624.3723 / 19.28",15.764
"523.1914 / 22.26  MAcO-H-",15.763
"470.2707 / 1.94",15.763
"922.4625 / 12.41",15.763
"688.3128 / 20.53  MH",15.762
"392.2200 / 13.30",15.762
"409.2378 / 11.75",15.761
"291.9889 / 13.83",15.761
"493.7513 / 11.06",15.76
"298.1769 / 3.86",15.759
"383.1895 / 3.47  MNa",15.758
"710.3206 / 23.65",15.755
"397.2549 / 23.09",15.753
"443.1911 / 7.06",15.753
"246.1819 / 3.25",15.752
"413.9891 / 2.46",15.749
"743.4640 / 13.11  2M-H-",15.747
"381.0090 / 31.32",15.746
"479.2484 / 18.70",15.745
"385.2325 / 10.49",15.742
"402.2342 / 5.47",15.741
"892.4583 / 19.42",15.737
"265.1167 / 11.72  MNa",15.737
"563.7293 / 19.49",15.737
"114.0662 / 2.14",15.733
"515.2446 / 17.53  MH",15.733
"585.0162 / 22.04  M3H3",15.726
"501.2656 / 5.67",15.724
"557.8463 / 19.36  M2H2",15.717
"719.6715 / 19.66  M3H3",15.714
"360.2144 / 4.45",15.714
"520.2603 / 5.12",15.714
"598.2884 / 18.34",15.713
"414.2122 / 17.30",15.712
"576.2330 / 11.30",15.712
"315.1456 / 5.22",15.708
"236.9706 / 30.13",15.708
"548.2710 / 16.91",15.705
"148.0569 / 2.84",15.701
"153.1240 / 7.39",15.701
"433.2648 / 13.71",15.7
"545.0155 / 17.35",15.696
"449.7179 / 12.50",15.695
"130.9985 / 0.29",15.694
"631.3804 / 19.91  M2H2",15.692
"279.6625 / 7.98",15.691
"289.9926 / 11.10",15.691
"539.2171 / 16.12",15.689
"721.3484 / 14.51  M-H2O-H-",15.687
"763.3601 / 13.76",15.686
"556.3042 / 19.11",15.684
"395.1917 / 13.71",15.683
"145.0051 / 10.91",15.681
"590.3105 / 15.98",15.68
"105.0335 / 9.07",15.68
"605.8478 / 19.33",15.678
"343.1986 / 8.01",15.676
"775.3242 / 18.85",15.669
"857.4719 / 14.28",15.669
"918.4527 / 19.20  MNa-2H-",15.669
"617.3404 / 12.47",15.669
"300.1922 / 5.07",15.663
"377.1650 / 22.27",15.662
"213.8888 / 1.80",15.662
"529.2654 / 18.14",15.662
"678.3460 / 10.24  M-H-",15.661
"603.2881 / 21.02",15.66
"740.4221 / 18.39",15.658
"103.9189 / 7.25",15.657
"695.3643 / 13.56  M2H2",15.655
"485.2373 / 12.08  M-H-",15.654
"817.2980 / 11.26",15.653
"546.2433 / 15.64",15.653
"439.1820 / 6.48",15.652
"456.2808 / 15.91",15.646
"147.9454 / 0.47",15.646
"193.1396 / 12.40",15.646
"832.9290 / 19.17",15.641
"516.3035 / 15.53  MH",15.64
"628.3309 / 19.82  MNa",15.64
"489.2544 / 12.14",15.639
"455.1885 / 20.96  MNa-2H-",15.637
"621.3259 / 16.98",15.636
"683.3516 / 13.94",15.636
"724.2773 / 9.31  MNa-2H-",15.636
"537.7815 / 10.58",15.636
"177.1033 / 3.72",15.635
"517.2313 / 14.35",15.635
"482.2845 / 21.75",15.633
"423.1767 / 18.93",15.633
"625.3188 / 13.59  M-H-",15.631
"357.1175 / 3.70  MNa-2H-",15.629
"449.2754 / 18.30",15.628
"353.9621 / 30.03",15.627
"594.2398 / 9.47",15.627
"409.2209 / 8.67",15.625
"789.3796 / 18.08  M-H-",15.625
"455.2246 / 12.92",15.625
"512.2460 / 10.57",15.622
"587.3039 / 12.20  M-H-",15.621
"529.8016 / 18.49",15.62
"396.2250 / 4.17",15.619
"527.2818 / 9.28  M-H-",15.617
"334.1920 / 10.35",15.617
"200.9879 / 4.56",15.616
"487.2530 / 12.09",15.616
"343.1977 / 6.72",15.615
"362.1681 / 17.48  MNa-2H-",15.615
"597.2925 / 18.56  M-2H2-",15.615
"342.7073 / 11.54  M2H2",15.613
"234.9761 / 5.66",15.613
"476.2318 / 10.81",15.609
"336.1921 / 9.34",15.607
"683.3716 / 15.42",15.605
"282.0061 / 2.33  MNa-2H-",15.604
"841.4803 / 12.64  M-H-",15.603
"893.3888 / 21.09",15.602
"523.3310 / 8.83",15.6
"960.4816 / 17.17  MNa-2H-",15.598
"558.3242 / 12.39",15.598
"432.1529 / 14.81",15.596
"521.2717 / 10.44  MNH4",15.595
"673.3465 / 16.00",15.595
"486.2670 / 8.06",15.593
"700.3857 / 17.29",15.591
"544.2877 / 13.31",15.589
"742.3015 / 14.22  MNa-2H-",15.587
"445.1722 / 13.43  M-H-",15.586
"739.0213 / 1.18",15.586
"676.3346 / 16.87",15.582
"121.0296 / 17.63",15.582
"808.8937 / 9.28",15.581
"906.4651 / 19.20  M-2H2-",15.58
"173.9618 / 10.90",15.576
"332.1835 / 18.49  MNa",15.575
"281.0347 / 2.57",15.575
"116.9295 / 6.28",15.575
"571.2346 / 3.38",15.575
"244.1653 / 1.83",15.572
"161.0302 / 1.10",15.57
"597.2664 / 15.45",15.567
"103.0542 / 1.86",15.564
"399.2233 / 10.39",15.563
"574.7901 / 19.68",15.563
"378.2259 / 11.73  M2H2",15.559
"919.0051 / 1.27  MH",15.557
"830.4335 / 19.97",15.557
"445.2136 / 8.60",15.556
"641.3651 / 14.53  MNH4",15.555
"723.3775 / 8.73",15.555
"558.3124 / 15.54",15.555
"551.7705 / 14.31",15.554
"99.0782 / 2.52",15.551
"463.2548 / 14.34",15.548
"200.9457 / 1.31",15.547
"566.2774 / 11.00",15.543
"508.2642 / 9.65  M2H2",15.538
"472.2764 / 14.44",15.537
"513.2585 / 9.04  M2H2",15.537
"522.5005 / 12.40",15.536
"289.0802 / 3.06",15.535
"493.2103 / 10.49  2MH",15.533
"801.3996 / 3.77  MTFA-H-",15.53
"454.1498 / 13.14",15.528
"357.6762 / 5.81",15.526
"322.1007 / 3.50  MNa-2H-",15.525
"502.2529 / 10.61",15.525
"132.9589 / 3.68",15.525
"791.4350 / 13.52",15.523
"891.4222 / 10.98  MNa-2H-",15.522
"722.7824 / 12.66",15.522
"247.0142 / 2.62",15.522
"463.2120 / 16.63  MH",15.52
"548.2252 / 13.62",15.519
"472.2758 / 13.83  M-H-",15.516
"477.2227 / 14.06  M2H2",15.516
"626.3866 / 19.27",15.513
"359.2653 / 2.05",15.512
"223.0636 / 6.52",15.512
"355.2017 / 11.49",15.51
"400.5612 / 9.49",15.509
"460.2518 / 10.20  M2HNa3",15.509
"450.7272 / 9.84",15.508
"527.2790 / 15.36",15.506
"509.3214 / 19.47",15.505
"272.1860 / 11.46",15.504
"505.2700 / 16.78",15.503
"355.7016 / 3.57",15.501
"451.2183 / 9.63",15.501
"479.2033 / 16.47  M-H-",15.5
"297.0823 / 12.86",15.498
"300.1929 / 11.44",15.498
"770.3004 / 10.68  MNa-2H-",15.495
"514.9929 / 19.39",15.494
"642.3292 / 17.11  M3H3",15.494
"587.7716 / 11.78",15.489
"426.3583 / 22.51",15.487
"499.2455 / 16.50  M2Na2",15.486
"299.1372 / 19.13",15.485
"375.1536 / 5.13",15.483
"121.1015 / 3.65",15.483
"449.2193 / 12.48",15.482
"583.3103 / 9.84  MCH3OHH",15.481
"391.7027 / 6.99  MH",15.48
"781.8342 / 16.72",15.479
"601.3097 / 4.82",15.479
"338.1720 / 4.90  MCH3OHH",15.477
"142.1226 / 3.49",15.473
"407.1760 / 14.40  M2H2",15.472
"87.0995 / 1.93",15.471
"399.1879 / 10.61",15.47
"613.2937 / 3.63",15.469
"701.3465 / 15.77",15.467
"345.1766 / 2.70  M-H-",15.467
"510.2847 / 9.73  MNH4",15.466
"437.2393 / 11.40",15.465
"476.7434 / 17.49  M2NH42",15.465
"475.2384 / 10.54  M2",15.465
"384.1572 / 5.40",15.464
"283.0425 / 8.29",15.461
"628.0161 / 26.80",15.457
"151.0034 / 17.80",15.457
"410.3446 / 23.15",15.455
"605.3310 / 11.29  M2H2",15.455
"444.8902 / 16.61",15.454
"667.9060 / 21.66",15.454
"96.9602 / 13.37",15.453
"818.4449 / 13.05",15.453
"392.2536 / 18.05",15.451
"459.7442 / 17.82  M2H2",15.448
"632.2858 / 14.03  MNa-2H-",15.448
"375.7106 / 10.92",15.445
"613.3554 / 18.75  M-H-",15.445
"115.9195 / 6.01",15.444
"232.9751 / 6.95",15.444
"249.0611 / 4.22  MNa",15.441
"145.0083 / 0.29",15.441
"326.0873 / 5.40",15.44
"578.2629 / 18.54",15.439
"502.3010 / 13.83",15.438
"344.2540 / 13.97",15.437
"446.1882 / 1.81",15.435
"527.3188 / 10.36  MNH4",15.433
"90.9478 / 15.38",15.433
"472.2245 / 19.44  MHNa2",15.433
"199.0219 / 1.62",15.432
"89.9601 / 8.58",15.431
"374.8549 / 7.16",15.431
"842.9983 / 26.96",15.429
"817.3735 / 8.86  MNa-2H-",15.428
"400.1821 / 1.88",15.427
"218.0076 / 15.23",15.427
"487.7497 / 7.99",15.425
"487.2434 / 7.19",15.42
"391.7199 / 4.89",15.419
"774.3104 / 19.23  MNa-2H-",15.417
"539.1855 / 11.02  MNa-2H-",15.416
"441.1802 / 7.07",15.415
"391.1609 / 5.82",15.411
"209.0436 / 7.83",15.411
"394.2313 / 13.30",15.41
"397.2304 / 7.77",15.41
"530.3086 / 2.07",15.409
"767.4094 / 19.75  MNa",15.409
"375.2240 / 6.86",15.406
"591.8135 / 14.27  M2H2",15.404
"627.0184 / 16.38",15.403
"704.9845 / 15.95  M3H3",15.401
"282.9491 / 1.31",15.398
"147.9464 / 5.79",15.397
"472.2423 / 15.01",15.395
"857.3661 / 3.66  2M-H-",15.395
"488.1982 / 8.81",15.394
"476.7131 / 8.55",15.394
"423.1865 / 8.82",15.387
"454.2061 / 14.55  M3H3",15.384
"116.9295 / 7.49",15.384
"441.1979 / 3.22  MH",15.383
"630.3251 / 14.75",15.382
"270.1092 / 3.41",15.381
"655.2927 / 9.62",15.38
"517.2033 / 11.05  M-H-",15.378
"630.2965 / 18.85",15.377
"381.0100 / 20.26",15.377
"473.2344 / 3.82",15.376
"218.0067 / 16.64",15.376
"389.1497 / 9.02",15.375
"441.1976 / 7.28  MNH4",15.374
"588.7165 / 19.67",15.373
"360.1524 / 17.36  MNa-2H-",15.373
"490.2645 / 13.53  MH",15.373
"404.2475 / 4.99",15.37
"398.1817 / 4.72",15.368
"901.4220 / 17.42",15.368
"496.2390 / 5.05",15.367
"860.4159 / 18.87",15.367
"743.3316 / 15.23",15.367
"550.2508 / 11.45",15.367
"425.2477 / 3.46  MNH4",15.365
"772.4386 / 14.56",15.365
"314.2075 / 10.39",15.364
"343.0475 / 2.60",15.362
"537.3036 / 2.15",15.358
"204.0427 / 1.04  MH",15.357
"485.2706 / 19.97",15.357
"524.2059 / 19.39",15.356
"716.8455 / 19.59",15.354
"162.0273 / 1.04",15.353
"426.9762 / 22.89",15.351
"362.0492 / 3.73",15.349
"515.7816 / 3.27  M2H2",15.347
"144.0210 / 1.08",15.347
"690.3686 / 16.17",15.346
"208.9222 / 0.14  M-",15.344
"229.1182 / 8.65",15.344
"711.9327 / 21.75  MHNa2",15.338
"775.2967 / 8.03",15.338
"408.0849 / 20.50",15.335
"256.0938 / 3.50",15.332
"263.1398 / 9.99",15.327
"357.1874 / 11.51",15.326
"586.3021 / 16.75  M-2H2-",15.325
"589.2990 / 23.11  MNa-2H-",15.324
"403.0964 / 6.94",15.323
"601.3179 / 12.04",15.323
"457.3039 / 17.81",15.322
"444.2424 / 16.72",15.321
"704.3713 / 11.53  MNa-2H-",15.32
"833.3672 / 18.24",15.32
"374.9915 / 11.58",15.316
"660.2773 / 14.44",15.314
"494.2758 / 18.47  M2H2",15.314
"325.0659 / 2.67",15.314
"494.2593 / 14.47",15.313
"663.3416 / 13.82  MH",15.311
"428.5438 / 10.33",15.309
"432.2194 / 3.48  M2H2",15.309
"543.3256 / 2.73",15.306
"458.2625 / 12.76",15.303
"558.2874 / 6.73",15.302
"558.3287 / 18.95  M2H2",15.302
"132.1025 / 1.91",15.302
"395.6791 / 5.29  M2H2",15.301
"509.2574 / 13.40",15.3
"524.2529 / 12.09",15.297
"225.9243 / 10.13",15.297
"442.2271 / 12.95",15.295
"289.2288 / 16.22  MH",15.295
"552.0352 / 24.87",15.295
"563.2803 / 12.26",15.294
"732.3289 / 11.80  MNa-2H-",15.293
"608.3082 / 19.68",15.293
"533.9450 / 11.34",15.291
"362.8852 / 12.00  M3H3",15.288
"407.2301 / 10.78",15.284
"297.0829 / 21.49",15.283
"573.8207 / 12.29  M2H2",15.281
"520.2770 / 7.98  M2H2",15.276
"712.3395 / 8.10  MNa-2H-",15.276
"582.7758 / 20.24",15.273
"493.2282 / 16.12",15.272
"345.1421 / 5.54",15.272
"587.3144 / 2.48",15.272
"622.3083 / 18.90  M3Na3",15.271
"429.7029 / 10.32  M-2H2-",15.271
"703.0020 / 27.31",15.27
"423.2470 / 10.04  MNH4",15.267
"356.6872 / 11.81",15.266
"709.0238 / 19.62",15.265
"677.3533 / 16.07",15.26
"343.6915 / 7.31  M2H2",15.259
"413.2389 / 9.52",15.259
"744.3852 / 15.22  M2H2",15.258
"519.2760 / 16.50  M2H2",15.258
"591.3189 / 19.56",15.256
"627.3350 / 18.84  M3H3",15.256
"575.3034 / 2.12",15.255
"171.0986 / 10.84",15.254
"455.2047 / 18.11",15.253
"378.1695 / 6.31",15.253
"578.2495 / 7.35",15.251
"399.2257 / 17.17",15.248
"517.7692 / 11.34  M2H2",15.247
"498.7364 / 6.62  M2H2",15.246
"510.2663 / 10.92",15.245
"778.3718 / 18.36",15.243
"564.3038 / 19.44  M-H2O-H-",15.241
"546.7712 / 12.92  M2H2",15.237
"573.2113 / 18.98",15.235
"410.1563 / 6.00",15.232
"530.2886 / 9.56",15.23
"447.2246 / 10.99  MHNa2",15.23
"299.1439 / 8.89",15.228
"641.8145 / 14.63  M-2H2-",15.227
"235.1809 / 9.52",15.225
"475.7346 / 9.40  M2H2",15.225
"789.3818 / 14.63  M-H-",15.223
"575.7400 / 19.20  M-2H2-",15.222
"312.1535 / 2.73  MH",15.222
"568.3087 / 11.32  M-H2O-H-",15.219
"446.2594 / 9.12",15.216
"342.5069 / 9.02  M3H3",15.216
"619.3097 / 14.88",15.215
"304.2010 / 8.43",15.215
"360.1773 / 2.63",15.211
"479.1590 / 15.19",15.21
"315.1319 / 6.08",15.21
"145.0061 / 8.66",15.206
"735.3515 / 1.82",15.206
"201.0061 / 1.82",15.205
"707.3046 / 19.57  M-2H2-",15.204
"671.4093 / 19.19",15.204
"528.2773 / 4.63",15.202
"788.3595 / 20.03",15.201
"391.5371 / 15.27",15.2
"527.2814 / 18.85",15.199
"379.2100 / 16.21",15.198
"869.4188 / 18.14  M2H2",15.197
"226.9968 / 1.61",15.196
"650.3558 / 16.63",15.196
"545.2949 / 12.83  MAcO-H-",15.194
"474.2557 / 4.91  MAcO-H-",15.193
"416.1232 / 6.83",15.193
"311.2097 / 16.22  MNa",15.192
