"","p[1]","p(corr)[1]"
"116.9282 / 31.98  M-",46.254,0.16689
"116.9283 / 19.02  M-",-90.667,-0.33487
"116.9284 / 14.09  M-",-72.082,-0.22289
"116.9285 / 2.65  M-",-5.1723,-0.10505
"116.9285 / 20.32  M-",-60.52,-0.25873
"116.9287 / 0.02",-5.1295,-0.12378
"116.9287 / 5.05",-83.742,-0.23061
"116.9287 / 5.68",-60.97,-0.30049
"116.9288 / 3.86",-9.0396,-0.042594
"116.9291 / 12.11  M-",-92.352,-0.30869
"116.9294 / 6.91",-104.22,-0.30831
"116.9295 / 6.28",-49.744,-0.19173
"116.9295 / 7.49",-36.871,-0.10498
"116.9296 / 9.57",-80.184,-0.31659
"116.9300 / 8.79",-10.092,-0.031721
"117.0198 / 2.33",-1.5357,-0.026257
"117.0553 / 3.98  M-H-",-10.921,-0.22344
"117.0563 / 3.23  M-H-",46.399,0.69205
"117.9269 / 2.74",-3.1921,-0.06793
"117.9271 / 14.82",-9.0524,-0.03877
"117.9274 / 13.58",-82.263,-0.32806
"117.9275 / 5.10",-85.011,-0.3135
"117.9275 / 7.13",-54.3,-0.26391
"117.9276 / 0.87",-12.747,-0.32709
"117.9276 / 10.06",-13.158,-0.060387
"117.9276 / 30.68",36.215,0.17473
"117.9276 / 8.10",-82.494,-0.31219
"117.9276 / 9.51",32.645,0.16088
"117.9277 / 13.06",-100.37,-0.4041
"117.9277 / 3.43",111.95,0.34824
"117.9277 / 31.29",36.213,0.18594
"117.9277 / 31.82",-23.096,-0.12389
"117.9282 / 29.64",-7.1983,-0.070203
"117.9284 / 5.92",59.615,0.24434
"117.9285 / 0.19",33.174,0.1614
"117.9286 / 8.92",-55.481,-0.21698
"117.9290 / 10.89",0.92021,0.0038808
"119.0357 / 1.65  M-H-",-4.4499,-0.090617
"119.0496 / 10.64",-43.188,-0.51057
"119.9147 / 29.84",8.8031,0.055191
"119.9151 / 2.41",30.685,0.57567
"121.0288 / 11.70  M-H-",32.961,0.19741
"121.0294 / 13.30",-38.647,-0.14285
"121.0295 / 19.37",-70.664,-0.24646
"121.0296 / 14.63",15.907,0.068391
"121.0296 / 17.63",-22.517,-0.084209
"121.0296 / 18.79",-78.374,-0.28419
"121.0296 / 19.97",0.32909,0.025927
"121.0297 / 13.82",-74.049,-0.25907
"121.0297 / 15.49",-30.136,-0.10799
"121.0298 / 17.08",17.037,0.071912
"122.0357 / 13.38",126.58,0.51445
"122.8933 / 1.78",-17.68,-0.3856
"124.0067 / 1.45",-80.412,-0.56744
"124.0153 / 2.84",33.319,0.52503
"124.9925 / 1.90",-23.726,-0.38798
"125.0356 / 5.20",87.221,0.50381
"125.0971 / 19.77  M-H-",5.6047,0.2716
"126.0016 / 9.92",-149.57,-0.51792
"126.9036 / 3.24",-58.766,-0.31573
"126.9037 / 1.67",-18.924,-0.16262
"128.0349 / 2.15  M-H-",28.671,0.33915
"129.0184 / 2.13  M-H2O-H-",3.3894,0.054502
"129.0551 / 5.78  M-H-",-47.558,-0.43701
"129.0552 / 5.18",-14.226,-0.13597
"130.0501 / 2.55",32.599,0.40683
"130.0667 / 14.83",40.829,0.30189
"130.0874 / 1.90",41.384,0.39298
"130.0885 / 8.37",277.36,0.78154
"131.0709 / 8.31  M-H-",-88.938,-0.72011
"131.0823 / 1.47  M-H-",-26.083,-0.23908
"131.9146 / 2.39",-37.747,-0.26676
"131.9147 / 7.96",-29.9,-0.11611
"131.9148 / 0.36",-10.733,-0.034536
"131.9148 / 10.96  M-H-",10.003,0.051059
"131.9149 / 0.86",1.6867,0.047599
"131.9149 / 3.69",9.3938,0.04392
"131.9149 / 5.81",12.824,0.061098
"131.9149 / 6.40",-24.419,-0.12483
"131.9149 / 8.88",-144.18,-0.56842
"131.9150 / 31.15",-7.4361,-0.040075
"131.9150 / 31.78",-10.422,-0.061196
"131.9157 / 11.61",-80.989,-0.35354
"131.9157 / 13.01",-43.009,-0.287
"131.9157 / 14.70",-64.597,-0.24898
"131.9157 / 30.06",-36.387,-0.20005
"131.9157 / 7.41",44.914,0.22497
"131.9158 / 10.28",-28.738,-0.11607
"131.9158 / 9.48",-25.007,-0.1263
"131.9160 / 15.62",1.9044,0.0084675
"131.9165 / 4.66",-39.703,-0.14882
"132.0737 / 8.30",-98.646,-0.70294
"132.9218 / 13.43",-65.598,-0.28439
"132.9224 / 17.76",-35.052,-0.15874
"132.9232 / 11.15  M-",-15.553,-0.074262
"132.9237 / 14.09  M-",1.9995,0.014415
"133.0154 / 3.20",-80.379,-0.33768
"133.0510 / 2.54",42.678,0.20399
"133.0649 / 19.85",-46.137,-0.22033
"133.0663 / 20.46  M-H-",-40.439,-0.17833
"134.0616 / 9.02",87.001,0.42036
"134.0626 / 19.93",-33.915,-0.13461
"134.8647 / 28.95",6.8477,0.24055
"134.8942 / 1.63",-15.691,-0.3656
"135.0308 / 3.86",-56.409,-0.51921
"135.0309 / 1.47  M-H-",122.56,0.78262
"135.0454 / 6.64",52.069,0.37328
"135.0458 / 19.56",-0.12598,-0.0022245
"135.8939 / 1.66",-13.091,-0.30754
"136.0167 / 15.05",13.911,0.19416
"136.0333 / 3.83",-57.553,-0.49358
"136.0398 / 2.72",-17.467,-0.07954
"136.0521 / 3.16",-28.209,-0.12736
"136.8911 / 1.69",-12.487,-0.29932
"137.0245 / 10.05",81.51,0.73369
"137.0356 / 5.59",69.634,0.47382
"138.0572 / 10.73",-43.384,-0.17026
"139.1127 / 20.75",-31.877,-0.44018
"141.0160 / 12.63",-67.792,-0.20699
"141.0163 / 18.54",-123.77,-0.36957
"141.0164 / 3.50",3.7557,0.094581
"141.0165 / 17.35  M-H-",-156.44,-0.5186
"141.0166 / 7.64",-6.4318,-0.02463
"141.0167 / 6.87  M-H-",-92.403,-0.28582
"141.0168 / 11.59",-97.432,-0.30229
"141.0168 / 31.73  M-H-",82.157,0.39362
"141.0170 / 14.22  M-H-",-42.802,-0.12601
"141.0171 / 15.96  M-H-",-26.207,-0.11662
"141.0172 / 2.65",-5.0741,-0.10121
"141.0172 / 22.00  M-H-",-6.9972,-0.15982
"141.0173 / 6.14",-30.306,-0.11786
"141.0174 / 0.04",-53.317,-0.17744
"141.0175 / 0.80",7.8802,0.11601
"141.0175 / 19.69  M-H-",-13.706,-0.040702
"141.0175 / 8.59",-65.19,-0.21082
"141.0176 / 4.65",-142.94,-0.36163
"141.0177 / 10.16",-23.992,-0.074986
"141.0177 / 26.76  M-H-",-0.94917,-0.045096
"141.0178 / 1.33  MNa-2H-",-1.8313,-0.13248
"141.0180 / 29.14",-2.9062,-0.14523
"141.0181 / 24.81",-0.86958,-0.097741
"141.0182 / 20.21  M-H-",-87.201,-0.21196
"141.0182 / 25.93  M-H-",-1.0617,-0.10239
"141.8681 / 28.92",-0.26971,-0.010369
"142.0061 / 8.43",-3.1349,-0.012903
"142.0667 / 7.99",67.363,0.60102
"142.0670 / 4.22",41.473,0.46852
"142.9985 / 1.61",81.612,0.40377
"143.0700 / 8.02",76.828,0.48959
"143.0713 / 4.75",72.525,0.31428
"143.1084 / 21.53",-0.78381,-0.11124
"143.8651 / 28.92",-0.98001,-0.038169
"144.0453 / 16.85",11.976,0.135
"144.0459 / 12.77",-29.622,-0.28161
"144.0460 / 3.07  M-H-",-3.0804,-0.028174
"144.0658 / 2.54",78.05,0.33638
"144.0671 / 3.61",44.532,0.44276
"145.0149 / 1.95  M-H-",126.9,0.53181
"145.0520 / 6.41  M-H-",4.0656,0.040041
"145.0623 / 1.43",38.5,0.46041
"145.0625 / 11.87",-25.412,-0.097592
"145.0627 / 10.58",24.268,0.21636
"145.0631 / 2.11  M-H-",292.58,0.82805
"145.0976 / 1.12",18.882,0.19268
"146.0462 / 1.47",-109.88,-0.69572
"146.0604 / 14.46",-24.666,-0.11029
"146.0617 / 3.04",-7.4478,-0.070377
"146.0826 / 4.79",102.94,0.5241
"146.9825 / 1.78",-27.461,-0.40683
"147.0293 / 2.07  M-H-",22.178,0.30403
"147.0449 / 2.79",23.94,0.33822
"147.0450 / 10.64  M-H2O-H-",-38.597,-0.38723
"147.0657 / 2.81",-15.072,-0.30642
"147.9451 / 7.68",-11.999,-0.065447
"147.9454 / 0.47",40.397,0.19554
"147.9457 / 6.55",-60.292,-0.23161
"147.9461 / 12.11  M-H-",26.375,0.12195
"147.9462 / 9.16  M-H-",-92.175,-0.38701
"147.9463 / 3.35  M-H-",15.629,0.093622
"147.9464 / 11.47",76.531,0.29855
"147.9464 / 12.74",-18.157,-0.08257
"147.9464 / 30.07",-82.685,-0.41448
"147.9464 / 5.79",-50.749,-0.20412
"147.9465 / 10.36",34.702,0.13161
"147.9465 / 13.25",43.925,0.18211
"147.9465 / 31.63  M-H-",22.053,0.10888
"147.9465 / 8.44  M-H-",-78.921,-0.27145
"147.9466 / 29.53",-27.057,-0.088451
"147.9466 / 5.01",-109,-0.33439
"147.9469 / 30.57  M-H-",-22.913,-0.10951
"149.0464 / 1.59",36.888,0.45332
"149.0471 / 6.76",42.522,0.29493
"149.0612 / 18.93",-79.249,-0.33387
"150.0017 / 19.55",-65.56,-0.23111
"150.0024 / 17.76  M-H-",-14.237,-0.052276
"150.0408 / 4.29",-12.807,-0.089677
"150.0415 / 3.17",-36.898,-0.16679
"150.0555 / 13.43",-40.653,-0.18778
"150.0565 / 5.55",-154.75,-0.42535
"150.0569 / 7.40",-227.29,-0.5152
"151.0034 / 17.80",-90.322,-0.29294
"151.0077 / 1.62",52.477,0.44665
"151.0257 / 4.14  M-H-",-46.459,-0.43254
"151.0261 / 5.33",-56.52,-0.24898
"151.0395 / 8.81  M-H-",60.212,0.3398
"151.0396 / 16.33",30.76,0.16132
"151.0400 / 18.37",235.89,0.74952
"151.0402 / 15.05",34.035,0.19918
"151.0405 / 11.61",0.35117,0.0013954
"151.0512 / 5.81",119.11,0.52627
"151.0592 / 7.30",-157.03,-0.45534
"151.0768 / 18.29",-9.8915,-0.047318
"152.0282 / 4.13",-49.17,-0.44196
"153.0168 / 3.47",33.524,0.52639
"153.0313 / 1.90",43.554,0.42305
"155.0276 / 21.02",10.598,0.39691
"155.0828 / 2.69",-222.98,-0.69175
"156.0133 / 16.02",47.158,0.251
"156.9970 / 3.55",-4.4627,-0.016931
"157.0361 / 1.07",30.438,0.37492
"157.0784 / 2.30",45.504,0.30326
"157.1249 / 22.05  M-H-",3.4262,0.31329
"157.1341 / 2.32",-191.44,-0.71825
"157.8626 / 2.41",105.21,0.44391
"157.8630 / 1.78",-28.052,-0.55356
"158.0029 / 3.78",-57.85,-0.21451
"158.0603 / 12.89",-37.912,-0.2035
"158.0832 / 9.93",122.18,0.61026
"158.1191 / 6.36",101.53,0.63091
"158.1272 / 22.07",3.3152,0.25374
"158.8461 / 1.82",-13.301,-0.49416
"159.0666 / 11.51  M-H-",15.652,0.088837
"159.1014 / 14.65",67.178,0.2876
"159.1025 / 20.11",-8.9859,-0.16983
"159.1026 / 19.26",5.5752,0.071011
"159.1183 / 22.10",-22.571,-0.27384
"159.8589 / 1.85",-26.885,-0.52558
"160.8415 / 2.05",1.8886,0.034726
"160.8425 / 1.55",-7.891,-0.28968
"160.8428 / 28.95",-1.8542,-0.063875
"160.9977 / 2.46",21.37,0.39162
"161.1333 / 22.10  M-H-",-66.117,-0.28273
"162.0555 / 11.08",67.042,0.22949
"162.0679 / 11.37",105.88,0.354
"162.8385 / 2.05",-15.102,-0.41242
"162.8395 / 1.55  M-H-",-0.87804,-0.025844
"162.8395 / 28.95",-2.0269,-0.069854
"163.0398 / 2.13",44.866,0.50177
"163.0407 / 6.67",54.958,0.37586
"163.0613 / 17.42",-17.769,-0.12134
"163.0758 / 20.46",27.662,0.31656
"164.0337 / 14.11",145.51,0.51454
"164.0338 / 13.38",141.33,0.53166
"164.0567 / 4.73",71.17,0.48734
"164.0711 / 2.79  M-H-",21.157,0.32772
"164.0732 / 11.06",278.38,0.79296
"164.8355 / 2.05",-12.575,-0.36327
"164.8365 / 1.52  M-H-",-3.0686,-0.087794
"164.8370 / 28.95",-1.5746,-0.055148
"165.0061 / 2.76  M-H2O-H-",17.507,0.33047
"165.0404 / 15.70",33.876,0.097676
"165.0420 / 1.52  MFA-H-",67.107,0.51468
"165.0424 / 8.67",117.69,0.55178
"165.0437 / 9.62",80.491,0.40888
"165.0553 / 20.29",-65.486,-0.24813
"165.0560 / 10.64  M-H-",-43.054,-0.52166
"165.0742 / 2.77",21.708,0.32293
"165.0921 / 21.37",-46.47,-0.22082
"165.9119 / 28.88",-1.2759,-0.058364
"165.9792 / 19.16",-29.111,-0.13573
"166.0184 / 1.86",60.319,0.50924
"167.0212 / 2.80  M-H-",34.024,0.51014
"167.0340 / 6.41  MNa-2H-",9.5568,0.093298
"167.1442 / 21.50  M-H-",2.9738,0.14453
"167.9851 / 19.10  M-H-",-78.13,-0.31396
"168.9142 / 28.92",0.38347,0.019873
"169.1232 / 22.00",-10.616,-0.19152
"170.0446 / 2.54",78.083,0.36759
"171.0127 / 6.69",6.5614,0.074669
"171.1021 / 18.13",-3.1478,-0.18552
"171.1029 / 19.95  MFA-H-",8.7109,0.40194
"171.1032 / 19.18",2.4865,0.083165
"171.1394 / 22.44",2.8344,0.33391
"172.9920 / 5.40  M-H-",-6.0121,-0.055813
"173.0104 / 2.11",127.06,0.49046
"173.0132 / 27.95",-1.1686,-0.13427
"173.0133 / 25.55",3.4115,0.20222
"173.0134 / 26.13",1.8222,0.1974
"173.0137 / 1.04",-101.28,-0.61374
"173.0817 / 15.13",-17.812,-0.073916
"173.0821 / 16.50  M-H-",-8.1484,-0.14753
"173.0927 / 1.73",13.492,0.12337
"173.1184 / 20.17",-22.283,-0.56436
"174.0401 / 2.19  MFA-H-",52.058,0.43046
"174.0573 / 11.45",234.57,0.80627
"174.0577 / 4.46",59.76,0.28866
"174.0782 / 3.84  M-H-",199.87,0.74475
"174.0883 / 1.47",-33.97,-0.27754
"174.9914 / 5.53",-65.458,-0.20054
"174.9915 / 13.63",-33.196,-0.12773
"174.9917 / 20.33",-19.345,-0.064949
"174.9918 / 1.13",-87.207,-0.71195
"174.9919 / 17.81",-1.2241,-0.0051251
"174.9919 / 18.31",-10.695,-0.044605
"174.9919 / 19.63",-34.182,-0.13106
"174.9920 / 19.12",-27.453,-0.10235
"174.9923 / 12.55",31.036,0.1277
"174.9926 / 10.96",-37.788,-0.15282
"174.9926 / 4.85",-56.853,-0.15044
"174.9927 / 11.79",-40.765,-0.15556
"174.9928 / 0.08",-92.296,-0.27308
"174.9928 / 10.10",53.106,0.2489
"174.9928 / 3.66",3.2638,0.01846
"174.9928 / 9.51",-7.4487,-0.038702
"174.9929 / 29.20",3.6768,0.095094
"174.9929 / 31.04",-7.1013,-0.035456
"174.9930 / 29.93",-59.168,-0.29208
"174.9930 / 8.32",-85.067,-0.31185
"174.9931 / 6.07",-16.797,-0.076593
"174.9933 / 16.74",-117.39,-0.44751
"174.9935 / 7.27",-73.597,-0.28884
"174.9937 / 15.57",-11.175,-0.045285
"174.9938 / 14.74",-4.3922,-0.019033
"175.0246 / 2.32  M-H-",-143.29,-0.43942
"175.0249 / 5.65",-180.93,-0.50635
"175.0254 / 1.63",137.5,0.50119
"176.0273 / 14.68",206.79,0.68812
"176.0280 / 1.80",112.57,0.71055
"176.9725 / 1.04  M-H-",40.199,0.49036
"177.0555 / 20.39",-5.5017,-0.29834
"177.1293 / 20.46",-66.25,-0.2814
"178.0170 / 2.57",1.0288,0.0038601
"178.0517 / 9.02",56.898,0.34575
"178.0632 / 3.16  M-H-",40.889,0.18644
"178.9499 / 1.05",44.593,0.4771
"179.0210 / 6.48",142.84,0.53638
"179.0573 / 1.53  MAcO-H-",55.076,0.5757
"179.0576 / 13.38  M-H-",146.35,0.59216
"179.0576 / 14.11  M-H-",120.45,0.53455
"179.0661 / 3.19",10.198,0.046072
"179.0708 / 21.59",-44.943,-0.1987
"179.0719 / 17.29",132.29,0.48175
"180.0127 / 12.82",-76.892,-0.29893
"180.0341 / 4.83",58.149,0.29855
"180.0536 / 8.05",88.127,0.58183
"180.0615 / 14.08",140.59,0.55596
"180.0664 / 2.09  M-H-",44.613,0.52488
"180.0673 / 9.56",-143.07,-0.42608
"180.0674 / 8.37",18.354,0.057113
"180.0681 / 7.79",194.49,0.76359
"181.0487 / 6.67",38.068,0.42189
"181.0491 / 11.51  MAcO-H-",24.286,0.39366
"181.0695 / 2.16",45.64,0.52909
"181.0715 / 1.43  M-H-",31.066,0.21935
"181.8971 / 3.62",52.037,0.37809
"181.8973 / 6.16",35.19,0.26327
"181.8981 / 4.51",99.356,0.32319
"181.8984 / 2.68",33.503,0.22646
"181.9651 / 1.43",-90.912,-0.48743
"181.9924 / 8.26",19.466,0.067941
"182.0286 / 5.43",-166.38,-0.50115
"182.0289 / 12.79",-119.61,-0.39677
"182.0522 / 6.67",55.809,0.39959
"183.0161 / 2.79  M-H-",-5.5487,-0.087431
"183.0302 / 9.36",57.14,0.2252
"183.1033 / 20.75  M-H2O-H-",-27.383,-0.3936
"183.1140 / 6.85  M-H-",-202.43,-0.64926
"183.1372 / 22.42",-9.067,-0.28384
"184.8865 / 28.95",-0.96056,-0.061763
"185.0430 / 2.48",-2.0116,-0.082558
"185.0924 / 1.59  M-H2O-H-",-97.514,-0.46835
"185.1188 / 20.46  M-H-",-2.3703,-0.22203
"185.1188 / 21.27",-15.566,-0.29955
"185.1558 / 22.77",0.82028,0.1327
"185.1658 / 3.40",-171.94,-0.57451
"186.0568 / 7.95",69.707,0.61233
"186.1140 / 16.62",6.1154,0.34109
"186.1591 / 22.78",1.6956,0.18487
"186.8839 / 28.85",-0.97754,-0.061962
"187.0077 / 10.70  M-H-",-43.494,-0.27322
"187.0089 / 1.06",1.102,0.010859
"187.0600 / 8.02",83.467,0.54344
"187.0977 / 19.73  M-H-",5.9482,0.2998
"187.1082 / 2.29",-270.18,-0.80762
"187.1084 / 1.70",-96.807,-0.4658
"187.1338 / 21.43",-18.717,-0.31495
"188.0022 / 2.77",76.338,0.34843
"188.0561 / 2.54",24.051,0.19629
"188.0720 / 18.65  M-H-",-15.248,-0.09898
"188.0920 / 8.58",38.588,0.2647
"188.1002 / 19.77",6.0795,0.29152
"188.9868 / 3.33",51.512,0.2727
"188.9870 / 4.66  M-H2O-H-",64.277,0.42568
"189.0032 / 10.75",-47.844,-0.16584
"189.0409 / 2.18",75.378,0.68295
"189.0774 / 11.25",255,0.84043
"189.0780 / 10.20",0.33597,0.0014879
"189.0904 / 20.83",-14.667,-0.11341
"189.1133 / 10.16",120.15,0.61002
"189.1135 / 16.50",-11.317,-0.17107
"189.9563 / 20.94",29.903,0.13872
"189.9567 / 6.30  M-H-",-23.785,-0.076136
"189.9568 / 0.03  M-H-",49.072,0.23756
"189.9571 / 11.26  M-H-",-69.826,-0.2161
"189.9572 / 3.09  M-H-",-9.0965,-0.17385
"189.9573 / 12.12  M-H-",-57.084,-0.21292
"189.9574 / 13.36",37.051,0.12544
"189.9574 / 7.14  M-H-",-68.641,-0.23332
"189.9575 / 28.52",-5.1432,-0.14202
"189.9577 / 4.89  M-H-",65.507,0.25208
"189.9579 / 1.04  M-H-",-7.9741,-0.1231
"189.9579 / 16.79",-15.357,-0.056197
"189.9580 / 3.65  M-H-",11.641,0.078897
"189.9582 / 31.37  M-H-",-72.31,-0.29176
"189.9582 / 31.87  M-H-",21.934,0.10179
"189.9583 / 15.85  M-H-",-38.65,-0.13405
"189.9583 / 29.54",-19.035,-0.37804
"189.9584 / 30.28",97.903,0.38541
"189.9585 / 7.70  M-H-",4.4593,0.014412
"189.9587 / 10.54  M-H-",-127.36,-0.41151
"189.9588 / 9.06  M-H-",-148.9,-0.4527
"189.9590 / 18.71",37.052,0.20274
"189.9592 / 14.62  M-H-",-87.047,-0.27994
"189.9594 / 18.20",81.46,0.26478
"189.9598 / 17.31",-82.472,-0.27297
"189.9759 / 15.46",12.693,0.050315
"189.9759 / 18.81",-44.764,-0.29944
"189.9788 / 19.51",-8.5418,-0.039637
"190.0522 / 3.04  MFA-H-",-4.2661,-0.039877
"190.0526 / 4.46",67.272,0.27799
"190.0547 / 6.94",66.947,0.26643
"191.0205 / 2.09  MFA-H-",74.034,0.44865
"191.1078 / 20.52",-77.342,-0.2942
"191.1082 / 21.82",-36.443,-0.31955
"192.0230 / 2.12",91.309,0.42142
"192.9592 / 28.67",0.81206,0.072882
"192.9899 / 1.47",121.35,0.79481
"193.0498 / 13.72",-3.2077,-0.012544
"193.0506 / 18.59",-103.24,-0.46656
"193.0508 / 20.62",0.67665,0.069694
"193.0851 / 21.15",-0.5724,-0.065827
"193.0912 / 22.52",-17.015,-0.15272
"193.1232 / 20.77",-50.962,-0.36212
"194.0162 / 20.80",14.605,0.076426
"194.0464 / 6.54",38.029,0.15315
"194.0824 / 4.82",200.57,0.74656
"194.9557 / 28.93",0.45275,0.038111
"194.9866 / 1.50",125.28,0.71369
"195.0523 / 1.50  MAcO-H-",13.686,0.17076
"195.0527 / 9.33",105.22,0.40313
"195.0535 / 11.51",114.28,0.42747
"195.0640 / 16.50  MNa-2H-",-6.8832,-0.1306
"195.1026 / 21.38",-6.2808,-0.039047
"195.1141 / 3.74",150.18,0.67648
"195.1400 / 21.60  M-H-",-2.1022,-0.2773
"195.8106 / 2.05",-13.425,-0.37584
"195.8117 / 1.52",-10.089,-0.34801
"195.8120 / 28.95",-0.8616,-0.019053
"196.0280 / 1.82",31.057,0.28137
"196.0441 / 12.63",-169.2,-0.53239
"196.0728 / 1.58",71.245,0.61368
"196.9083 / 3.30",6.1121,0.03918
"197.0314 / 2.76",-7.0357,-0.1114
"197.0678 / 2.26",101.84,0.51902
"197.0680 / 4.98",56.486,0.30619
"197.0683 / 3.80",105.31,0.42834
"197.0969 / 21.55",-93.581,-0.35433
"197.1297 / 11.24",-245.12,-0.71038
"197.1297 / 11.75",-256.43,-0.7156
"197.1545 / 22.69  M-H-",-17.17,-0.3743
"197.8084 / 1.58",-10.087,-0.34995
"197.8086 / 2.32",-38.247,-0.41066
"197.8089 / 28.95",-1.0508,-0.023698
"198.0239 / 19.51",13.094,0.069447
"199.0568 / 3.88",12.055,0.30184
"199.0604 / 3.26",49.717,0.72447
"199.0727 / 2.69",-156.36,-0.57632
"199.0980 / 20.01  M-H-",-52.561,-0.20231
"199.1095 / 5.23  M-H-",101.7,0.45915
"199.1348 / 21.47",7.6122,0.35791
"199.1707 / 23.04",1.8284,0.21833
"199.8044 / 2.05",-12.974,-0.36346
"199.8056 / 1.55",-10.812,-0.36579
"199.8057 / 28.95",-1.4786,-0.032719
"200.0555 / 2.57  M-H2O-H-",30.192,0.36168
"200.1739 / 23.07",1.6352,0.16051
"200.9442 / 0.35",82.601,0.3883
"200.9452 / 32.00",-36.694,-0.2614
"200.9457 / 1.31",39.744,0.54307
"200.9879 / 4.56",72.686,0.36821
"201.0238 / 3.58",-5.2361,-0.23404
"201.0243 / 6.48",-106.91,-0.337
"201.0251 / 15.65",-58.331,-0.23284
"201.0252 / 5.69",-110.39,-0.42254
"201.0256 / 0.45",-16.605,-0.07215
"201.0256 / 5.08",-63.573,-0.18259
"201.0256 / 9.43",-91.221,-0.34093
"201.0258 / 18.53",-72.189,-0.24811
"201.0258 / 22.40",-14.58,-0.34858
"201.0258 / 27.95",0.79124,0.105
"201.0258 / 30.71",62.027,0.31195
"201.0260 / 24.21",0.84658,0.079464
"201.0261 / 1.12  M-H-",20.425,0.32646
"201.0261 / 28.49",-15.698,-0.047952
"201.0262 / 14.97",-41.028,-0.16523
"201.0262 / 20.60",17.873,0.078984
"201.0262 / 27.15",108.14,0.21577
"201.0262 / 7.16",-59.057,-0.2098
"201.0262 / 8.09",26.766,0.16404
"201.0263 / 10.40",23.123,0.080606
"201.0263 / 11.33",-41.379,-0.1468
"201.0263 / 4.47",8.4384,0.068485
"201.0264 / 16.28",-44.85,-0.18204
"201.0264 / 17.94",-92.083,-0.42506
"201.0264 / 19.56",-59.681,-0.20046
"201.0265 / 12.46",-45.401,-0.25413
"201.0265 / 13.10",-72.487,-0.33653
"201.0265 / 23.61",0.50351,0.018541
"201.0265 / 29.21",-1.5244,-0.083609
"201.0266 / 17.25",-47.74,-0.16647
"201.0266 / 21.35",-79.04,-0.31989
"201.0266 / 31.67",-29.039,-0.14844
"201.0267 / 14.42",4.7154,0.019617
"201.0267 / 8.64",-147.22,-0.45828
"201.0268 / 13.70",-123.24,-0.42341
"201.0269 / 24.92",-19.59,-0.13588
"201.0269 / 25.58",0.30957,0.069587
"201.0271 / 22.91",-2.5082,-0.048612
"201.0271 / 26.46",0.51764,0.12739
"201.0375 / 2.18  2MNa-2H-",-221.65,-0.60528
"201.0884 / 1.54",-18.085,-0.15076
"201.1134 / 20.75  M-H-",-31.836,-0.47491
"201.1135 / 14.87  M-H-",76.901,0.40905
"201.1139 / 13.07",6.2128,0.027886
"201.1239 / 2.32",-251.54,-0.76902
"201.8021 / 1.54",-11.649,-0.38675
"202.0286 / 1.10",25.871,0.35693
"202.1079 / 13.14",0.15427,0.0010397
"202.1089 / 2.13",131.5,0.60802
"202.9867 / 1.04",-90.721,-0.58609
"203.0014 / 7.59",77.962,0.3536
"203.0026 / 9.14",-32.845,-0.10941
"203.0208 / 1.43",36.884,0.53363
"203.0291 / 25.92",-2.3692,-0.28366
"203.0304 / 26.90",17.97,0.04041
"203.0306 / 23.86",-24.927,-0.17981
"203.0310 / 21.36",-20.647,-0.092482
"203.0310 / 25.22",-20.862,-0.069987
"203.0313 / 22.73",-30.588,-0.18114
"203.0320 / 12.56",-19.636,-0.081815
"203.0325 / 17.31",-49.704,-0.16904
"203.0327 / 13.18",-132.56,-0.4755
"203.0327 / 18.79",-79.54,-0.26549
"203.0327 / 20.64",-59.948,-0.16601
"203.0328 / 18.24",2.0942,0.0078248
"203.0328 / 6.67  M-H-",47.775,0.35474
"203.0331 / 16.29",-43.163,-0.14232
"203.0332 / 20.02",10.537,0.4692
"203.0333 / 19.34",-74.1,-0.24857
"203.0339 / 14.63",71.562,0.2217
"203.0339 / 15.41",-64.09,-0.21668
"203.0822 / 4.30  M-H-",38.356,0.46423
"203.0832 / 14.04",300.37,0.86868
"203.0839 / 4.94",267.7,0.77288
"203.1022 / 1.64  M-H-",-76.954,-0.54491
"204.0296 / 10.70",-13.949,-0.061018
"204.0667 / 12.89  M-H-",-27.687,-0.27205
"204.0683 / 11.45",233.03,0.80691
"204.0860 / 4.25",39.361,0.4599
"204.1152 / 20.70",-7.5018,-0.034736
"205.0637 / 1.79",1.0742,0.0056481
"205.1240 / 22.10  M-H-",-33.12,-0.33506
"205.1592 / 22.51  M-H2O-H-",-18.261,-0.33369
"206.0825 / 3.58",210.79,0.72811
"206.9974 / 4.92  M-H-",56.147,0.23169
"207.0138 / 15.16",5.4765,0.1094
"207.0521 / 1.62",77.984,0.35696
"207.1409 / 21.66  M-H-",5.2615,0.28023
"207.9129 / 29.80",-50.1,-0.3497
"207.9132 / 31.93  M-H-",13.161,0.047771
"207.9133 / 0.44  M-H-",34.707,0.18507
"207.9135 / 30.35",1.3933,0.0074488
"207.9146 / 0.97  M-H-",-7.9021,-0.2861
"207.9666 / 4.87",-64.899,-0.20082
"207.9668 / 3.70  MAcO-H-",-40.382,-0.20163
"207.9670 / 5.54",-60.955,-0.27995
"207.9671 / 0.76",-6.5016,-0.19364
"207.9673 / 13.88",39.141,0.2284
"207.9675 / 31.43  MAcO-H-",37.932,0.18183
"207.9678 / 8.10  MAcO-H-",-100.34,-0.37062
"207.9678 / 9.73",-2.2664,-0.0095428
"207.9679 / 12.38  MAcO-H-",-50.162,-0.3235
"207.9679 / 8.94  MAcO-H-",-111.52,-0.38397
"207.9681 / 10.83",-58.037,-0.26857
