"","p[1]","p(corr)[1]"
"140.0165 / 5.43",-107.59,-0.35636
"140.0694 / 1.53",52.471,0.64838
"140.0707 / 6.96  MH",81.905,0.35349
"141.0185 / 1.65",113.46,0.45075
"141.0367 / 1.04",22.902,0.28504
"141.0404 / 2.87",36.57,0.5691
"141.0659 / 1.51",63.384,0.46609
"142.0612 / 3.28",113.78,0.58312
"142.1224 / 1.87",-71.137,-0.30881
"142.1226 / 3.49",-47.451,-0.27459
"143.0156 / 2.71",10.058,0.31059
"143.0158 / 15.99",-45.949,-0.16904
"143.0181 / 15.24",-40.783,-0.14401
"143.0183 / 6.99",144.99,0.55302
"143.0186 / 19.53",-1.8159,-0.0077416
"143.0187 / 8.20  MH",-11.572,-0.040056
"143.0187 / 9.05",-12.133,-0.041141
"143.0189 / 0.31  MH",15.14,0.3085
"143.0189 / 10.38",60.257,0.31602
"143.0189 / 11.93",-80.153,-0.29942
"143.0189 / 3.43",54.363,0.18322
"143.0190 / 4.09",-45.859,-0.15387
"143.0190 / 5.39",35.23,0.15079
"143.0191 / 18.52",7.5996,0.029394
"143.0191 / 29.06",-32.618,-0.10611
"143.0191 / 31.57",-14.033,-0.067157
"143.0191 / 6.16",106.69,0.44543
"143.0192 / 12.62",-23.946,-0.084394
"143.0192 / 14.68",-15.046,-0.050869
"143.0192 / 16.91",42.892,0.15064
"143.0193 / 4.62",-32.822,-0.11235
"143.0194 / 10.98",-103.26,-0.42553
"143.0195 / 1.10  MH",23.582,0.32178
"143.0195 / 13.69",-20.926,-0.072764
"143.0722 / 4.22",39.906,0.44259
"143.1182 / 10.44  MNH4",59.047,0.26865
"143.1184 / 2.28  MNH4",-263.8,-0.74133
"144.0210 / 1.08",28.315,0.36808
"144.0622 / 2.39",0.91192,0.0052947
"144.0653 / 6.99  MNH4",90.066,0.35559
"144.0807 / 4.25",37.59,0.43382
"144.0807 / 7.95",84.208,0.54887
"144.1020 / 3.84",125.96,0.50516
"144.1021 / 1.61  MH",42.791,0.5371
"145.0051 / 10.91",-39.155,-0.14986
"145.0059 / 9.17",-68.567,-0.27549
"145.0061 / 8.66",-47.826,-0.19644
"145.0073 / 7.41",-72.562,-0.27289
"145.0080 / 3.63",-42.136,-0.15502
"145.0081 / 2.60",0.34105,0.011893
"145.0081 / 28.61",-1.6993,-0.12933
"145.0082 / 3.13",-11.943,-0.032873
"145.0083 / 0.29",-15.316,-0.084523
"145.0083 / 29.35",-2.6341,-0.26489
"145.0083 / 6.49",17.882,0.11607
"145.0084 / 31.59",25.826,0.1339
"145.0086 / 5.02",98.035,0.35744
"145.0174 / 1.07",30.583,0.36926
"145.1015 / 20.50",-77.264,-0.29527
