"","Fold Change","log2(FC)"
"86.0965 / 5.68",0.0015101,-9.3712
"372.1669 / 15.31",0.0015138,-9.3676
"778.3769 / 19.04  M-H-",0.0015147,-9.3667
"754.3610 / 13.51",0.0015159,-9.3656
"650.2793 / 11.97",0.0015175,-9.3641
"371.2285 / 4.12",0.0015196,-9.3621
"288.1558 / 2.79",0.0015203,-9.3614
"533.2359 / 11.75",0.0015203,-9.3614
"484.3143 / 13.35",0.0015218,-9.36
"327.2147 / 8.50",0.0015245,-9.3575
"561.7787 / 19.86",0.0015258,-9.3562
"543.2760 / 10.52",0.0015314,-9.3509
"336.1921 / 9.34",0.0015326,-9.3498
"394.5577 / 14.38",0.0015365,-9.3461
"245.1872 / 7.72  MH",0.0015381,-9.3446
"696.3204 / 12.28",0.0015414,-9.3415
"453.7416 / 17.58  M2",0.0015511,-9.3325
"484.2504 / 8.04  M-H-",0.0015522,-9.3315
"596.2996 / 18.75",0.0015526,-9.3311
"505.2700 / 16.78",0.0015558,-9.3282
"261.1230 / 9.28  M-H-",0.0015563,-9.3276
"377.1996 / 2.31",0.0015575,-9.3265
"263.9933 / 16.91",0.0015577,-9.3263
"476.7131 / 8.55",0.0015654,-9.3193
"259.0757 / 7.57",0.0015664,-9.3183
"565.2616 / 3.54",0.0015688,-9.3161
"545.2949 / 12.83  MAcO-H-",0.0015692,-9.3157
"302.1502 / 8.09  M-H-",0.0015733,-9.312
"231.1720 / 3.82",0.0015736,-9.3117
"537.7524 / 10.17",0.0015761,-9.3094
"416.2495 / 7.59  MNH4",0.0015793,-9.3065
"489.8974 / 16.49  M3H3",0.0015837,-9.3025
"294.0561 / 11.35",630.48,9.3003
"509.1875 / 7.80",0.001588,-9.2986
"657.3185 / 7.75",0.0015905,-9.2963
"794.3197 / 20.14  MNa-2H-",0.0015907,-9.2961
"149.0234 / 12.45",0.0015914,-9.2955
"581.2864 / 19.10  M-2H2-",0.0015989,-9.2887
"785.4201 / 20.04",0.0015992,-9.2884
"474.2207 / 7.95",0.0016062,-9.2821
"843.8828 / 18.46",0.0016074,-9.281
"243.1352 / 2.73  MH",0.0016136,-9.2755
"705.8567 / 19.59  M-2H2-",0.0016153,-9.274
"717.2484 / 10.05",0.0016293,-9.2615
"420.1800 / 19.05  MH",0.0016302,-9.2608
"173.1286 / 9.44",0.0016331,-9.2581
"187.1086 / 15.89",0.0016354,-9.2561
"391.1881 / 10.50",0.0016354,-9.2561
"531.2448 / 3.36  2M-H-",0.0016414,-9.2508
"433.2008 / 8.40  M2H2",0.0016447,-9.248
"953.5287 / 20.99",0.0016511,-9.2424
"436.2195 / 13.95",0.0016557,-9.2384
"912.4556 / 16.97",0.0016562,-9.2379
"569.3281 / 10.36",0.0016609,-9.2338
"567.2380 / 4.91",0.0016623,-9.2326
"652.0310 / 18.64  M3H3",0.0016662,-9.2292
"500.2779 / 13.59",0.0016734,-9.223
"157.1337 / 2.32",0.0016736,-9.2228
"791.3360 / 20.46",0.0016744,-9.2221
"383.1895 / 3.47  MNa",0.0016753,-9.2213
"560.3073 / 19.01  M-H-",0.0016763,-9.2205
"536.3039 / 19.17  MNa-2H-",0.0016764,-9.2204
"749.8883 / 16.37  M-2H2-",0.0016799,-9.2174
"589.7951 / 14.28  M-2H2-",0.0016862,-9.212
"906.4708 / 20.20",0.0016877,-9.2107
"745.3413 / 19.63  MCH3OHH",0.0016902,-9.2086
"320.6940 / 8.62  M2H2",0.0016916,-9.2074
"346.2333 / 11.14",0.0016934,-9.2059
"433.2273 / 8.21",0.0016945,-9.2049
"229.1182 / 8.65",0.0016968,-9.203
"345.1421 / 5.54",0.0016973,-9.2025
"402.1985 / 1.86  MH",0.0016982,-9.2018
"371.2372 / 8.12",0.0016984,-9.2016
"539.2173 / 18.42",0.0017069,-9.1944
"717.2480 / 10.95",0.0017088,-9.1928
"640.2704 / 18.75",0.001711,-9.1909
"341.1838 / 7.95  MH",0.0017124,-9.1898
"546.7561 / 19.24  M2H2",0.0017127,-9.1895
"492.2313 / 7.98",0.0017178,-9.1852
"746.3319 / 7.29",0.0017211,-9.1825
"487.7750 / 16.85",0.0017216,-9.182
"358.7031 / 12.21",0.0017239,-9.1801
"373.9464 / 22.48",0.0017291,-9.1758
"374.2289 / 13.56",0.0017292,-9.1756
"390.2066 / 7.41  M2H2",0.0017297,-9.1752
"455.2246 / 12.92",0.0017327,-9.1728
"734.3822 / 15.29  MNa-2H-",0.001736,-9.1701
"797.3646 / 16.09  MNa-2H-",0.0017375,-9.1688
"203.0832 / 14.04",575.5,9.1687
"360.2135 / 9.76",0.0017386,-9.1678
"453.1982 / 6.29",0.0017397,-9.1669
"550.7885 / 20.88  MHNa2",0.0017407,-9.1661
"524.2529 / 12.09",0.0017436,-9.1637
"975.5258 / 18.62  M-2H2-",0.0017521,-9.1567
"366.2138 / 3.17",0.0017557,-9.1538
"474.1827 / 4.12",0.0017584,-9.1515
"538.2979 / 18.16",0.0017586,-9.1514
"677.3341 / 19.23  M2H2",0.001763,-9.1477
"545.0150 / 12.59",0.0017772,-9.1362
"669.3467 / 19.20",0.0017771,-9.1362
"574.2834 / 14.66",0.0017783,-9.1353
"263.1432 / 4.51",0.0017831,-9.1314
"301.1951 / 10.27",0.0017845,-9.1303
"565.1754 / 4.29  2M-H-",0.0017855,-9.1295
"475.2509 / 2.32",0.0017871,-9.1282
"478.2393 / 16.49",0.0017883,-9.1272
"86.0963 / 6.81",0.001789,-9.1266
"286.1761 / 5.99",0.0017913,-9.1248
"784.3860 / 19.79",0.0017996,-9.1181
"356.6872 / 11.81",0.0017997,-9.118
"441.2711 / 16.06  M2H2",0.0018013,-9.1167
"482.2378 / 14.11",0.0018032,-9.1152
"410.1563 / 6.00",0.0018046,-9.1141
"839.3904 / 11.11  M-H-",0.0018048,-9.1139
"766.3452 / 19.17  M-H-",0.0018054,-9.1134
"442.7278 / 19.04",0.0018068,-9.1124
"314.1709 / 18.85",0.0018092,-9.1104
"531.2798 / 10.65",0.0018101,-9.1097
"744.8409 / 19.63",0.0018106,-9.1093
"513.7662 / 3.26  M-2H2-",0.0018123,-9.108
"655.3124 / 8.08  M2H2",0.0018144,-9.1063
"808.4621 / 19.33",0.0018205,-9.1015
"413.2135 / 12.11",0.0018245,-9.0983
"577.2649 / 10.24",0.001825,-9.0979
"300.1929 / 11.44",0.0018251,-9.0978
"304.1880 / 3.37",0.0018302,-9.0938
"419.2505 / 8.11  MCH3OHH",0.0018323,-9.0921
"434.2434 / 9.10",0.0018324,-9.092
"333.2132 / 2.45",0.0018341,-9.0907
"374.2402 / 2.12  MNH4",0.0018401,-9.086
"576.8061 / 14.40",0.0018406,-9.0856
"751.6638 / 19.35  M3H3",0.0018417,-9.0847
"241.1184 / 2.73  M-H2O-H-",0.0018454,-9.0818
"383.1942 / 8.71  M2",0.0018474,-9.0803
"417.2047 / 1.99",0.0018495,-9.0787
"535.2691 / 1.95",0.0018502,-9.0781
"438.2097 / 1.56",0.0018507,-9.0777
"360.2144 / 4.45",0.001851,-9.0775
"372.2606 / 1.03",0.0018523,-9.0765
"373.2273 / 7.43",0.0018526,-9.0762
"327.2143 / 15.59",0.001856,-9.0736
"707.8760 / 19.59  M2H2",0.0018586,-9.0716
"461.2424 / 7.90",0.0018626,-9.0685
"443.1940 / 5.69  M2H2",0.001864,-9.0674
"521.2450 / 15.67  M3H3",0.0018655,-9.0662
"410.7331 / 13.00",0.0018724,-9.0609
"838.2826 / 20.14  MNa-2H-",0.0018727,-9.0607
"347.2283 / 15.86",0.0018752,-9.0587
"745.3833 / 7.75",0.0018805,-9.0547
"415.2919 / 16.76",0.0018811,-9.0542
"365.1451 / 3.23",0.0018836,-9.0523
"96.9602 / 13.37",0.0018893,-9.0479
"305.1675 / 8.76  MH",0.0018905,-9.047
"614.8393 / 15.96",0.0018923,-9.0456
"817.4309 / 13.42",0.0018945,-9.044
"386.1383 / 16.28  M-H2O-H-",0.0018957,-9.043
"277.1554 / 11.10  M-H-",0.0018987,-9.0408
"824.3629 / 12.78  2M-",0.0019024,-9.038
"560.0562 / 19.27",0.0019042,-9.0366
"216.1425 / 2.13",0.0019064,-9.0349
"373.1966 / 7.80  M2",0.0019097,-9.0325
"287.2448 / 1.42",0.0019145,-9.0288
"369.2129 / 5.81",0.0019272,-9.0193
"370.1068 / 4.91",0.0019339,-9.0142
"526.2990 / 12.11",0.0019484,-9.0035
"477.7354 / 12.96",0.0019513,-9.0014
"234.9761 / 17.42",0.0019555,-8.9983
"159.1129 / 5.42",0.001956,-8.9979
"650.3502 / 10.14",0.0019565,-8.9975
"558.7715 / 20.88  M2H2",0.0019615,-8.9938
"495.2038 / 8.39",0.0019643,-8.9918
"312.0198 / 21.27",0.0019671,-8.9897
"422.2343 / 14.36  M2H2",0.001975,-8.9839
"916.4599 / 18.53",0.0019837,-8.9776
"277.1194 / 3.91",0.0019867,-8.9754
"429.2336 / 11.03",0.0019872,-8.9751
"425.8768 / 3.08  M3H3",0.0019952,-8.9692
"332.1236 / 13.39",0.0019983,-8.967
"458.3104 / 17.19",0.0019995,-8.9662
"488.2701 / 11.18",0.0020011,-8.965
"416.1509 / 14.41",0.002004,-8.9629
"450.2354 / 10.37",0.0020061,-8.9614
"132.9567 / 17.82",0.0020066,-8.961
"232.1081 / 7.96  MNH4",0.0020152,-8.9548
"316.1520 / 3.10",0.0020171,-8.9535
"634.8402 / 19.89  MHK2",0.0020176,-8.9531
"411.2231 / 18.94",0.0020194,-8.9519
"613.3918 / 19.65",0.0020194,-8.9518
"362.1933 / 2.63  MCH3OHH",0.00202,-8.9514
"498.3297 / 19.22",0.0020288,-8.9452
"114.9476 / 7.82",0.00203,-8.9443
"510.3283 / 19.23",0.0020348,-8.9409
"624.2978 / 15.17",0.002035,-8.9407
"505.7201 / 21.49",0.0020355,-8.9404
"522.7398 / 16.62  M2H2",0.0020369,-8.9394
"559.3483 / 16.51  MH",0.0020383,-8.9384
"536.2384 / 9.47",0.0020393,-8.9377
"314.2077 / 7.89",0.0020413,-8.9363
"348.0713 / 4.68",0.0020425,-8.9355
"380.1824 / 16.43  MNa",0.0020432,-8.9349
"440.2351 / 13.40  M",0.0020474,-8.932
"576.7923 / 14.57  M2H2",0.0020495,-8.9305
"417.2452 / 2.71  MNH4",0.0020506,-8.9297
"132.9583 / 12.07",0.0020522,-8.9286
"405.1977 / 2.79  MAcO-H-",0.0020531,-8.928
"617.2914 / 2.72",0.0020554,-8.9264
"529.2611 / 8.38",0.0020663,-8.9187
"591.8135 / 14.27  M2H2",0.0020667,-8.9185
"548.2971 / 14.27",0.0020685,-8.9172
"465.1648 / 3.21",0.0020688,-8.917
"387.2206 / 11.62",0.0020691,-8.9168
"610.2836 / 8.50",0.0020696,-8.9164
"755.8821 / 15.86  M-2H2-",0.0020702,-8.916
"391.2177 / 3.00",0.0020776,-8.9109
"446.1882 / 1.81",0.0020776,-8.9109
"894.5037 / 19.47",0.0020818,-8.908
"332.1833 / 3.76  MH",0.0020829,-8.9072
"599.2460 / 17.92  M-2H2-",0.0020854,-8.9055
"505.3393 / 20.01",0.0020968,-8.8976
"352.1498 / 3.95  MAcO-H-",0.0021011,-8.8947
"452.7380 / 16.83",0.0021028,-8.8935
"573.1178 / 12.20",0.0021028,-8.8935
"465.2705 / 14.34",0.0021062,-8.8911
"170.0007 / 19.09",0.0021068,-8.8907
"382.1762 / 18.75",0.0021074,-8.8903
"435.2093 / 3.68  MH",0.0021178,-8.8832
"298.1407 / 11.69",0.0021254,-8.8781
"410.1555 / 3.63",0.0021256,-8.8779
"103.9200 / 11.78",0.0021274,-8.8767
"756.4256 / 3.32  M-H2O-H-",0.0021308,-8.8744
"547.2801 / 8.30",0.0021319,-8.8737
"293.1135 / 3.01",0.0021334,-8.8726
"745.3870 / 17.67",0.0021368,-8.8703
"411.2235 / 16.53  MNH4",0.0021382,-8.8694
"447.1871 / 13.45",0.0021408,-8.8676
"527.3188 / 10.36  MNH4",0.0021567,-8.857
"481.2405 / 8.46",0.0021671,-8.85
"626.3857 / 19.20",0.0021685,-8.8491
"490.7814 / 14.27",0.0021703,-8.8479
"439.2551 / 20.17  M-H-",0.0021756,-8.8444
"895.4071 / 21.08  MNa",0.0021828,-8.8396
"444.2919 / 3.27",0.0021845,-8.8385
"745.8629 / 12.47  M-2H2-",0.0021846,-8.8384
"425.2111 / 3.99  M2H2",0.0021885,-8.8358
"567.2563 / 19.15  M2H2",0.0021889,-8.8356
"594.7678 / 20.02  M2H2",0.0021904,-8.8346
"574.2523 / 10.73",0.0021903,-8.8346
"432.1529 / 14.81",0.0022009,-8.8277
"809.9155 / 19.92  M2NH42",0.002211,-8.8211
"568.0304 / 18.81",0.0022133,-8.8196
"246.1896 / 7.70",0.0022176,-8.8168
"392.6966 / 9.41",0.0022234,-8.813
"408.1933 / 15.84",0.0022237,-8.8128
"412.2546 / 1.80",0.0022252,-8.8118
"457.2501 / 10.64",0.0022266,-8.8109
"513.2585 / 9.04  M2H2",0.0022297,-8.8089
"463.2625 / 17.81  MHNH42",0.0022356,-8.8051
"632.3404 / 17.82",0.0022389,-8.803
"318.1826 / 11.87",0.0022441,-8.7997
"544.2789 / 14.22",0.0022441,-8.7997
"345.2135 / 6.23",0.0022455,-8.7988
"553.2154 / 9.11",0.0022495,-8.7962
"499.2291 / 12.97  M2H2",0.0022523,-8.7944
"719.3736 / 19.00",0.0022522,-8.7944
"382.2223 / 2.12",0.002258,-8.7907
"618.2902 / 18.75  MNa",0.0022638,-8.787
"546.2903 / 2.09  MCH3OHH",0.0022643,-8.7867
"389.2155 / 11.80  MHNa2",0.0022679,-8.7844
"544.2997 / 12.68",0.00227,-8.7831
"331.1621 / 2.09",0.0022749,-8.78
"343.1689 / 7.76",0.0022815,-8.7758
"552.9557 / 13.51  M3H3",0.0022831,-8.7748
"492.2828 / 5.43",0.0022851,-8.7735
"378.2203 / 7.50  M2H2",0.002287,-8.7723
"348.1779 / 3.21",0.0022876,-8.772
"492.2306 / 2.41",0.002288,-8.7717
"696.8121 / 8.06  M-2H2-",0.0022918,-8.7693
"611.2825 / 15.65",0.0022965,-8.7664
"287.1379 / 6.29  MNa",0.0022996,-8.7644
"401.2882 / 4.93",0.0022996,-8.7644
"298.1399 / 8.04",0.0023018,-8.7631
"565.7956 / 10.35",0.0023097,-8.7581
"521.2558 / 15.07  M-2H2-",0.0023115,-8.7569
"582.2591 / 14.81  MNa",0.0023155,-8.7545
"745.3178 / 17.54",0.0023171,-8.7535
"527.2458 / 16.63",0.0023219,-8.7505
"848.4453 / 19.25",0.0023228,-8.7499
"554.2629 / 3.59",0.0023265,-8.7476
"316.1294 / 6.10",0.0023273,-8.7471
"166.0859 / 11.39",0.002331,-8.7448
"725.3599 / 19.50",0.0023383,-8.7403
"406.2368 / 14.44",0.0023424,-8.7378
"593.2956 / 18.36  M2H2",0.0023428,-8.7375
"318.1489 / 8.97",0.0023442,-8.7367
"558.2783 / 15.14  MH",0.0023588,-8.7277
"414.9100 / 18.69  M3H3",0.0023615,-8.7261
"664.3280 / 16.23",0.0023627,-8.7254
"923.3999 / 16.63",0.0023633,-8.725
"546.2433 / 15.64",0.002365,-8.724
"375.2171 / 11.84  M2H2",0.0023669,-8.7228
"412.1902 / 11.80",0.002369,-8.7215
"381.1455 / 14.79  MNa",0.0023696,-8.7212
"539.1855 / 11.02  MNa-2H-",0.0023779,-8.7161
"558.7607 / 15.50  M2H2",0.0023794,-8.7152
"532.2726 / 2.74",0.0023801,-8.7148
"629.3293 / 20.97  MNa-2H-",0.0023846,-8.712
"373.3063 / 21.14",0.002386,-8.7112
"530.7900 / 20.15",0.0023878,-8.7101
"701.3465 / 15.77",0.0023923,-8.7074
"268.0106 / 21.27",0.0023937,-8.7065
"604.8300 / 19.60",0.0023943,-8.7062
"370.0156 / 21.58",0.0024037,-8.7005
"358.1970 / 5.78",0.0024049,-8.6998
"587.2678 / 7.43  M-H-",0.0024058,-8.6992
"430.1567 / 11.49  MNa-2H-",0.0024079,-8.698
"443.2125 / 2.51",0.0024127,-8.6951
"542.2815 / 12.69",0.0024243,-8.6882
"330.1661 / 2.82",0.0024271,-8.6866
"332.1240 / 4.51",0.0024318,-8.6838
"394.2313 / 13.30",0.0024381,-8.68
"545.3402 / 1.00",0.0024423,-8.6776
"279.1360 / 5.75",0.0024425,-8.6774
"220.9684 / 19.05",0.0024432,-8.677
"741.0714 / 19.10  M3H3",0.0024478,-8.6743
"572.9670 / 12.85",0.0024575,-8.6686
"375.1888 / 3.21  MH",0.0024695,-8.6616
"677.3462 / 20.08  M2H2",0.0024722,-8.66
"380.1453 / 4.88  M-H-",0.0024729,-8.6596
"403.2300 / 2.63  MNH4",0.0024734,-8.6593
"506.2291 / 10.88",0.0024734,-8.6593
"788.3287 / 19.20  MNa-2H-",0.002478,-8.6566
"510.2169 / 11.07  MNa-2H-",0.0024799,-8.6555
"598.8116 / 18.94  M2Na2",0.0024816,-8.6545
"783.4374 / 15.70",0.0024829,-8.6538
"471.2218 / 11.26  M2Na2",0.0024836,-8.6534
"304.1664 / 8.08",0.0024851,-8.6525
"583.2783 / 14.12  M2H2",0.0024865,-8.6517
"495.2189 / 3.44",0.0024876,-8.651
"937.3525 / 21.09",0.0024887,-8.6504
"448.1824 / 6.95  MCl-",0.0024938,-8.6475
"568.3086 / 1.75",0.0024959,-8.6462
"492.9038 / 13.31  M3H3",0.0024965,-8.6459
"466.2350 / 10.16  M2H2",0.0025004,-8.6436
"625.3188 / 13.59  M-H-",0.0025013,-8.6431
"378.2023 / 13.93",0.0025034,-8.6419
"514.2635 / 10.70  M2",0.0025056,-8.6407
"608.3511 / 15.02  M3H3",0.0025147,-8.6354
"463.2743 / 2.42  2M-H-",0.0025154,-8.635
"374.1705 / 18.91  M-H-",0.0025236,-8.6303
"571.1296 / 10.27",0.0025317,-8.6257
"603.3120 / 11.29  M-2H2-",0.0025317,-8.6257
"640.2616 / 20.62  MNa-2H-",0.0025332,-8.6249
"814.3566 / 20.01",0.0025427,-8.6194
"735.3515 / 1.82",0.0025455,-8.6178
"366.1671 / 5.84  MCH3OHH",0.0025471,-8.617
"753.3526 / 10.60",0.002549,-8.6159
"916.4612 / 17.83  M-H-",0.0025547,-8.6127
"499.2491 / 2.74",0.0025549,-8.6125
"445.7019 / 13.99",0.0025557,-8.612
"201.1236 / 6.04",0.0025602,-8.6096
"300.1545 / 3.76",0.0025656,-8.6065
"508.1334 / 16.25",0.0025692,-8.6045
"405.2822 / 1.57",0.0025721,-8.6028
"786.4253 / 19.46",0.0025802,-8.5983
"416.2509 / 8.33",0.0025872,-8.5944
"481.2260 / 13.07  M2H2",0.0025945,-8.5903
"723.5412 / 26.09",0.0026018,-8.5863
"334.1395 / 4.57  MCH3OHH",0.002603,-8.5856
"366.1656 / 4.92  MNH4",0.0026058,-8.584
"306.1470 / 3.76  MH",0.0026103,-8.5816
"100.9255 / 8.83",0.0026156,-8.5787
"289.1874 / 2.64  MNH4",0.0026168,-8.578
"324.1892 / 11.44  MNa",0.002619,-8.5768
"416.2170 / 3.50  M2H2",0.0026204,-8.576
"945.4784 / 17.80  MNa-2H-",0.0026257,-8.5731
"686.3111 / 19.69  M3H3",0.0026279,-8.5719
"550.7730 / 19.34",0.0026311,-8.5701
"779.0903 / 19.08  M3H3",0.0026313,-8.57
"261.1239 / 9.92",0.0026322,-8.5695
"522.2558 / 15.66",0.0026361,-8.5674
"259.1293 / 2.12",0.0026413,-8.5645
"456.2800 / 10.36",0.0026468,-8.5615
"458.2625 / 12.76",0.0026539,-8.5577
"177.1033 / 3.72",0.002654,-8.5576
"686.3064 / 19.23  M-2H2-",0.0026589,-8.5549
"361.2081 / 2.76",0.0026605,-8.5541
"388.1507 / 15.03  M-H-",0.0026661,-8.5511
"344.1816 / 8.93  M-H-",0.0026665,-8.5509
"174.9699 / 31.99",0.0026723,-8.5477
"603.3317 / 3.09",0.0026846,-8.5411
"385.2082 / 14.23",0.0026856,-8.5405
"812.9391 / 17.67  M-2H2-",0.002687,-8.5398
"388.1167 / 10.19  M-H-",0.0026952,-8.5354
"775.3834 / 16.09  M-H-",0.0026983,-8.5338
"591.3134 / 16.75  MH",0.0026988,-8.5334
"368.2301 / 3.21",0.002704,-8.5307
"177.1293 / 20.46",0.0027136,-8.5256
"799.8677 / 18.67  M-2H2-",0.0027198,-8.5223
"448.7269 / 20.53  M2H2",0.0027209,-8.5217
"319.1835 / 12.09",0.002724,-8.5201
"868.4929 / 19.91",0.0027261,-8.5189
"423.1893 / 5.87",0.0027264,-8.5188
"636.3220 / 19.07",0.0027323,-8.5157
"396.1524 / 18.91  MNa-2H-",0.0027328,-8.5154
"811.3950 / 19.56",0.0027335,-8.5151
"267.1689 / 7.75  MNa",0.0027356,-8.5139
"538.2844 / 19.66  M3H3",0.0027368,-8.5133
"279.1354 / 5.18",0.0027393,-8.512
"573.2538 / 7.37",0.002744,-8.5095
"505.1957 / 15.74",0.0027448,-8.5091
"529.2654 / 18.14",0.0027492,-8.5068
"561.2427 / 15.67",0.0027532,-8.5047
"523.0102 / 17.37  M4H4",0.0027535,-8.5045
"156.9588 / 12.01",0.0027554,-8.5035
"497.2485 / 16.14  MNa",0.0027686,-8.4966
"508.2785 / 20.28",0.0027702,-8.4958
"332.1249 / 6.11",0.002772,-8.4948
"771.3537 / 20.97  M-H-",0.0027744,-8.4936
"552.3021 / 20.30  M-H2O-H-",0.0027849,-8.4882
"446.7100 / 20.52  M-H-",0.0027889,-8.4861
"387.2962 / 2.45",0.0027956,-8.4826
"442.9306 / 15.37",0.0027997,-8.4805
"333.1565 / 5.19",0.0028004,-8.4801
"391.1609 / 5.82",0.0028011,-8.4798
"500.2646 / 8.98  M3H3",0.0028091,-8.4757
"309.1085 / 2.70",0.0028092,-8.4756
"300.1195 / 3.47  M-H-",0.0028099,-8.4753
"444.9064 / 15.61",0.0028229,-8.4686
"347.1930 / 2.70  MNH4",0.0028251,-8.4675
"479.2163 / 7.58",0.0028278,-8.4661
"315.1319 / 6.08",0.002828,-8.466
"582.7758 / 20.24",0.0028341,-8.4629
"382.1620 / 3.11  MCH3OHH",0.0028353,-8.4623
"317.1473 / 5.71",0.0028375,-8.4611
"449.2395 / 12.65  MH",0.0028379,-8.461
"437.1979 / 10.78",0.0028382,-8.4608
"674.8772 / 19.62  M2H2",0.0028456,-8.4571
"476.7694 / 13.59  MHNa2",0.0028488,-8.4555
"681.2833 / 7.66  M-H-",0.0028512,-8.4542
"524.7850 / 16.09  M2Na2",0.0028515,-8.4541
"666.3529 / 18.78",0.0028547,-8.4524
"559.2243 / 15.67",0.0028571,-8.4513
"439.1829 / 3.21",0.002873,-8.4432
"695.8903 / 20.57  M2H2",0.0028778,-8.4408
"368.2309 / 11.47",0.0028833,-8.4381
"960.4816 / 17.17  MNa-2H-",0.002884,-8.4377
"266.1597 / 0.47",346.35,8.4361
"316.1863 / 4.42",0.0029015,-8.429
"311.1592 / 3.40",0.002904,-8.4278
"873.4288 / 21.08  MH",0.0029046,-8.4275
"498.3030 / 14.33",0.0029052,-8.4272
"251.1030 / 2.29",0.0029154,-8.4221
"327.2043 / 18.20",0.0029161,-8.4218
"363.2008 / 8.74",0.002917,-8.4213
"703.3452 / 19.88",0.0029215,-8.4191
"325.1729 / 5.70  M-H-",0.0029217,-8.419
"371.1645 / 5.47",0.0029258,-8.4169
"379.2120 / 9.45  M3H3",0.0029291,-8.4153
"315.1643 / 2.76",0.0029303,-8.4147
"573.7835 / 14.47",0.0029338,-8.413
"329.1509 / 8.82",0.0029411,-8.4094
"964.4604 / 19.40",0.0029417,-8.4091
"247.1117 / 2.76",0.0029446,-8.4077
"630.8529 / 18.11",0.0029457,-8.4072
"171.9976 / 19.09",0.0029459,-8.4071
"369.2132 / 6.47  M-H2O-H-",0.0029464,-8.4068
"465.2146 / 15.01",0.0029592,-8.4006
"463.1864 / 9.44",0.0029596,-8.4004
"632.2874 / 14.63  MNa-2H-",0.0029595,-8.4004
"369.1764 / 10.71",0.0029628,-8.3988
"258.1819 / 1.47",0.0029687,-8.396
"403.1814 / 3.80",0.0029773,-8.3918
"304.1293 / 5.16",0.0029797,-8.3906
"449.2193 / 12.48",0.002987,-8.3871
"589.1742 / 4.26  2MNa",0.0029991,-8.3813
"359.1931 / 2.73",0.0030031,-8.3793
"480.2442 / 8.37  MH",0.0030124,-8.3749
"121.1012 / 6.47  MH",0.003015,-8.3736
"527.2790 / 15.36",0.003015,-8.3736
"477.2227 / 14.06  M2H2",0.0030159,-8.3732
"217.1188 / 2.16",0.0030176,-8.3724
"607.3201 / 18.51",0.0030239,-8.3694
"689.3497 / 20.97  M-H-",0.0030311,-8.3659
"587.2841 / 11.32  M2H2",0.0030375,-8.3629
"660.3720 / 19.47",0.0030423,-8.3606
"609.2499 / 7.43  MNa-2H-",0.0030483,-8.3578
"529.2300 / 11.41",0.0030494,-8.3573
"574.1308 / 12.23",0.0030534,-8.3554
"481.2125 / 19.61  M-H-",0.0030563,-8.354
"538.2995 / 11.87",0.0030572,-8.3536
"530.2959 / 19.42",0.0030574,-8.3535
"657.2977 / 8.08",0.0030715,-8.3468
"484.7337 / 21.47  M-2H2-",0.0030742,-8.3456
"733.4282 / 19.81",0.0030746,-8.3454
"572.7675 / 20.88",0.0030757,-8.3449
"498.2194 / 14.12  M3H3",0.0030797,-8.343
"608.3034 / 15.03",0.0030833,-8.3413
"258.1454 / 1.88  M-H-",0.0030836,-8.3412
"352.0632 / 3.31",0.0030857,-8.3402
"215.1394 / 10.06",0.0030865,-8.3398
"318.1819 / 13.01",0.003094,-8.3363
"469.1938 / 2.69",0.0031048,-8.3313
"589.2829 / 10.48",0.0031073,-8.3301
"935.4247 / 19.98",0.0031123,-8.3278
"451.2298 / 7.89",0.0031154,-8.3264
"381.9936 / 9.00  MNa-2H-",0.0031203,-8.3241
"534.2677 / 19.00  M-2H2-",0.0031215,-8.3235
"472.2762 / 19.05",0.0031271,-8.3209
"372.0121 / 21.58",0.0031386,-8.3157
"394.1981 / 15.73",0.0031449,-8.3128
"723.3683 / 19.66",0.0031449,-8.3128
"896.3578 / 8.68  M-H-",0.0031468,-8.3119
"362.1925 / 4.23",0.0031569,-8.3073
"363.1657 / 5.72  M2",0.003163,-8.3045
"722.2641 / 20.62",0.0031667,-8.3028
"418.1655 / 14.43  MH",0.0031689,-8.3018
"384.1572 / 5.40",0.0031704,-8.3011
"339.1670 / 2.25",0.0031722,-8.3003
"389.2389 / 18.88",0.0031866,-8.2938
"496.2534 / 7.72",0.0031896,-8.2924
"161.1333 / 22.10  M-H-",0.0031915,-8.2916
"330.2382 / 11.93",0.0031974,-8.2889
"384.1834 / 4.79  M2H2",0.0031983,-8.2885
"597.7850 / 9.37",0.0032043,-8.2858
"463.2536 / 16.56",0.0032056,-8.2852
"115.9195 / 6.01",309.6,8.2743
"705.2900 / 19.76  MNa",0.0032398,-8.2699
"643.8011 / 19.15  M2H2",0.0032429,-8.2685
"201.1235 / 9.44  MH",0.0032449,-8.2676
"775.3671 / 19.56",0.0032477,-8.2664
"884.6091 / 24.72",0.0032477,-8.2664
"443.2656 / 17.19  M2H2",0.0032484,-8.2661
"558.2532 / 17.50  M2H2",0.0032506,-8.2651
"526.2222 / 19.36  M2H2",0.0032531,-8.264
"258.1452 / 2.38  M-H-",0.0032728,-8.2553
"855.3646 / 12.15",0.0032726,-8.2553
"938.4987 / 17.13  M-H-",0.0032809,-8.2517
"492.2838 / 14.43  M2Na2",0.0032936,-8.2461
"992.5265 / 19.51",0.0032956,-8.2453
"591.3099 / 12.98",0.0032983,-8.244
"303.2142 / 1.04",0.0033055,-8.2409
"393.2296 / 4.76  M2H2",0.0033055,-8.2409
