"","Fold Change","log2(FC)"
"429.2394 / 6.82  MHNH42",5.0534e-05,-14.272
"639.3447 / 13.80  M-H-",5.0615e-05,-14.27
"325.1739 / 6.83",5.0652e-05,-14.269
"672.2691 / 18.79  M-H-",5.0705e-05,-14.268
"279.6622 / 2.13",5.086e-05,-14.263
"429.1255 / 4.94",5.1143e-05,-14.255
"571.6128 / 14.92  M3H3",5.1244e-05,-14.252
"396.1783 / 5.87",5.1552e-05,-14.244
"332.2180 / 10.73",5.1753e-05,-14.238
"393.2099 / 13.08  MNa-2H-",5.2364e-05,-14.221
"555.6284 / 18.78",5.2444e-05,-14.219
"797.4565 / 18.20  MH",5.2633e-05,-14.214
"491.7570 / 15.86  M2H2",5.2961e-05,-14.205
"475.2157 / 13.13  MNa-2H-",5.3152e-05,-14.2
"402.1977 / 2.26  M-H-",5.3176e-05,-14.199
"330.2029 / 9.31",5.3197e-05,-14.198
"585.8335 / 13.53  M2H2",5.3229e-05,-14.197
"678.3471 / 16.76  M-H-",5.3555e-05,-14.189
"330.2029 / 10.68",5.4007e-05,-14.176
"678.3462 / 6.74",5.4342e-05,-14.168
"425.7307 / 9.57  M4H4",5.4553e-05,-14.162
"470.7539 / 18.84  M4H4",5.6237e-05,-14.118
"476.7434 / 17.49  M2NH42",5.6395e-05,-14.114
"514.2630 / 6.68  MH",5.6463e-05,-14.112
"658.3555 / 19.48",5.7503e-05,-14.086
"382.1983 / 8.56  MCH3OHH",5.7791e-05,-14.079
"588.2140 / 13.61  M-H-",5.798e-05,-14.074
"472.2881 / 1.93",5.8038e-05,-14.073
"267.1689 / 6.90  MNa",5.8476e-05,-14.062
"553.2611 / 12.95",5.8593e-05,-14.059
"389.1843 / 10.33",5.8638e-05,-14.058
"442.2260 / 4.21",5.8925e-05,-14.051
"428.9070 / 13.11  M3H3",5.9279e-05,-14.042
"630.3236 / 17.83",5.9393e-05,-14.039
"676.0918 / 13.59  M4H4",5.9777e-05,-14.03
"482.7297 / 8.72  M2H2",6.0118e-05,-14.022
"430.0373 / 15.47  M5H5",6.0302e-05,-14.017
"409.2221 / 20.93",6.0499e-05,-14.013
"378.2082 / 11.00",6.057e-05,-14.011
"544.3821 / 4.09",6.0645e-05,-14.009
"502.2873 / 10.38  MNH4",6.0695e-05,-14.008
"854.3902 / 15.20  M-H-",6.0729e-05,-14.007
"390.2022 / 13.08  M-H-",6.1396e-05,-13.992
"578.7981 / 11.74  M2H2",6.1593e-05,-13.987
"359.1575 / 10.11",6.1599e-05,-13.987
"389.6920 / 6.89  M2H2",6.186e-05,-13.981
"408.1768 / 11.47  M-H-",6.2246e-05,-13.972
"362.0492 / 3.73",6.248e-05,-13.966
"591.2238 / 2.54",6.264e-05,-13.963
"530.3188 / 14.01  MH",6.2928e-05,-13.956
"450.7450 / 14.10  M2H2",6.3153e-05,-13.951
"814.4449 / 19.77",6.3159e-05,-13.951
"567.6043 / 18.82  M3H3",6.3424e-05,-13.945
"278.1581 / 11.15",6.3393e-05,-13.945
"464.2187 / 7.33",6.3768e-05,-13.937
"500.2713 / 10.39  MFA-H-",6.3984e-05,-13.932
"712.3996 / 15.29  M-H-",6.3978e-05,-13.932
"537.3036 / 2.15",6.4105e-05,-13.929
"673.3589 / 18.85",6.4381e-05,-13.923
"894.3835 / 15.04  MNa-2H-",6.4364e-05,-13.923
"487.2873 / 12.84  MH",6.4404e-05,-13.922
"487.9226 / 18.00  M3H3",6.477e-05,-13.914
"555.2818 / 13.61",6.4857e-05,-13.912
"374.2294 / 7.59",6.4924e-05,-13.911
"358.1972 / 13.04  M-H-",6.4918e-05,-13.911
"674.3147 / 16.85  M-H-",6.4916e-05,-13.911
"460.2406 / 4.06  MH",6.5007e-05,-13.909
"518.2970 / 9.06",6.5211e-05,-13.905
"383.2773 / 14.66",6.5215e-05,-13.904
"691.3409 / 11.97  M-H-",6.5312e-05,-13.902
"423.5944 / 15.21  M3H3",6.5428e-05,-13.9
"569.7558 / 19.86  M-2H2-",6.5595e-05,-13.896
